data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
12 de fevereiro de 2023;Hotel próximo ao aeroporto;Funcionários simpáticos, perto do aeroporto e da pracinha da Boa Viagem e bom café da manhã.;Não gostei do banheiro e do chuveiro.;8;;;;
11 de fevereiro de 2023;Bom;Gostei do atendimento e do café da manhã que estavam perfeitos!;O hotel não disponibiliza guarda volumes, o cheiro de mofo incomoda um pouco e o frigobar tinha bastante ferrugem!;7;;;;
10 de fevereiro de 2023;Bom para passar 1 noite e trabalhar;Atendimento dos funcionários e localização;Nada a reclamar;7;;;;
9 de fevereiro de 2023;Ótimo custo-benefício.;Excelente localizada, perto de tudo. Bom café da manhã e equipe prestativa.;Gostei de tudo.;8;;;;
9 de fevereiro de 2023;Satisfatório;localização;instalações antigas! café da manhã muito fraco;6;;;;
8 de fevereiro de 2023;Boa;Atendimento dos colaboradores;Colchão;7;;;;
7 de fevereiro de 2023;Muito bom;localização ;;;;;;
café da manhã simples e com opções ;;;;;;;;
"funcionários super atenciosos e educados""";;8;;;;;;
5 de fevereiro de 2023;Satisfatório;Café da manhã razoavel e localização boa.;Ar condicionado barulhento, banheiro antigo e sem duchinha. Para ter acesso so elevador tem que subir um lance de escadas.;6;;;;
4 de fevereiro de 2023;Satisfatório;Funcionários excelentes, muito prestativos.;Cortinas mofadas, azulejos do banheiro com rejuntes encardidos, pia do banheiro entupida com escoamento lento.;6;;;;
4 de fevereiro de 2023;Bom;Localização;;7;;;;
2 de fevereiro de 2023;Bom , ótimo custo benefício;Localização, atendimento café da manhã simples porem tudo gostoso.;Nao que não gostei só observei que tá precisando de uma reforma.;8;;;;
1º de fevereiro de 2023;Ótimo custo benefício.;localização, funcionários, não tenho reclamações. Tem os chatos que buscam diária barata e querem tratamento de resort. Gostei do hotel, tem ótimo custo benefício.;;8;;;;
1º de fevereiro de 2023;Voltaria a me hospedar nesse hotel.;Gostei dos funcionários, do quarto, da localização, especialmente.;Poderiam mudar o ar-condicionado para o modelo split .;8;;;;
31 de janeiro de 2023;Muito bom;Ele é bem localizado, próximo a igreja de Boa viagem.;;;;;;
"Café da manhã tem bastante opções.""";As instalações não são tão esteticamente agradáveis nos quartos.;;;;;;;
Internet somente no saguão;;;;;;;;
"Faltou cabide no roupeiro""";8;;;;;;;
30 de janeiro de 2023;Satisfatório;Localização, atendimento dos funcionários e limpeza são muito bons. O preço é compatível com o que oferece.;As instalações dos quartos e o mobiliário são antigos e o café é bem razoável.;6;;;;
28 de janeiro de 2023;Bom custo benefício;Localização, tamanho do quarto;Café da manhã muito simples, não tinha quase variedade, no primeiro dia da minha hospedagem nem ovos tinha, coisa que nunca vi faltar no café da manhã de um hotel;7;;;;
28 de janeiro de 2023;Estadia ok, próximo do custo beneficio a julgar pela localização e o prazo em que foi feita a reserv;Localização do hotel é boa, muito próximo do aeroporto. Café da manhã com boas opções, equipe flexibilizou a regra e nos permitiu tomar café um pouco antes do horário para podermos ir para o aeroporto pegar o voo.;Banheiro não estava muito conservado.;7;;;;
28 de janeiro de 2023;Satisfatório;Já havia ficado neste hotel antes da mudança de gerência. Localização muito boa. Café da manhã de boa qualidade e quantidade.;Limpeza do banheiro, ar condicionado e enxoval muito puído e desbotado.;6;;;;
26 de janeiro de 2023;Bom;localização próxima ao evento que participei;o hotel não dispóe de estacionamento para todos os hospedes. ;;;;;
o café da manhã é repetitivo.;;;;;;;;
"faltou uma tapioca feita na hora.""";7;;;;;;;
26 de janeiro de 2023;Satisfatório;Localização;Limpeza e instalações;6;;;;
25 de janeiro de 2023;Hotel de trabalho...;O hotel e ótimo pelo valor...;Falta estacionamento nele e ao arredor, então já considere 5 reais adicionais por hora de hospedagem...;7;;;;
25 de janeiro de 2023;BOM;Higiene, limpeza e organização.;Demora em fornecer nota fiscal;8;;;;
25 de janeiro de 2023;Satisfatório;Tinha um subway em frente e é perto do aeroporto.;A internet não prestava. Os lençóis estavam sujos.;6;;;;
23 de janeiro de 2023;Muito bom;Sim;;8;;;;
23 de janeiro de 2023;Fica localizado em um lugar ótimo, próximo da praia e restaurante!;Ótima localização é um ótimo café da manhã!;Não houve limpeza diária e nem trocas de toalhas!;8;;;;
21 de janeiro de 2023;gostei muito da localização mas o hotel é um pouco arcaico;gostei muito da localização, por ser no coração de boa viagem!;achei muito antigo o hotel em si;7;;;;
21 de janeiro de 2023;Tem um razoável custo-benefício, mas não espere muito.;Hotel de baixo custo, para passar algumas horas ou uma noite. Café da manhã razoável. Bem localizado. Próximo ao aeroporto e a praia de boa viagem.;Ar condicionado barulhento, lençóis manchados. Não havia cama de casal, apenas duas de solteiro. Cerâmica bem antiga. Mobília precária.;6;;;;
21 de janeiro de 2023;Foi uma estadia agradável;Café da manhã bom;Ar condicionado não estava funcionando bem;7;;;;
19 de janeiro de 2023;Razoável a ruim;Localização;Cama,chuveiro pouca agua;6;;;;
19 de janeiro de 2023;Bom;A localização é boa para quem está viajando a trabalho. O hotel fica próximo ao aeroporto. O café da manhã é razoável.;A limpeza ficou a desejar e não tinha chuveiro elétrico.;7;;;;
17 de janeiro de 2023;excelente;perto do aeroporto e praias.;custo benefício ótimo;8;;;;
17 de janeiro de 2023;Muito bom;Localização;;8;;;;
13 de janeiro de 2023;Razoável. Atende, mas sem luxo.;Hospedagem razoável, atendeu as necessidades, mas sem luxo.;Café da manhã muito simples e com pouca/lenta reposição. Faltou vários itens quando fui tomar café. ;;;;;
Quarto e banheiro sujos. Falta uma reforma estrutural no prédio. Ar condicionado antigo e barulhento.;;;;;;;;
"O cartão de acesso ao quarto perdia a """"magnetização"""" e tínhamos o trabalho de voltar na recepção com frequência.";;;;;;;;
Wifi não funcionou em nenhum momento. Estávamos no quarto andar. Sugestão é se hospedar no máximo no segundo andar;" pois lá o Wifi funciona.""";7;;;;;;
12 de janeiro de 2023;Bom;Custo benefício bom para passar uma noite, café da manhã satisfatório.;Quarto e banheiro um pouco descuidados, instalações envelhecidas, box do banheiro apertado.;7;;;;
12 de janeiro de 2023;Muito boa;Gostei muito da localização, da limpeza do café da manhã. Gostei muito da sala de espera e Tv bem confortável.;O hotel é bom e a localizaçao é maravilhosa e tem um custo benefício excelente. O primeiro quarto que me deram não estava bom e no dia seguinte eu pedi para trocar e fui para um quarto melhor. Fiquei satisfeita. ;;;;;
;;;;;;;;
"Acho que é desnecessário manter móveis estragados nos quartos e lençois e toalhas manchadas . Poderia tirar e deixar só o que está em bom estado. O restante é tudo ótimo.""";8;;;;;;;
11 de janeiro de 2023;Ótima localização;Ótima localização, bem próximo a comércios, a praia de boa viagem e alguns pontos turísticos. Bom café da manhã;O chuveiro quente não estava funcionando. Próximo da localidade tem alguns moradores de rua.;8;;;;
11 de janeiro de 2023;Bom;Os funcionários estão de parabéns;O hotel peca muito na infraestrutura;7;;;;
11 de janeiro de 2023;Bom;O tamanho do quarto é muito bom. A localização é excelente.;o banheiro tem aspecto de sujo, a pia estava entupida, o box do banheiro muito pequeno. Tem dois elevadores, um estava estragado, e o outro travou com um hóspede. Fiquei mais de meia hora esperando, fui embora e ainda não tinham resolvido.;7;;;;
11 de janeiro de 2023;Recomendo;Excelente custo benefício. Hotel simples, mas muito limpo, com farto café da manhã. Recomendo e ficarei aqui, sempre que voltar a Recife.;Nada.;8;;;;
9 de janeiro de 2023;Muito bom;Ótima localização tem vários restaurantes e praia bem próximo;;8;;;;
9 de janeiro de 2023;Hotel ok, mas não é honesto com hospedes - taxas extras abusivas e suspeitas.;Loalização;Houve um custo extra que considerei abusivo e me pareceu intencional do hotel (indução ao erro), além da forma de pagamento ter sido estranha: a reserva foi feita pra uma quarto de casal (capacidade duas pessoas) mas apenas para um hospede (por engano). Só descobri esse erro no momento do check in - a diferença do pagamento caso a reserva tivesse sido feita corretamente seria de 20 reais, mas como foi no momento do check in o ajuste foi para 80 reais (mais de 50% do valor da reserva original), sem nenhuma adição de cama ao quarto, já que o mesmo já possuía cama de casal.;;;;;
Além desse valor extremamente alto; o pagamento do adicional nao era feito dentro da reserva normal (com cartão de crédito); mas apenas por pix e para um CPF pessoal (em nome de Fabiany Christiny Cursino de Oliveira) e nao para o CNPJ do hotel;" o que me pareceu uma prática duvidosa.""";7;;;;
8 de janeiro de 2023;Satisfatório;A localização é muito boa, tem como fazer refeições próximo, quarto simples mas para quem está viajando a trabalho atende bem, café da manhã razoável.;;6;;;;
7 de janeiro de 2023;Muito bom;Funcionários muito simpáticos, prestativos e atenciosos!;Não tinha cama de casal, eram duas de solteiro juntas, muito desconfortável e a internet não prestava no quarto.;8;;;;
5 de janeiro de 2023;Muito bom;Localização, café da manhã e atendimento dos funcionários;Ar condicionado fraco;8;;;;
3 de janeiro de 2023;Se for barato, compensa. Caso contrário, nao;A localidade é otima, perto da orla da praia e perto da feira;O armario nós deixamos sempre fechado, estava puro mofo. O hotel é modesto, instalações supeeer simples.;7;;;;
28 de dezembro de 2022;ajuda por ser perto do aeroporto, mas não fico novamente;proximidade do aeroporto;cheiro do banheiro, falta de tomadas do lado da cama, não tem qualquer comida pra venda à noite.;6;;;;
23 de dezembro de 2022;perto do aeroporto;loca lização;sem ducha higienica;6;;;;
22 de dezembro de 2022;Satisfatório;Localização;Café da manhã, banheiros, cama e atendimento.;6;;;;
19 de dezembro de 2022;Good;Bom custo x benefício.;;8;;;;
13 de dezembro de 2022;Funcionários super simpáticos e prestativos.;Atendimento da melhor qualidade. Funcionários muito prestativos e educados. É possível chegar à praia à pé. É perto do aeroporto. Amplo comércio no entorno.;;;;;;
Café da manhã bom;" com boa variedade.""";Quarto merece uma pequena reforma, como pintura, embutir alguns fios. Ar-condicionado atende bem, porém está muito ruidoso, creio que manutenção deva resolver. Tirando isso, não só recomendo como afirmo que em uma nova ida à cidade, certamente será minha preferência me hospedar nesse hotel.;8;;;;;
11 de dezembro de 2022;Satisfatório;Localização;Café da manhã bem simples, sem suco natural, tapioca, mel, Iogurte, etc.;;;;;
;;;;;;;;
Box minúsculo e chuveiro fraco.;;;;;;;;
;;;;;;;;
"Não tem tomadas ao lado das camas.""";6;;;;;;;
11 de dezembro de 2022;bom custo benefício;boa localização;vou ver;8;;;;
10 de dezembro de 2022;Podem melhorar;Funcionários muito atenciosos, boa localização, limpeza.;O ar condicionado do quarto era antigo tinha buracos na parede onde ficava o ar e a iluminação do quarto fraca. Fora isso tudo certo.;8;;;;
8 de dezembro de 2022;Satisfatório;Do ar condicionado e a localização proxima do evento ao qual minha equipe participou.;O chuveiro não dava pra tomar banho pois a agua muito quente, no frio o huveiro só pingava a água . Fiquei uma semana não foi trocado roupa de cama nenhuma vez, so esticava o lençol , o banheiro ja encontrei com cabelo pelo chão e no quarto e não foi lavado so tiravam o lixo .;6;;;;
8 de dezembro de 2022;Muito bom;Localização;Conforto;8;;;;
7 de dezembro de 2022;Bom;Do café da manhã;Do ar condicionado péssimo não gela;7;;;;
5 de dezembro de 2022;x;recepção;banheiro dos quartos;6;;;;
4 de dezembro de 2022;Muito bom;Atendimento. Prédio antigo passando por melborias ainda. Yrm escada entre a portaria e elevador. Bem localizado geograficamente, mas tem uma região próxima que deve-se tomar cuidado ao andar sozinha ou somente mulheres. Mercado próximo.;Trecho entre o hotel a orla merece atenção dos turistas, principalmente à noite;8;;;;
3 de dezembro de 2022;Bom;Gostei bom;;7;;;;
2 de dezembro de 2022;Hotel com custo-benefício justo, porém a se fazer algumas melhorias no serviço.;A estadia foi de 10 dias, não tomei café da manhã no Hotel. A limpeza, organização e conforto foi dentro do esperado para o preço do Hotel. O estacionamento foi o maior problema já que há pouquíssimas vagas para estacionar. No entanto, com muita conversa e persistência foi concedido acesso ao estacionamento na lateral do Hotel.;Pouquíssimas vagas no estacionamento e o café da manhã poderia ser melhorado um pouco mais.;6;;;;
1º de dezembro de 2022;Satisfatório;Localização;Camas desconfortáveis, chuveiro não esquenta, café da manhã simplório;6;;;;
1º de dezembro de 2022;Para quem busca gastar menos;A localização é boa.;Quarto muito deteriorado.;6;;;;
1º de dezembro de 2022;Satisfatório;Falta de garagem, melhores o café da manhã;;6;;;;
28 de novembro de 2022;bacana;Cama, e roupas de cama;ar condicionado e toalete;7;;;;
22 de novembro de 2022;Boa e barata;Bom café da manhã, localização, perto da feirinha da boa viagem, perto da praia.;sem reclamação;8;;;;
21 de novembro de 2022;Pode melhorar;Localização do Hotel... Café da manhã muito bom;Hotel está precisando de muita manutenção. Ar condicionado, janeleiro, muito barulhento.;8;;;;
21 de novembro de 2022;Razoável;Localização;Estacionamento que não tem;7;;;;
20 de novembro de 2022;Atendeu a expectativa;Ótimo atendimento e bom custo x benefício;;8;;;;
19 de novembro de 2022;Quarto simples próximo à Praia de Boa Viagem;Próximo à Praia de Boa Viagem.;Internet não funciona no quarto.;7;;;;
17 de novembro de 2022;Reforma em andamento;Localização;;;;;;
"Facilidade de acesso a praia e aeroporto""";Wi fi não estava navegando;;;;;;;
Banheiro em reforma inacabada;;;;;;;;
Chuveiro com pouca água;;;;;;;;
Ar condicionado modelo antigo; barulhento ;;;;;;;
"Colchão duro""";8;;;;;;;
16 de novembro de 2022;Espero voltar e encontrar esse prédio reformado.;Gostei muito da localização perto de restaurantes e praia.;Camas antigas e colchão com cavidades de tão usados;;;;;
16 de novembro de 2022;Opinião Sincera.;Localização.;Instalação.;7;;;;
15 de novembro de 2022;Bom;localização;os itens do quarto estão bem envelhecidos e provoca uma impressão ruim.;7;;;;
15 de novembro de 2022;Muito bom;Atendimento e café da manhã;Ar condicionado barulhento;8;;;;
15 de novembro de 2022;Bom;localização;café da manhã;7;;;;
14 de novembro de 2022;Regular;Café da manhã excelente, localização otima;Limpeza do banheiro não estava adequada para o padrão do hotel.;6;;;;
13 de novembro de 2022;Hotel ok;Localização- não é distante do aeroporto. ;;;;;;
Cafe da manhã é bom.;;;;;;;;
Frigobar; apesar de estar desligado qdo cheguei;" funcionava bem e era silencioso.""";O quarto visivelmente precisa de manutenção- o marco da porta de entrada estava todo descascando, não tem como trancar a porta, o ar condicionado funcionava bem, mas estava com uma parte solta/quebrada. ;;;;;
"A cobrança não ter sido feita pelo Booking.com é ruim porque além de preencher um monte de dados ainda perde-se mais tempo pagando… a meu ver perde-se os benefícios do app!""";7;;;;;;;
11 de novembro de 2022;Muito bom;Gostei do espaço, tudo limpinho e organizado.;A receptividade ao chegar não foi muito boa, considerando que fiz uma viagem muito longa cheguei cansada e a recepcionista colocou dificuldade no atendimento, a cara fechada ao atender.;8;;;;
10 de novembro de 2022;Estadia tranquila.;quarto confortável e com ar condicionado;Não tem garagem. Tem que deixar um estacionamento o que gera custo extra. E o problema é que não estava na descrição no BOOKING;7;;;;
9 de novembro de 2022;Bom;Café da manhã razoável ;;;;;;
Quarto espaçoso; mas precisa melhorias;;;;;;;
"Localização boa""";Chuveiro;7;;;;;;
9 de novembro de 2022;Já tinha feito reserva e não consegui cancelar conforme estava no site;Localização;Sem Internet, cama e atendimento;6;;;;
6 de novembro de 2022;Bom;Uma excelente localização, perto de ótimos restaurantes. Perto da praia. Café da manhã bom.;;7;;;;
6 de novembro de 2022;Satisfatória.;O hotel atendeu às expectativas, sendo bem próximo ao aeroporto. Os funcionários foram atenciosos e o quarto estava bem limpo.;O único ponto negativo foi referente à janela do banheiro ser transparente e relativamente grande, o que trazia desconforto em utilizar o banheiro com a luz acesa à noite, uma vez que a região tem muitos prédios.;8;;;;
5 de novembro de 2022;Bom;Excelente localização, bem próxima da Igreja de Nossa Senhora da Boa Viagem.;O café da manhã deixa a desejar. Os quartos quase não têm tomadas para conectar dispositivos e carregadores. O ar condicionado do quarto é antigo e faz um barulho considerável.;7;;;;
3 de novembro de 2022;Continua sendo ótimo CUSTO-BENEFÍCIO;A cordialidade dos funcionários é excepcional;;8;;;;
1º de novembro de 2022;Muito bom;Atendimento na recepção e no café da manhã;Serviço de quarto...;8;;;;
27 de outubro de 2022;Muito bom;Localização;Do banheiro grande mas sem organização;8;;;;
26 de outubro de 2022;Hotel Agradável;Localização ótima ;;;;;;
Os funcionários muito prestativo.;;;;;;;;
"Limpeza boa.""";Faltou cabide para roupa.;;;;;;;
Escova e pasta de dente.;;;;;;;;
"Toca para não molhar o cabelo.""";7;;;;;;;
25 de outubro de 2022;Custo;Atendentes;Sem internet nos quartos e banheiro sujo;7;;;;
23 de outubro de 2022;Conveniência e tranquilidade ao lado da praia e pertinho do Aeroporto;O hotel fica localizado perto da praia, em avenida movimentada com fácil acesso ao aeroporto. Como estava em uma conexão de 16 horas foi uma excelente opção para ter uma note de sono tranquila. Equipe prestativa, hotel limpo e bem localizado e quarto espaçoso propiciaram uma ótima noite de sono. O quarto é amplo, não possui luxo mas é confortável, e o banheiro é amplo. O acesso ao Aeroporto é fácil (aprox. 10 min) e o silêncio propiciaram um excelente descanso, uma ótima combinação para viajantes como eu.;O café da manhã é muito simples, mas achei bem preparado. Mais opções de frutas seria bom. Embora exista elevador para acesso ao quarto, é necessário subir uma escada no Hall de entrada para acessá-lo, comprometendo sua acessibilidade. Bem funcional. O banheiro denuncia a idade do hotel, pelo tamanho poderia ter até banheira, mas só tem o básico mesmo.;8;;;;
23 de outubro de 2022;Excelente localização @;Gostei da localização excelente!;;;;;;
Do atendimento dos funcionários ;;;;;;;;
"Café da manhã.""";O hotel é bom, execelente localização, funcionários atenciosos, porém precisa passar por uma boa reforma na sua estrutura e instalações. Rever o sinal da Internet. Modernizar mesmo! O café da manhã tem variedades de opções. Tudo gostoso!! Custo benefício muito bom.!;7;;;;;;
20 de outubro de 2022;Muito bom;O hotel é bem próximo da praia. Custo benefício bom.;Instalações antigas, o banheiro parece ser da década de 90. Porém bem funcional, nada que atrapalhe.;8;;;;
18 de outubro de 2022;Bom;Localização e equipe do hotel excelentes.;;7;;;;
18 de outubro de 2022;Bom para descanso e trabalho.;Do atendimento dos funcionários;;7;;;;
17 de outubro de 2022;passamos apenas 1 diária, apenas pra dormir e banho. O que foi um bom custo x beneficio. Mas para mais diárias, não acon;a localização e a cama e roupas de cama limpas .;limpeza dos banheiros, as instalações são bem antigas e mal;;;;;
conservadas; a pia do banheiro entupida;" o chuveiro ruim.""";6;;;;;
13 de outubro de 2022;Satisfatório;Proximidade ao aeroporto;Higiene do local deixa a desejar;6;;;;
13 de outubro de 2022;Muito bom;;A limpeza precisa melhorar um pouco.;8;;;;
12 de outubro de 2022;Ótimo custo benefício em um local bem localizado.;A cama espaçosa e confortável, da limpeza e higiene.;O wi-fi no quarto não funciona.;8;;;;
12 de outubro de 2022;Agradável;O pessoal da recepção muito educados e solícitos, e a cama confortável. A localização também é muito boa!;;8;;;;
10 de outubro de 2022;Bom;A localização do hotel e o atendimento dos funcionários são excelentes!;;7;;;;
10 de outubro de 2022;Bom;Ótima localização;Ar condicionado barulhento, pouca roupa de cama, chuveiro ruim;7;;;;
9 de outubro de 2022;Poderia ser melhor;Café da manhã;O chuveiro tinha um defeito, demorava muito para ligar (e tinha que ter um jeitinho), achei isso muito chato.;;;;;
As portas também são bem velhas; a porta do banheiro; por exemplo;" não fechava.""";7;;;;
7 de outubro de 2022;Tudo bem mas dá para melhorar;Os funcionários são muito prestativos;"Não ter estacionamento foi um problema porque cheguei de madrugada e precisei levar o carro no estacionamento do hospital, aliás bem caro, que fica na rua. Café e instalações bem simples. Muita ""gambiarra"" nas instalações elétrica do quarto.";7;;;;
3 de outubro de 2022;Muito bom o preço pago inclusive pela localização;Localização, preço e atendimento dos funcionários;Ar condicionado, água de poço como o cheiro muito forte, e amarela.;8;;;;
3 de outubro de 2022;Muito bom;Fomos super bem recebidos e nos serviram o café da manhã antes do horário normal, pois nosso vôo era bem cedinho e nos presentearam com está gentileza!;;8;;;;
2 de outubro de 2022;Muito bom;Os funcionários são bem simpáticos e solícitos! Atendimento nota 10.;O chuveiro caía pouca água, o café da manhã não tem muita variedade e a acústica do hotel não é muito boa. Você escuta muito os barulhos dos carros passando na rua e de um estacionamento de um empresarial que fica bem próximo ao hotel.;8;;;;
29 de setembro de 2022;Muito bom;Limpeza/organização, atenção dos funcionários, café da manhã saboroso, boa localização.;Sinal ruim de wi-fi.;8;;;;
28 de setembro de 2022;Muito bom;;Não tem lugar pra guardar mala, pq meu vôo foi de noite;8;;;;
25 de setembro de 2022;Satisfatório;Hotel muito bem localizado.;As instalações precisam de reforma, a limpeza do banheiro é precária, no quarto não tem tomadas disponíveis, só no banheiro. Como está muito bem localizado, próximo do aeroporto e ficamos por apenas 3 dias foi razoável, mas para uma estadia mais longa seria bom se o hotel passasse por reforma e atualização geral.;6;;;;
22 de setembro de 2022;boa;limpeza;;8;;;;
20 de setembro de 2022;Boa localização.;Boa localização, próximo da Praia de Boa Viagem e comércio local, como farmácias, restaurante, lanchonetes e a Feirinha de Boa Viagem.;Do fato de não poder deixar as malas em algum local do hotel (recepção) após o encerramento do check out.;6;;;;
15 de setembro de 2022;Muito bom;A localização é ótima, perto de pontos comerciais e praia, transporte público para vários locais.;;;;;;
Café da manhã bom; com alimentos frescos e opções preparadas na hora; como bolo de milho e ovos mexidos;" funcionários solícitos""";;8;;;
15 de setembro de 2022;ótimo custo-benefício;O prédio parece ser um pouco antigo e o quarto segue essa toada, mas dá um tom de antiguidade bem interessante. Porém, falta um pouco de capricho no acabamento e instalar AC modelo split para reduzir o barulho (o AC do quarto era daquele modelo antigo, mas gelava normal, diga-se !!!). Nada que incomode, pois para uma noite (como foi o nosso caso) foi bem tranquilo mesmo. O valor da diária foi 150 reais (preço pelo quarto para um casal) então valeu o custo benefício e o hotel era bem pertinho do aeroporto (+/- 2 km), o qual era o nosso destino na manhã seguinte. A localização em geral parece ser boa, pois o hotel é próximo do aeroporto (vide o nome do hotel) e de um shopping. Os funcionários são atenciosos. O café da manhã era simples, mas suficiente. Vale o custo benefício para rápidas hospedagens.;Vale a pena melhorar o acabamento dos quartos e instalar um AC modelo splint por conta do barulho. Mas para rápidas hospedagens tudo certo. Vale a pena o custo-benefício.;8;;;;
14 de setembro de 2022;Muito bom;Hotel muito bom, ótima localização, funcionários muito educados e atenciosos. A limpeza também estava em ordem e o quarto estava arrumado. Só achei o wi-fi um pouco ruim e o ar-condicionado um pouco barulhento, mas de resto, estou muito satisfeita. Voltaria novamente!;;8;;;;
14 de setembro de 2022;Melhor custo-benefício em boa-viagem.;Custo-benefício e equipe.;Pelo preço estava dentro dos conformes. Café da manhã muito simples.;8;;;;
14 de setembro de 2022;Bom;;a internet não funcionou de maneira alguma e foi relatado na recepção e não foi dado atenção ao problema.;7;;;;
14 de setembro de 2022;Bom;Localização;Limpeza. Velho.;7;;;;
14 de setembro de 2022;Satisfatório;Localização e tamanho do quarto;Limpeza e manutenção;6;;;;
13 de setembro de 2022;Bom custo benefício;Hotel com bom custo benefício;Pouca tomada;7;;;;
12 de setembro de 2022;Muito bom;Localização;Nada.;8;;;;
12 de setembro de 2022;Hotel para viajantes;Da localização e preço;Quartos antigos;8;;;;
12 de setembro de 2022;Muito bom;Bem básica mais atendeu as minhas necessidades;;8;;;;
8 de setembro de 2022;Ficava pouco tempo no hotel, quase sempre pra dormir;O café da manhã era ótimo, bastante variedades, a Daiane, excelente cozinheira.;;;;;;
Localização perfeita;" perto de tudo.""";Minha segunda vez neste hotel, quem gosta torna;8;;;;;
8 de setembro de 2022;Pra pernoite tá bom;Localização;Colchão;7;;;;
7 de setembro de 2022;Bom;Localização, funcionários educados.;Rede wifi sem acesso a Internet.;7;;;;
6 de setembro de 2022;Precisa de modernizações.;Localização e educação dos funcionários.;Precisa de modernizações, inclusive uma internet melhor. Precisei cancelar uma reunião importante pq o Wi-fi não me atendeu. O café da manhã precisa melhorar também. As instalações são bem antigas, porém para curtos períodos atende. O ar condicionado tbm é precário, para períodos de mto calor, não recomendo.;6;;;;
4 de setembro de 2022;Satisfatório;Localização excelente, perto da feirinha.;Quarto e café da manhã super simples.;6;;;;
1º de setembro de 2022;custo benefício duvidoso;da localização;da qualidade das toalhas ;;;;;
"da pouca boa vontade dos funcionários da noite do sábado em orientar onde poderíamos achar um estacionamento pago""";7;;;;;;;
30 de agosto de 2022;Boa estadia.;Gostei do atendimento e da localização, café da manhã com poucas coisas porém muito bom.;O ar é do antigo o que causa um pouco de barulho na hora de dormir e o design do banheiro com muita informação.;8;;;;
30 de agosto de 2022;Bom custo-benefício. Perto do aeroporto, funcionários atenciosos e prestativos.;Localização.;;8;;;;
30 de agosto de 2022;Bom;;Internet não funciona;7;;;;
27 de agosto de 2022;Muito bom;Gostamos do atendimento de todos;Foi tudo bem;8;;;;
26 de agosto de 2022;Foi ok, mas provavelmente não voltaria. Equipe de atendimento bem razoável também.;Localização boa.;Wi-Fi não funcionava. Chuveiro ok. Cama razoável.;6;;;;
26 de agosto de 2022;Bom atendimento e custo-benefício. O Wi-fi não funcionou bem.;Atendimento e Café da Manhã.;O wi-fi não funcionou.;6;;;;
25 de agosto de 2022;Bom;Localização e Valor;Banheiro, ar condicionado.;7;;;;
25 de agosto de 2022;Deu pra dormir.;Razoável;O aspecto físico do ambiente.;7;;;;
22 de agosto de 2022;Bom;Localização e atendimento.;Wi-fi não tinha conexão.....nos dias de hoje, como pode?;;;;;
E o fato de não puder abrir a janela para o ar circular;" pois o Hospital de combate a COVID ser vizinho.""";7;;;;;;
21 de agosto de 2022;Atendeu minhas necessidades;Hotel muito bem localizado e os atendentes em especial a Flávia são muito prestativa;Pedi ao mensageiro para me acordar para ir ao consulado e o mesmo não o fez por sorte acordei a tempo e mesmo chegando um pouco atrasado fui atendido com muita sorte;8;;;;
20 de agosto de 2022;Bom;Boa localização e fácil acesso ao aeroporto;Poucas vagas para estacionar;7;;;;
20 de agosto de 2022;Bom;Boa localização e fácil acesso ao aeroporto;Poucas vagas para estacionar;7;;;;
20 de agosto de 2022;Bom;Boa localização e fácil acesso ao aeroporto;Poucas vagas para estacionar;7;;;;
19 de agosto de 2022;Muito bom;Bom;Nada a declarar;8;;;;
16 de agosto de 2022;Bom;Próximo a praia de boa viagem, tem muitas lanchonetes e mercados em volta, e também próximo a pracinha de boa viagem.;"Achei o hotel um pouco ""velho"" as acomodações são antigas, mas o preço compensa.";7;;;;
15 de agosto de 2022;Foi razoável.;A localização é boa, funcionários educados, espaçoso. banheiro bom e chuveiro bom.;Não tinha tomadas em canto nenhum do quarto, apenas a da tv e do frigobar. Nenhum a mais no quarto, achei muito ruim, não pude desligar o frigobar, então tive que desligar a tv pra carregar meu celular. e tive que usar uma tomada no banheiro pra carregar meu power bank. foi um transtorno. tem que ter tomadas ao lado da cama, ou próximo.;6;;;;
14 de agosto de 2022;Bom;;Toalhas não aparentavam estar limpas.;7;;;;
14 de agosto de 2022;Muito bom;HOTEL SIMPLES E MUITO BEM LOCALIZADO. EXCELENTE CUSTO-BENEFÍCIO. QUARTOS SIMPLES MAIS COM MUITO CONFORTO E PRINCIPALMENTE LIMPO. CAFÉ DA MANHÃ BEM LEGAL.;;8;;;;
11 de agosto de 2022;Muito bom;Cafe da manhã ótimo, perto da praia, aeroporto e mercados;limpeza deixou um pouco a desejar, poucas tomadas no quarto, pouca ventilação, armário pequeno;8;;;;
2 de agosto de 2022;Muito bom;Quarto simples, mas bem limpo e aconchegante. Atendimento excelente;;8;;;;
27 de julho de 2022;Muito bom;Custo benefício. O hotel fica bem localizado e tem tudo perto. A feirinha fica a uns 200m e dava pra ir lá comprar coisas pra comer. O aeroporto fica a 10 min mais ou menos. O café da manhã é simples mas bem servido. Os funcionários são top, muito educados e flexíveis.;Trata-se de um hotel com instalações antigas. O ar-condicionado faz bastante barulho, porém, abafou o barulho da rua.;8;;;;
21 de julho de 2022;Poucas horas só para dormir;;Falta das toalhas de banho e rosto.;6;;;;
20 de julho de 2022;Muito bom;Limpeza,localização;Tv;8;;;;
20 de julho de 2022;Satisfatório;Ótimo custo benefício, recomendo.;;6;;;;
