data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota
17 de maio de 2022;Pode melhorar;A localização com referência ao aeroporto. Bom apoio dos funcionários, que permitiram usar a cozinha para preparar um lanche rápido.;Banheiro com sujeira/mofo acumulado e o café da manhã servido somente a partir das 7:00. Nosso vôo era cedo e não deu tempo de tomar café porque tínhamos que sair às 6:40 do hotel. Comemos alguma coisa enquanto o staff preparava o café, mas na correria e somente alguns itens. O hotel precisa rever essa regra. Na mesma condição havia uns 10 hóspedes tentando comer alguma coisa pra sair, imagino que a totalidade dos hóspedes. Por se tratar de um hotel muiito utilizado por quem precisa pegar vôo, o café tem que ser mais flexível. Uma sugestão era ter uma opção de café continental servido no quarto para quem tem que sair mais cedo;7
15 de maio de 2022;Satisfatório;Dá localização;Saí sem café da manhã 😔, detalhe, eu preciso da minha prima refeição.;6
14 de maio de 2022;Bom custo beneficio;Bom custo benefício, 100% fiel às imagens. Bom para quem precisa de um pernoite.;Redondeza pouco amigável;8
29 de abril de 2022;Indiferente;Por ser próximo do aeroporto;Quarto fechado e fedendo a mofo. Cobertas úmidas pois o quarto não tinha ventilação, somente ar condicionado. Ao arrastar a cama, embaixo tinha muita sujeira.;6
29 de abril de 2022;Dentro do esperando;Localização próxima ao aeroporto;;
"Custo benefício""";;8;;
26 de abril de 2022;Boa relação de custo e benefício;A higiene do estabelecimento aparentemente muito boa.;;
"Atendentes da Recepção muito simpáticas e prestativas.""";Atraso no início do café da manhã foi anunciado para às 7h00;;;
"Funcionários da copa e cozinha precisam ser mais simpáticos e atenciosos com os hóspedes""";7;;;
12 de abril de 2022;Tranquila e bem limpo;Bem perto do aeroporto, café da manhã excelente;;8
11 de abril de 2022;Satisfatório;Fica muito perto do aeroporto e precisávamos de um local em conta para dormir pois nosso voo era as 3h da manha.;Nao tinha janela;6
6 de abril de 2022;Muito bom;Próximo ao aeroporto;As camas deveriam ser melhor;8
4 de abril de 2022;Ótimo custo-benefício próximo ao areroporto;A localização e a equipe são ótimas. A limpeza do quarto estava muito boa e as acomodações estão ok para o valor da diária.;Como saí de madrugada não tenho grandes pontos a relatar.;8
4 de abril de 2022;Pousada fantástica, impa, agradável, central, de fácil acesso. Os profissionais são excelentes.;A pousada como um todo, desde a acomodação a equipe, completamente profissionais e educados, muito solicitos.;Nada a declarar!;9
2 de abril de 2022;Boa estadia;Passamos apenas uma noite, para descanso, por ser perto do aeroporto. O atendimento é excelente, funcionários muito cordiais. O hotel bem localizado para nosso propósito. Quarto limpo. Bom custo x benefício.;Não há muito conforto mas isso já era esperado. Café da manhã bem simples.;7
30 de março de 2025;Excelente, café da manhã farto e delicioso.;Excelente! Mas acredito que o banheiro poderia ser mais limpo.;;10
24 de março de 2025;Foi ótima;A localização e o café da manhã são bons.;Atendeu as minhas expectativas, compensou pegar uma diária para dormir e ir de manhã para o meu destino final.;10
17 de março de 2025;Gostaria de enaltecer a simpatia e o excelente atendimento da senhora que cuida do café da manha! Se nao me engano o nom;Camas são confortáveis m, o ambiente é limpo.;Nada;10
15 de março de 2025;Aceitável;Localização próxima ao aeroporto.;Limpeza.;5
14 de março de 2025;Decepcionante;Atedentes atenciosos;Hospedagem muito simples para o valor cobrado, roupa de cama bem usada. Tudo bem antigo;4
28 de fevereiro de 2025;Maravilhosa e muito bem recebida;Conforto;;10
25 de fevereiro de 2025;Excelente para ficar perto do aeroporto.;Muito próxima ao aeroporto e com café da manhã.;Nada a comentar;10
20 de fevereiro de 2025;Não recomendo.;Funcionários gentis e café da manhã bom;Banheiro mofado, limpeza ruim, mal cheiro ;
Cama com lençóis e fronhas encardidas toalhas de banhos sem felpa ;;;;
"Barulhento e luzes incomodam""";1;;;
20 de fevereiro de 2025;Excepcional;;Apertada e poucas tomadas a;10
9 de fevereiro de 2025;não vale metade do que cobram;;A localização é bem ruim. Muito perigoso;4
5 de fevereiro de 2025;Aluguer sem água;A localização;Não tinha água.;
Não foi possível tomar banho. Mesmo para lavar os dentes tive que comprar uma água que me foi recusada a oferta! Tinha que pedir antecipadamente.;;;;
Houve barulho durante toda a noite. ;;;;
"Enfim!!! Tudo muito mau""";1;;;
4 de fevereiro de 2025;Ruim;;Muita escada. Para idoso e criança inviável;3
25 de janeiro de 2025;Decepcionante;Gentileza dos funcionários, localização e custo. Para passar uma noite é ok.;Como o quarto tem apenas uma janela pequena, os cheiros de madeira, produtos de limpeza etc ficam bem fortes. No banho não é possível escolher a temperatura, apenas água morna.;4
15 de janeiro de 2025;Apenas para dormir no máximo uma noite….;Apenas do atendimento;;1
8 de janeiro de 2025;Hrec;Tudo;Não tem nada que não gostei;10
6 de janeiro de 2025;Excepcional;Muito bom;;10
3 de janeiro de 2025;Excepcional;Atendentes atenciosas, simpáticas e sempre dispostas a ajudar. ;;
Hotel familiar. Café da manhã simples;" mas excelente!""";Apenas uma breve observação: não há elevador. Mas, eles oferecem ajuda para carregar as malas.;10;
26 de dezembro de 2024;Aceitável;Quarto bom e se bem bom.;Do anfitrião que nós recebeu. ;
Meu grosso e faltou honestidade com valores e quantidade de quartos;" poderíamos economizar 1 quarto. Pegamos 4 quarto onde sobrou 2 cama.""";5;;
19 de dezembro de 2024;Hospedagem tranquila e confortável;Proximidade com o aeroporto, quarto limpo e confortável. ;;
"Os funcionários muito prestativos e simpáticos.""";;10;;
18 de dezembro de 2024;super acomodação;todos atendem muito bem e a comida maravilhosa;o retorno do banheiro, fica um cheiro desagradável mais nada que incomoda muito!;10
9 de dezembro de 2024;Um lugar que voltaria e recomendaria;Tudo principalmente o atendimento;A internet tem que melhorar mais, pois não é muito boa;10
6 de dezembro de 2024;Horrível;Da localização;Quarto com mofo, cheiro insuportável.;
Banheiro minúsculo nem dá para se movimentar direito lá dentro; café da manhã que só tem pão ; cobertas que pinicam a gente ;" muito barulho vindo da rua""";2
3 de dezembro de 2024;Excepcional;Atendimento excelente.;;10
27 de novembro de 2024;10;Tava tudo muito lindo, limpo pessoa nem atenciosas;Tinha só uma tomada no banheiro e duas q era usada pela tv e outra pelo frigobar, e uma atrás da cabeceira da cama q não tinha como usa ,;10
24 de novembro de 2024;Custo benefício ótimo;Recepção;Não tem elevador;10
23 de novembro de 2024;Decepcionante;Apenas dos funcionários;Limpeza,mal cheiro no banheiro, fotos de.propaganda enganosa;4
20 de novembro de 2024;Decepcionante;Localização boa;O cheiro do local no momento do check-in estava horrível e por esse motivo nem tomamos café da manhã..;4
17 de novembro de 2024;Aceitável;Da cama e do café da manhã;banheiro muito pequeno, não dava nem para tomar banho;5
11 de novembro de 2024;Aceitável;Funcionários educados, atenciosos e café da manhã bem gostoso.;Cama muito desconfortável, quarto sem janelas e estacionamento aberto na rua e com poucas vagas.;5
29 de outubro de 2024;Decepção;Localização próxima ao aeroporto;Acomodação, colchão horrível, higiene, mal cheiro no quarto (cheiro de cigarro/fumante), controle do ar condicionado não funionava, sem elevador;2
27 de outubro de 2024;Aceitável;O colchão é velho, você deita tem um buraco (precisa trocar com urgência) minhas costas ficaram doendo, além disso o quarto tem cheiro de mofo e a internet perde a conexão direto.;;
;;;;
"Café da manhã bom.""";Colchão, internet, acústica (muitos hóspedes barulhentos);5;;
22 de outubro de 2024;Gostei muito do hotel e do Café da manhã;Excelente localização! Bem pertinho do aeroporto! Café da manhã sensacional! Quarto confortável! Ótimo custo benefício! Recomendo!;;10
22 de outubro de 2024;Muito boa!;O café é muito maravilhoso, com pessoas gentis na organização do café.;;10
4 de outubro de 2024;Muito ruim;Café da manhã;Limpeza;
Quarto pequeno demais;;;;
Camas duras;;;;
Barulho nos corredores;;;;
"Pior local que fiquei""";2;;;
1º de outubro de 2024;As duas noites que fiquei privada entupida, toalhas duras;Localização;Nada;2
28 de setembro de 2024;Atendeu porque é próximo do aeroporto;O café da manhã estava bom e o atendimento é ótimo;A limpeza não estava legal, tinha cabelo nas camas e o vaso sanitário estava sujo;
"Os quartos são abafados.""";5;;;
25 de setembro de 2024;Próximo do aeroporto e locadoras de carro.;Excelente localização.;Escadas.;10
23 de setembro de 2024;boa;limpeza e perto aeroporto;cafe da manha somente a partir das 7:00;10
9 de setembro de 2024;muito bom;Muito organizado, pessoas mega educadas, café da manhã maravilhoso, recomendo;não se aplica;10
2 de setembro de 2024;Muito caro;Café da manhã;Localização;1
25 de agosto de 2024;Uma negação, não devia está no booking;O pior hotel que eu já fiquei na vida, em frente a uma favela, local super período, o café manhã muito ruim;De tudo;2
15 de agosto de 2024;Não tão boa.;Conforto da cama;Mau cheiro dos cobertores e acesso aos quartos apenas pela escada.;4
12 de agosto de 2024;Lugar tranquilo e bem localizado;O quarto é aconchegante e com tudo funcionando, chuveiro quente;Chuveiro quente;10
26 de julho de 2024;Nunca mais.;Só vale pela localização ao lado do aeroporto;Barata e escorpião amarelo no banheiro. Barulho dos demais hóspedes, portas batendo para abrir e fechar;3
8 de julho de 2024;Não atendeu o básico.;Café da manhã bom.;Limpeza deixa muito a desejar, roupa de cama rasgada, box sujo e muita bagunça no corredor após as 23hs.;4
8 de julho de 2024;Ótimo custo-benefício , equipe muito simpática .;A localização pra mim foi excelente, pois ficava perto dos meus compromissos.;Café da manhã bem simples , só precisa prestar mais atenção pra não faltar as frutas, pois acabava o mamão, o melão e não era reposto rapidamente .;10
30 de junho de 2024;Excelente;Limpo, café da manhã gostoso e funcionários educados;Nada a reclamar;10
22 de junho de 2024;Excepcional;Café da manhã excelente e ótimo atendimento da equipe.;;10
11 de junho de 2024;Excepcional;Supriu para o que eu precisa que era somente dormir e no outro dia pegar o voo. Bem próximo ao aeroporto. Limpeza excelente! Funcionários super solícitos e amigáveis e um bom café da manhã ! Nada a reclamar.;;10
5 de junho de 2024;Não recomendaria.;Não gostei de nada.;Muito ruim. O quarto tinha um cheiro de mofo. Nos deu a impressão que já havia algum tempo que não era aberto. Não tem ventilação. Totalmente diferente das fotos. Nao recomendo.;2
27 de maio de 2024;Gostei bastante;Café da manhã é uma delícia, tapioca feita na hora sempre é bom né;Em baixo da cama tinham várias asas de insetos mortos :/ tivemos q afastar para ficar próximos da tomada e quando vimos achamos estranho por que não condizia com o resto do ambiente nem com o resto do hotel. As vezes ouvia os quartos vizinhos mas não me perturbou;10
19 de maio de 2024;Péssimo custo benefício. Quarto era puro mofo e abafado.;Somente do café da manhã;O quarto tinha muito cheiro de mofo. Era super abafado, sem janela nenhuma, e apertado. Solicitei um quarto com 3 camas e tinha 4. Uma das toalhas estava suja, com uma mancha marrom.;1
12 de maio de 2024;Excepcional;Excelente!!;;10
15 de abril de 2024;Excepcional;Recepção e limpeza;;10
10 de abril de 2024;Somente o colchão mesmo deixou a desejar, e a abertura do quarto por uma funcionária kkkkkk, invadiu mas nada demais. As;Localização próxima ao aeroporto.;Colchão.;10
30 de março de 2024;Era o que eu precisava pra passar uma noite em Recife e viajar no dia seguinte pela manhã;Da localização e do café;Do colchão. Duro e sem conforto;10
27 de março de 2024;Atendimento excelente e café tbm, mas o quarto não é igual ao anúncio.;Café da manhã e atendimento.;Limpeza do banheiro muito ruim, odor de urina muito forte e havia barata.;
"A roupa de cama estava com fedor de mofo e o quarto também com odor forte.""";5;;;
20 de março de 2024;Aceitável;;Cheiro de mofo;5
11 de março de 2024;Excepcional;Muito limpa e organizado!;;10
3 de março de 2024;Adorei;Os atendentes são muito receptivos. Para quem gosta, tem café disponível na garrafa o dia inteiro para os hóspedes. O café da manhã é excelente, com ótimas variedades, como Nutela e croissant. O quarto que fiquei eu achei bem organizado, calmo e limpo.;;10
27 de fevereiro de 2024;Péssima experiência;Localização.;Banheiro do quarto 8 com infiltração;
27 de fevereiro de 2024;Não indico;O funcionário da noite é extremamente educado e gentil.;Indico a gastarem um pouco mais e ficarem em um lugar melhor. O quarto é claustrofóbico, sem ventilação, sem luz e com cheiro de mofo. O banheiro é mto antigo, com mal cheiro e ralos mto abertos. Outro fato importante foi que ao chegar em casa, tirei as roupas da mochila que deixei no chão do quarto do hotel e havia um escorpião entre as roupas. Fiquei preocupada, achando que fosse daqui de casa, mas aqui nunca achei nenhum escorpião e havia batido veneno em td antes de viajar. Fui ler os comentários aqui e vi uma postagem de novembro, onde a moça achou um escorpião no banheiro. Eu nem iria avaliar, para não prejudicar o local, mas frente a isso, é mto séria a situação e os indícios indicam que veio do hotel.. Então achei necessário deixar o alerta, pois pode acontecer algo fatal. Inclusive minha mãe, que tem problemas de saúde estava conosco. Agradeço a Deus pelo escorpião não ter nos picado.;1
27 de fevereiro de 2024;Péssimo;Conforto da cama;Esgoto a céu aberto a poucos metros do hotel, favela em frente ao hotel,;1
26 de fevereiro de 2024;Excelente;Gostei de tudo ambiente muito agradável e recepcionista Incrível de educada e prestativa ( ela fica no período da manhã não sei o nome rsrs);;10
15 de fevereiro de 2024;Excepcional;Foi tudo muito bom;;10
22 de janeiro de 2024;Gostei muito!;De tudo! Somente elogios para funcionários e limpeza.;;10
12 de janeiro de 2024;Decepcionante;;A limpeza do quarto estava a desejar e encontramos muitas baratas no quarto que ficamos hospedados.;4
7 de janeiro de 2024;Excelente experiência;Bem;;
"Recebido pela recepção quarto cheguei já estava com ar ligado tudo limpo e organizado.""";Chuveiro não é muito;;;
"Quente mas é só o restante tudo ótimo.""";10;;;
2 de janeiro de 2024;Uma passagem rápida e marcante que merece ser repetida.;Localização, pro atividade e presteza dos funcionários. ;;
;;;;
São nota 10.;;;;
"Recomendarei aos amigos.""";Ter ficado pouco tempo. A cidade e a hospedam mereceriam mais tempo. ;;;
"Fico devendo retorno. Gostinho de quero +.""";10;;;
29 de dezembro de 2023;Excepcional;Limpeza, café da manhã, atendimento e localização.;Gostei de tudo.;10
17 de dezembro de 2023;Excelente;Os funcionários são excelentes, o café ótimo. ;;
"No geral valeu a pena.""";O fato de não ter elevador.;10;;
11 de dezembro de 2023;Fiquei satisfeito.;A atenção dos funcionários, a higiene, e o café da manhã.;;10
4 de dezembro de 2023;Ruim;Nada;Nada, quarto sem janelas nem no banheiro ,cheiro forte parecia inseticida um cúbiculo ainda bem que chegamos de madrugada 2,30hs e saimos pela manhã rumo a Porto de Galinhas,o café estava médio simples, não recomendo o hotel;3
3 de dezembro de 2023;Excepcional;Tudo de bom, limpo, organizado, o café da manhã excelente, super recomendo.;;10
24 de novembro de 2023;Passem longe!;O atendente do período da noite merece parabéns, super solicito e atencioso.;As fotos não condizem com a realidade, atendente grosseira, quarto minúsculo, banheiro velho, chão grudento, colcha manchada e molhada, de bônus achamos um escorpião na pia do banheiro. Isso com duas crianças pequenas, desespero total.;1
16 de novembro de 2023;Excepcional;Hotel para quem viaja a negócios. Quarto limpo e confortável. Café da manhã excelente. Equipe receptiva e educada. Tem um ótimo custo/benefício.;A localização é boa por ser próxima ao aeroporto, porém é numa rua muito movimentada. O carro precisa dormir em estacionamento na rua, mas sempre tem vaga à noite.;10
13 de novembro de 2023;Conforto pra quem só vai pra dormir, acordar e ficar o dia todo fora;;Tomadas caindo, uma tomada não funciona e o wi-fi nunca funcionava;3
12 de novembro de 2023;Pra 1 noite da pra ir;Atendentes prestativos e educados;Quarto com cheiro de mofo, camas pequenas;5
1º de novembro de 2023;Excepcional;Equipe e café da manhã;Barulho da rua;10
28 de outubro de 2023;Ótimo custo-benefício;Os funcionários são super simpáticos, a Yorrana e o Renato da recepção são super prestativos e simpáticos.Ar condicionado em otimas condições. Bom café da manhã e localizado bem perto ao aeroporto. Tem um supermercado em frente.;O chuveiro estava um pouco desajustado, muito próximo a parede.;10
25 de outubro de 2023;Péssimo;Não me hospedei;A localização gerou muita insegurança;1
9 de outubro de 2023;Supreendeu nossas expectativas;Tudo perfeito. Parabéns.;Nada a reclamar.;10
8 de outubro de 2023;Recomendo a todos!;De tudo! Ótimo café da manhã, atendimento, limpeza muito bem feita e quarto extremamente confortável!;Nada.;10
7 de outubro de 2023;Quero voltar;Tudo perfeito;;10
6 de outubro de 2023;Acolhimento, conforto, café top, excelente custo-benefício;Atendimento excelente, boa Disposição do quarto, cama confortável, ducha ótima, ar condicionado bom, café da manhã excelente, ambiente limpo e acolhedor;As escadas. Para mim tudo bem mas se estivesse com minha mãe seria um problema. Preciso avisar para pessoas com limitação de mobilidade.;10
2 de outubro de 2023;Bom;Localização próxima ao aeroporto.;Quarto sem ventilação.;
"Atendimento do café da manhã muito ruim.""";5;;;
20 de setembro de 2023;Confortável;Maravilho funcionários super simpáticos;;10
17 de setembro de 2023;Decepcionante;;Preço alto em relação ao que entrega. Localizado ao lado de uma favela, porém, próximo ao aeroporto.;4
14 de setembro de 2023;Aceitável;Funcionários receptivos. Localização próxima ao aeroporto. 5min de carro.;Cheiro de mofo nos quartos. Abafado. Sem ventilação. Difícil acesso aos quartos, tivemos que subir dois lances de escada.;5
28 de agosto de 2023;Excepcional;Café da manhã;;10
24 de agosto de 2023;Excelente;Tudo muito limpo e organizado!;Nada a reclamar;10
6 de agosto de 2023;Tivemos uma ótima estadia, próxima ida a Recife já sabemos onde ficar.;Ótimo atendimento dos funcionários, atenciosos e resolutivos.;Uma sugestão: colocar mais tomadas no quarto.;10
3 de agosto de 2023;ótima e confortavel;atendimento ótimo e tudo muito limpo e confortavel.;;10
30 de julho de 2023;Foi dentro do que pagamos para apenas descansar e seguir viagem;Café da manhã , superou as expectativas, a cozinheira faz uma tapioca top.;Do quartinho geral ,camas velhas e os travesseiro cheirava um pouco de mofo, falta de janela no quarto.;5
30 de julho de 2023;Ruim;Nada;Localização, quarto, café da manhã,;4
16 de julho de 2023;precisa de manutenção para ser melhor;cafe da manha era bom, proximo ao aeroporto, preço dentro das ofertas de localização era muito bom para passar 1 noite;quarto com muito cheiro de humidade, e com pintura e banheiro bem acabado;5
14 de julho de 2023;Aceitável;Preço e funcionarios;Limpeza cheiro, umidade, manutencao;5
14 de julho de 2023;Péssimo;;Teto do quarto completamente mofado.;1
12 de julho de 2023;Desconforto;;Das camas, horrível. Eu precisava apenas de uma boa noite de sono para seguir minha viagem mas tive uma péssima noite pelas camas horríveis.;2
11 de julho de 2023;Aceitável;Do café da manhã e da proximidade do aeroporto de Recife;As camas eram terríveis e super desconfortáveis. O quarto estava com várias infiltrações e com o teto totalmente embolorado por consequência das infiltrações.;5
5 de julho de 2023;Excepcional;Muito bom café da manhã ótimo! ;;
Quarto muito bom e bonito! ;;;;
"Limpeza e organização!""";;10;;
26 de junho de 2023;Pelo valor pago foi decepcionante;Localizado próximo ao aeroporto, mas cuidado ao chegar tarde que foi meu caso pois o local e bem estranho .;Cama de péssimo qualidade, café da manhã muito básico, instalação precisa de vários reparos.;4
23 de junho de 2023;Ruim;Café de manha boa;Quartos sem janelas, mofados e pequenas!;
"Muito caro!""";3;;;
12 de maio de 2023;;;;1
4 de maio de 2023;AVALIAÇÃO;Quarto bonito.;Nao tem ventilação e tem um fedor de mofo.;5
3 de maio de 2023;Funcionou para o que eu precisava, poucas horas de sono, mas não recomendo para estadia mais longa.;Proximidade do aeroporto (por isso escolhi esse hotel) e equipe muito gentil e atenciosa. Café da manhã também muito bom.;Tamanho do quarto, cheiro de mofo e naftalina.;5
29 de abril de 2023;Acomodações práticas;O local é muito prático, próximo de farmácias mercados e postos. Tem acomodações de qualidade. Bem prática. É próximo de uma lanchonete que tem delivery nos quartos. Isso é um ponto positivo. ;;
O café da manhã é reforçado; com variedade de pratos. ;;;
É um lugar muito próximo ao aeroporto. O taxi ficou cerca de 28 reais a noite e 22 de dia.;;;;
;;;;
Tenho rinite e cheguei no quarto com cheiro de tinta fresca;" resolveu-se quando coloquei o ar condicionado""";.;10;
24 de abril de 2023;Apesar de breve, muito satisfatória. Ambiente cheiroso e funcionários educados;ambiente muito limpo e cheiroso. café da manhã delicioso. funcionários educados e prestativos.;nada a reclamar;10
14 de abril de 2023;Decepcionante;muito apertado e muito mofo no banheiro, não muito higiênico;;4
11 de abril de 2023;Procuraria por outro;Quarto escuro;Quartos sem ventilação, me colocaram em um quarto com cheiro de mofo. foi preciso pedir para trocarem. ;
o quarto para onde me passaram estava melhor aromaticamente ;;;;
"Café da manhã fraco""";4;;;
8 de abril de 2023;Péssimo;;No anúncio dizia que não cobra taxa e nem adiantado. Entranto a cobrança no cartão de crédito foi feito 10h da manhã, sendo que o check-in era 14h e eu disse que chegaria 22h. O hotel é puro cheiro de mofo,, quartos sujos, toalhas rasgadas, banheiro fede a naftalina, inclusive tinha uma na pia. Sem janela no quarto. Péssimas acomodações. Café da manhã só a partir de 7h. Comida de qualidade duvidosa, pois algumas coisas que deveriam estar refrigeradas, estavam em temperatura ambiente.;1
3 de abril de 2023;Perfeita;A praia em frente é perfeita! Com maré baixa e alta dá pra aproveitar muito. Todo pessoal do Flat é muito atencioso. O apartamento é exatamente como nas fotos, com a vista mais linda. Cama boa, chuveiro bom. Airfrier funcionando. Tudo muito bom e limpo.;;10
24 de março de 2023;Aceitavel em urgências.;Conforto, higiene, e localização boas.;Porém, não tem elevadores. Acesso por escadas ruim pra quem se hospeda a partir do segundo andar.;5
22 de março de 2023;Apartamento e condomínio com excelente estrutura;Tudo maravilhoso! A proprietária é super atenciosa e nos da o suporte que precisamos.;.;10
19 de março de 2023;Excepcional;Atendimento;;10
16 de março de 2023;Hospedagem simples mas próxima ao aeroporto;Localização próxima ao aeroporto e café da manhã bom.;Quartos pequenos, sem ventilação, com cheiro forte de tinta e naftalina. Localizado em uma rua muito barulhenta, suja (no dia da estadia havia vazamento de esgoto na rua do hotel).;4
21 de fevereiro de 2023;Excepcional;Organização, limpeza, café da manhã, funcionários educados e prestativos.;;10
13 de fevereiro de 2023;Ok para poucos dias;Está em uma boa localização, perto do aeroporto.;Não tem elevador, então se você estiver com malas pesadas, prepare-se para carregá-las escada a cima. Fizeram a limpeza do nosso quarto, mas jogaram fora um bolo que tínhamos deixado (embalado e fechado). O ar condicionado deu problema mas nos colocaram em outro quarto para dormir. A porta do banheiro não fecha, porque fica travada pela pia.;5
3 de fevereiro de 2023;Ótimo ambiente.;Gostei da limpeza e organização do quarto.;.;10
19 de janeiro de 2023;Muito ruim;;Muito mofo;2
7 de janeiro de 2023;pousada próxima ao aeroporto de recife, mas muito desconfortável;o único ponto positivo foi a localização, por ser muito próxima ao aeroporto de recife. as instalações, banheiro, roupa de cama, estrutura do quarto, são decadentes, não tem como passar mais de uma noite;as instalações, banheiro, roupa de cama, estrutura do quarto, são decadentes, não tem como passar mais de uma noite;3
4 de janeiro de 2023;Excepcional;Atendimento excelente na recepção, quarto agradável, cama de casal espaçosa, hotel pertíssimo do aeroporto.;;10
30 de dezembro de 2022;;;;1
26 de dezembro de 2022;Cumpre protocolo;É bem simples, mas cumpre a funcionalidade. O ambiente é saudável. São prestativos. Tudo funciona bem. Não tem luxo, mas é funcional. Gostei!;Nada;10
25 de dezembro de 2022;hotel muito velho, local ruim;;quartos extremamente velhos, com muito mofo. pegamos apenas para uma noite com voo tarde, porém não vale a pena nem para uma noite.;3
19 de dezembro de 2022;me senti muito acolhido e confortável neste hotel.;um ótimo atendimento é excelente localização para quem está no aeroporto.;não tive pontos negativos;10
18 de novembro de 2022;Aceitável;Da localização e atendimento;O cheiro de mofo e o chuveiro água fria;5
11 de novembro de 2022;aceitavel pela proximidade e preço;a cama;cheiro de mofo e limpeza;5
17 de outubro de 2022;Excepcional;Adoramos passar uma noite, super limpo, cama confortável e café da manhã ótimo.;;
"Recomendo!""";Nada;10;;
13 de outubro de 2022;Ruim;do café da manhã e dos funcionários super solícitos;cheiro de mofo no quarto .;3
29 de setembro de 2022;Péssimo;Café da manhã;Quarto sem janela e com cheiro forte de mofo;1
29 de setembro de 2022;Excepcional;Lugar organizado e limbo;;10
21 de setembro de 2022;Decepcionada;;Eu não gostei do quarto, o cheiro de mofo é muito forte e não tem luz do dia e sem falar no café da manhã que é ruim.;4
19 de setembro de 2022;Ótimo hotel;Quarto maravilhoso, muito confortável e cheiroso. Chuveiro quente funcionando perfeitamente.;;10
19 de setembro de 2022;Decepcionante;Funcionários muito receptivos, simpáticos e atenciosos.;Primeiramente, o quarto sem saídas de ar (apenas uma pequena janela que dá para o corredor, o que acaba sendo inviável de abrir). Também não há saídas de ar (funcionando) no banheiro, o que deixa o quarto com mal cheiro toda vez que alguém vai ao banheiro. Segundamente, as portas não fecham. Apenas a de entrada, e com a chave. O banheiro não possui nem tranca e nem trinco funcionando, o que tira completamente a privacidade de que o utiliza. Para concluir, o papel higiênico que estava no banheiro quando chegamos era já utilizado por outro hóspede. Realmente foi uma estadia decepcionante. Sorte que só o utilizamos pra dormir mesmo, pois o preço não vale o que o hotel entrega.;4
11 de agosto de 2022;excelente custo benefício;tudo;não houve ponto negativo;10
7 de agosto de 2022;Muito ruim;Localização.;Muito sujo, cheiro de mofo, chuveiro não esquentou. Nao tem janelas.;2
28 de julho de 2022;Perfeito!;Merece um uau! Atendimento pelo WhatsApp e presencial muito show!! Acomodações ótimas e confortáveis. Café da manhã muito gostoso. Próximo do aeroporto. Passamos uma noite e uma manhã e foi excelente.;;10
10 de junho de 2022;Se arrependimento matasse…;Da proximidade com o aeroporto.;Não gostei. Tudo Velho com muito cheiro de mofo, em especial no quarto.;3
23 de maio de 2022;peessimo;não teve;de tudo.;1
11 de abril de 2022;Aceitável;Não tem janelar e o quarto cheirava um pouco a mofo;Falta janelas;5
6 de abril de 2022;REGULAR;Localização para o aeroporto é muito boa, para uma pernoite sozinho, ainda vai.;O chuveiro eletrico não funcionou, banho frio. O quarto cheirando um pouco a morfo e o frigobar velho desligado. Para o valor de 175,00 reais em dinheiro por uma diária, deixou a desejar.;5
4 de abril de 2022;Excepcional;traquilidade hospitalidade café da manhã tudo perfeito;;10
1º de abril de 2022;Ótima localização para pernoitar;Proximidade com aeroporto. Precisávamos de um lugar para passar a noite com as crianças antes de seguir para Porto de Galinhas. Foi uma escolha perfeita. Acordamos tomamos café da manhã manhã seguimos viagem.;;10
4 de abril de 2023;ótimo custo benefício.;suítes relativamente nova. e preço justo. nada de luxo nem lixo.;um lado do colchão estava bem desgastado em relação ao outro lado.;6
17 de maio de 2022;muito boa , ótimo custo benefício;ótima localização , funcionários muito receptivos !;;10
20 de dezembro de 2024;Satisfactory;O like the location and staffs.;I didn’t see the elevator;8
17 de dezembro de 2024;close to the airport & friendly staff at the reception;close to the airport, very friendly staff at the reception. They even spoke a little bit English and are there 24/7;-;8
11 de dezembro de 2024;3min drive from the airport, relatively quiet room & nice breakfast;very close to the airport, it‘s a 3min drive by car. We didn‘t walk because we arrived at around midnight.;;
It was relatively quiet in the room and we couldn‘t hear the street that well. That‘s because it has no outside window which was good because we wanted to rest.;;;;
"Nice breakfast buffet""";-;8;;
7 de agosto de 2024;Great for to stay for short time.;Comfortable beds, breakfast, airport 15 min walking distance.;Lack of windows to the outside in room.;8
25 de dezembro de 2023;Bom;Distancia do aeroporto;Escada;7
20 de junho de 2023;Muito bom;great staff and clean rooms. breakfast was great.;;8
23 de março de 2025;Decepcionante;The location is great.;Poor maintenance, no lift, fridge wasn’t working.;4
18 de fevereiro de 2025;Aceitável;The breakfast and the attention;The beds were very hard;
"Las indivisuale eran muy duras""";5;;;
10 de julho de 2022;Very Good;Going very morning before of brakefest;;10
30 de março de 2025;Muito bom;Aceptable para pasar una noche cerca del aeropuerto .;;
" Buen desayuno""";;8;;
28 de março de 2025;Muito bom;Muy bueno para pasar la noche cerca del aeropuerto. Desayuno bien. Limpieza bien. Al lado hay una pizzería muy buena. La zona para caminar desde el aeropuerto no es buena, mejor ir en taxi que sale unos 5€;;8
28 de março de 2025;Muito bom;Sur la chambre 16, très déçu. ;;
"La 18 valait le prix""";La 16 est trop petite, surtout la sdb.;;;
"La vue sur la rue""";8;;;
