data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;
19 de junho de 2023;bom para casais e viajantes individuais. Crianças não tem atrações de lazer e o café da manhã não serviu pão de queijo,;localização, custo benefício;ar-condicionado, de janela, embora funcionasse bem era bastante barulhento. Estacionamento apenas externo, mas com bastante vagas.;8;;;;;
17 de junho de 2023;Atende bem ao que se propõe;Localização boa, café da manhã médio;Estacionamento, café da manhã;8;;;;;
13 de junho de 2023;Recomendo, ótimo custo-benefício.;Localização excelente, próximo ao aeroporto. Fica na beira da praia, ótima vista.;O café poderia ter mais opções, mas tem o necessário.;9;;;;;
4 de junho de 2023;Boa;Estrutura;Cama, café da manhã;7;;;;;
1º de junho de 2023;satisfatoria.;Café da manha razoável.;Instalações do banheiro.;8;;;;;
29 de maio de 2023;Fantástico;Atenção dos profissionais e o café da manhã;Os carros ficarem expostos;9;;;;;
26 de maio de 2023;Bom;;Não oferece opções de almoço e jantar;7;;;;;
16 de maio de 2023;Bom;Bom hotel..no app se ve a localização em Boa Viagem, mas fica em Piedade região mais periférica , nao tem muita opção de restaurantes.;;;;;;;
E bem funcional ; agradável; fomos bem atendidos.;;;;;;;
Incomodou um pouco o mau cheiro no banheiro;" nao tem ralo com sifão(fechamento).""";E um hotel confortável , bom cafe da manhã, vista bonita.;7;;;;;;
11 de maio de 2023;Bom;localização;café da manhã;7;;;;;
10 de maio de 2023;Bom;;Ar condicionado muito barulhento e travesseiro duro.;7;;;;;
26 de abril de 2023;Bom;O quarto apesar de simples é bom.;A Recepção estava fervendo de quente. Sem Ar-condicionado.;7;;;;;
26 de abril de 2023;Fantástico;Localização excelente e atenção dos funcionários;Quarto pequeno;9;;;;;
26 de abril de 2023;bom custo beneficio;café da manha bom.;localização achei um pouco longe;7;;;;;
14 de abril de 2023;Boa, sem grandes novidades;atenção pessoal da cozinha, e camareiras;pessoal da recepção muito seco;7;;;;;
10 de abril de 2023;Bom;O hotel é bom, o custo benefício também, é relativamente próximo de todos os lugares que visitamos, não gastamos mais que 20 reais em cada corrida de uber.;O hotel não possui área de lazer, não possui nenhum espaço de convivência por isso voltávamos ao hotel apenas na hora de dormir. Acredito que esteja passando por reformas e por isso tinha poeira no quarto, não o suficiente para considerar sujo mas como sou alérgica sofri bastante durante a hospedagem.;7;;;;;
8 de abril de 2023;Excelente custo-benefício;Os funcionários foram simpáticos e prestativos, inclusive permitiram a entrada uma hora antes do horário de check in. As acomodações atenderam as necessidades. A localização é boa, vidro que nosso interesse era estar próximo ao aeroporto. Mas também o hotel fica em frente à praia, ainda que essa não seja adequada para banho. O café da manhã é muito bom, tem quantidade, qualidade e variedade de itens. Além disso, o local do café da manhã tem uma vista belíssima para o mar.;Acho que as toalhas poderiam estar em melhores condições. Notamos elas um pouco encardidas. Também podem estar assim pelo tempo de uso. Enfim, não é agradável, mas não pareceram sujas.;9;;;;;
3 de abril de 2023;Razoável;A limpeza, o café da manhã.;O sinal de Internet é ruim, tivemos problemas com o Box do chuveiro entupido que só foi resolvido no dia seguinte. Pedi um quarto quádruplo e uma das camas era horrível, deviam tirar este tipo de quarto do site.;7;;;;;
3 de abril de 2023;Bom;Achei que o café da manhã poderia ter mais opções!;As toalhas pareciam que estavam sujas.. a limpeza dos quartos era razoável.;7;;;;;
31 de março de 2023;Muito bom;Localização, preço;;8;;;;;
21 de março de 2023;Maravilhoso;A vista do Hotel é Linda , de frente para o Mar, o café da manhã incrível e o atendimento melhor ainda. Parabens a toda equipe de funcionários do hotel.;;9;;;;;
20 de março de 2023;Fantástico;;Falta de área de lazer.;9;;;;;
20 de março de 2023;Recife - final de semana.;Localização acessível, café da manhã e atendimento dos funcionários.;A Limpeza não estava boa, tinha poeira e insetos no quarto. ;;;;;;
O colchão e travesseiros não eram confortáveis. ;;;;;;;;;
"O ar condiconado era antigo e barulhento.""";7;;;;;;;;
17 de março de 2023;bom custo benefício;preço ;;;;;;;
localização ;;;;;;;;;
"limpeza""";o café da manhã não manteve o padrão de anos anteriores;7;;;;;;;
16 de março de 2023;Vale muito o custo benefício. O atendimento dos funcionários e excelente.;Cama confortável. ar condicionado funcionando super bem. ótima internet. E atendimento excelente.;Banheiro muito escuro e falta uns ganchos para pendurar, roupas e/ou toalhas. Box muito antigo.;8;;;;;
16 de março de 2023;Muito bom;Localização boa mas o café da manhã achei um pouco sem muita opção;;8;;;;;
15 de março de 2023;Muito bom;Funcionários atenciosos. Hotel bem cuidado.;Área de ficar observando o mar só abre no horário do café da manhã. Café da manhã com poucas opções principalmente de carne. Localização distante do centro do Recife.;8;;;;;
12 de março de 2023;Muito bom;Ótimo atendimento,gostei do café, tem uma bela vista do quarto que fiquei, muito tranquilo;;8;;;;;
11 de março de 2023;Pelos preços praticados na região, foi o melhor custo-benefício que encontramos.;Localização excelente;;;;;;;
6 de março de 2023;O hotel atendeu minhas expectativas, café da manhã bom e vista bonita.;café da manhã muito bom, com restaurante com vista para o mar;poderia ter estacionamento e um chuveiro na entrada do hotel para lavar pés após chegada da praia;8;;;;;
6 de março de 2023;Bom;;Os colchões parecem rede de tão velhos, para dormir forma uma cova.;7;;;;;
4 de março de 2023;Bom;Limpo e agradável, ;;;;;;;
Localização ;;;;;;;;;
" custo benefício""";Falta de atenção dos funcionários não olha no olho do cliente,, chegar noite não tem ninguém na recepção, o cuscuz tinha um cabelo e moça da cozinha só fica no celular mal dar bom dia para os clientes. Enfim e só pontos de melhorias.;7;;;;;;;
3 de março de 2023;Vista belíssima da praia!;Café ótimo e localização excelente;Barulho de ar condicionado e dos veículos.;9;;;;;
2 de março de 2023;Bom custo-benefício.;Cortesia dos funcionários e limpeza.;Café da manhã básico, com reposição demorada. No último dia de nossa estada, não havia mais nenhuma opção de bolo.;8;;;;;
28 de fevereiro de 2023;Fantástico;Café da manhã muito bom, excelentes acomodações.;;9;;;;;
26 de fevereiro de 2023;Bom custo benefício.;Ótima localização.;Café da manhã deixa muito a desejar.;8;;;;;
25 de fevereiro de 2023;Muito bom;Quarto confortável. Proximidade da praia.;;8;;;;;
24 de fevereiro de 2023;Estadia razoável.;Limpeza;Cômodo e mobília bem antigos. Café da manhã com pouquíssimas opções.;7;;;;;
22 de fevereiro de 2023;voltaria sem problemas;a cama e as trocas de cama e banho com a limpeza, além da regra de não fumar;muitos pontos em reforma;7;;;;;
20 de fevereiro de 2023;Recomendo. Vale muito o custo Benefício;Chuveiro quentinha. Ar condicionado silencioso e muito bom. Cama bem confortável;acho que a limpeza dos quartos precisa de um pouco mais de atenção.;8;;;;;
19 de fevereiro de 2023;Colchão desconfortável;No geral é um lugar bem tranquilo pra estar, ótimo café da manhã e limpeza excelente 😄;A cama . O colchão é muito mole, quando um movimenta na cama o outro se sente incomodado;8;;;;;
13 de fevereiro de 2023;Muito bom;Proximidade da praia;Distância dos restaurantes;8;;;;;
11 de fevereiro de 2023;Muito bom;Bom café da manhã e próximo do aeroporto;Manutenção do Banheiro pode melhorar;8;;;;;
10 de fevereiro de 2023;voltaria mais vezes;Eu fiquei no quarto com uma vista mar lindaaaa. Os funcionários são atenciosos. As acomodações são ótimas também.;Da conexão com a internet. Quase inexistente;8;;;;;
7 de fevereiro de 2023;Bom;;Tv smart não funciona .;7;;;;;
5 de fevereiro de 2023;boa;Do café da manhã;Do wi-fi e TB não havia garagem para os veículos;7;;;;;
2 de fevereiro de 2023;Muito bom;Da atenção exemplar da Camareira Lúcia. Sempre atenciosa e preocupada com o nosso bem estar. Todos os dias deixava o nosso quarto limpo e agradável.;;8;;;;;
2 de fevereiro de 2023;Hotel Barramares Recife;Sensacional. Ótima localização, excelente atendimento, funcionários sempre prontos para melhorar a nossa estádia. Educados e cortês. Café da manhã bom. Local agradável e bem localizado. Apartamento aconchegante e confortável. Tudo funcionando.;A tv só tem canais abertos e o recepcionista da noite não é tão cortês. Achei um pouco irônico, mas não quis comprometer minha viagem.;9;;;;;
31 de janeiro de 2023;foi meia boca;localização;café da manhã;9;;;;;
20 de janeiro de 2023;Bom;Café da manhã, localização, limpeza etc.;Água fria para banho.;7;;;;;
15 de janeiro de 2023;Fantástico;Café da manhã muito bom.;Banheiro com piso e aspecto de sujo.;9;;;;;
11 de janeiro de 2023;Muito bom;Café da manhã e o quarto;;8;;;;;
10 de janeiro de 2023;Bom;local;cara é impossível de cancelamento;7;;;;;
9 de janeiro de 2023;Fantástico;Atendimento excelente;Questão da praia n da pra entrar .... mas isso n tem relação com hotel;9;;;;;
9 de janeiro de 2023;volto;Equipe receptiva e acolhedora;;;;;;;
8 de janeiro de 2023;uma acomodação razoável;quarto frente mar;ar condicionado antigo, muito barulhento, frigobar desabastecido, chuveiro não sai água quente.;9;;;;;
6 de janeiro de 2023;Bom;As instalacões sao boas.;Do café da manhã, pouco opção, demora para reposicão.;7;;;;;
2 de janeiro de 2023;Muito bom;Atendimento perfeito , todos muito simpáticos principalmente a Cris.;Wi-Fi péssimo não chega nos quartos , não dá pra assistir nada só canais normais.;8;;;;;
2 de janeiro de 2023;bom custo-benefício;pretíssimo do local em que estava trabalhando e da praia.;pela proximidade da praia o apartamento juntava areia facilmente. tive que pedir para a camareira varrer o quarto para tirar a areia. isso deveria ser feito automaticamente, sem a necessidade de eu pedir.;8;;;;;
29 de dezembro de 2022;bom custo beneficio;atenciosidade dos funcionarios, localizacao, custo beneficio;Quando eu fui tomar banho a água estava fria;9;;;;;
18 de dezembro de 2022;Melhorar o relacionamento entre os funcionários. Colocar cada um no seu devido lugar trabalhando.;Da cordialidade e atenção da recepção.....excelente. atentos, muito bem. Atendida.;Travesseiro ;;;;;;
O café da manhã com pão mofado. ;;;;;;;;;
Funcionários insatisfeito; falando de atitudes de outros funcionários. Pedi uma tapioca; ontem até o momento não comi . Vários grupos de conversas de funcionários só fofocando..por onde vc anda pelo hotel tem rodas de conversas negativas. ;;;;;;;
Avisar o hóspede de eventos no hotel. Muito barulho ;" principalmente à noite. Ou melhorar a acústica para diminuir o barulho.""";8;;;;;;;
13 de dezembro de 2022;Bom;Perto do mar,chuveiro quente e frio.,demais conforto no quarto.;Colchão de mola da cama muito flexivel;;;;;;
"Restaurante não funciona.""";7;;;;;;;;
11 de dezembro de 2022;Ótima;Tamanho do quarto e vista;Barulho muito alto do ar condicionado;9;;;;;
8 de dezembro de 2022;Confortável;OS SERVIÇOS OFERECIDOS FUNCIONARAM, ATENDIMENTO MUITO BOM;Não ter serviço de restaurante, room service e etc...;8;;;;;
6 de dezembro de 2022;Recomendo e voltaria!;localização, café da manhã, conforto e funcionários gentis!;Falta piscina, porém é um ótimo custo benefício!;9;;;;;
1º de dezembro de 2022;Fantástico;Ótimo atendimento. Atenderam a solicitação de frutas no quarto para meu filho alérgico alimentar ❤️;Quarto era pequeno. Mas como era somente uma diária, serviu muito bem!;9;;;;;
30 de novembro de 2022;Muito bom;Hotel super organizado e limpo.;Praias próximas sem poder tomar banho, e assalto nas regiões próximo ao hotel..;8;;;;;
19 de novembro de 2022;Razoável;Localização próxima ao aeroporto e fica beira-mar;Café fraco;7;;;;;
16 de novembro de 2022;Perfeito;A localização é otima, a beira mar, custo benefício e limpeza.;Reposição do café da manhã é lenta.;9;;;;;
14 de novembro de 2022;Fantástico;Localização, atendimento principalmente da Jéssica , da muitas dicas boas , gentil . Ela é um amor de pessoa;Acústica do hotel , da pra ouvir muito corredor .;9;;;;;
14 de novembro de 2022;Fantástico;Localização;Barulho por está perto do aeroporto;9;;;;;
18 de outubro de 2022;Gostei do hotel.;Café da manhã, quarto.;Um pouco distante da praia de boa viagem.;9;;;;;
17 de outubro de 2022;Excelente custo-benefício;Hotel simples, em frente a praia. Um pouco desgastado, precisando de manutenção (está tendo algumas reformas).;Foi tudo bem tranquilo, atendeu às minhas expectativas.;8;;;;;
13 de outubro de 2022;Gostei de tudo;Localização ;;;;;;;
" Beira mar""";Beira mar a noite fica um pouco deserto;9;;;;;;;
13 de outubro de 2022;Boa;Atendimento, limpeza e organização.;Só wi fi que não funcionou.;9;;;;;
26 de setembro de 2022;Fantástico;Café da Manhã;;;;;;;
"Localização""";Cama / colchão;9;;;;;;;
26 de setembro de 2022;Hotel Regular;Atendimento pessoal super legal, na resolução de alguma inconformidade.;Mesa e cadeira para trabalho, muito desconfotável;7;;;;;
25 de setembro de 2022;hotel muito limpo, localização boa e ótimo custo benefício.;limpeza e custo benefício;porta estava com;;;;;;
"defeito e a área da piscina estava em manutenção por tempo indeterminado""";9;;;;;;;;
23 de setembro de 2022;Decepcionante a equipe de trabalho de lá !;Café da manhã , localização .;A equipe do balcão é muito desatenta, frequentemente ausente e sem prestatividade com o cliente . Eles ficam com o controle do ar condicionado na recepção e não avisam , os cartões de entrada nos quartos frequentemente descarregados. Sempre que vou já me preocupo com estes dois itens e não vejo preocupação em melhorar, sem falar que n oferecem água nos quartos e não avisam , tendo que o cliente descer p pegar. Impressionante como não há comunicação neste hotel. Falta um preparo mínimo para funcionar.;8;;;;;
20 de setembro de 2022;Bom;Localização;Portas dos quartos barulhentas, box encardido, janela do quarto muito pequena, nao tem nenhum tipo de streaming na tv do quarto somente canais abertos, colchão bastante mole, café da manhã somente o básico, Internet oscilava e caia muito e todas as vezes era necessário colocar login e senha novamente.;7;;;;;
14 de setembro de 2022;Fantástico;Da limpeza, da acomodação, de todos os funcionários, do silêncio à noite, da sala de recepção, da proximidade e vista do mar e da tranquilidade do lugar, do guarda roupa e da mesinha de refeição com vista para o mar. As cortinas eram bonitas e novas, poderiam talvez escurecer um pouco mais à noite. O banho era perfeito e a regulagem água quente e fria funcionou perfeitamente.;O café da manhã por dois dias acabou o ovo mexido e no primeiro dia tinha suco artificial. Mas o restante do café era muito bom.;;;;;;
"Tinha um pequeno vazamento no box mas a funcionária da limpeza foi solicita me dando mais um tapete para usar enquanto o concerto não era feito.""";9;;;;;;;;
8 de setembro de 2022;Mediano.;Local calmo, facil acesso, funcionarios gentis e educados, quarto e banheiro limpos.;Falta de acessibilidade adequada para entrada no hotel, quarto muito pequeno, café da manhã com poucas opções, falta de estacionamento privativo, custo-beneficio, achei caro para o q oferece.;7;;;;;
31 de agosto de 2022;Fantástico;Localização;Falta de Estacionamento;9;;;;;
31 de agosto de 2022;muito boa;localização e cafe da manha;restaurante para servir os hospedes;7;;;;;
30 de agosto de 2022;custo beneficio bom, desde que você não seja tão criterioso e perfeccionista.;Camas bem confortáveis e custo beneficio agradável.;Chuveiro quase não sai agua, estacionamento cabem apenas 4 ou 5 carros, área do café da manha com goteiras e o chão estava com varias poças além de demorarem a repor os itens do café da manha.;7;;;;;
23 de agosto de 2022;Bom;Gostei da limpeza do hotel.;Não consegui dormir, pois fica próximo a pista do aeroporto, ouvia a todo momento os aviões decolarem, mesmo com o ar ligado, se ouvia o barulho.;7;;;;;
19 de agosto de 2022;Bom custo-benefício;Proximidade do HARF;Não tem estacionamento.;8;;;;;
15 de agosto de 2022;Muito bom;;CAFÉ DA MANHÃ COM PRATOS QUENTES DESLIGADOS;8;;;;;
17 de julho de 2022;Muito bom;A localização dele é muito boa!;O recepcionista ligou para o quarto depois das 22hs para confirmar o meu nome referente a reserva. Já me encontrava dormindo...;8;;;;;
30 de maio de 2022;Foi muito Legal!;Gostei do atendimento dos funcionários, muito simpático a limpeza e o quarto com uma bela vista para o mar muito bom.;Á internet é muito, muito ruim. Se você precisar para trabalho fica difícil. Toda hora caía e tínhamos que colocar a senha de novo. Precisam melhorar e muito nesse quesito. A praia em frente não serve para banho e não tem restaurante por perto. Para ir a praia da Boa viagem a onde tudo acontece… só de Uber ou fazer uma boa caminhada. Para quem gosta desse esporte, está bom. Quem gosta de paz e silêncio o local também é perfeito, com uma bela vista para o mar da Piedade.;9;;;;;
24 de abril de 2022;Fantástico;Boa localização em frente ao mar, funcionários simpáticos e prestativos.;;9;;;;;
8 de abril de 2022;Bom;O hotel é bom, limpo boa estrutura, pessoal prestativo.;Pelo valor da diária e o valor do café da manhã, o custo beneficio não é bom. Achei caro o café da manhã pelo que entrega. E não tem uma panificadora próxima, pelo menos para ir a pé, fazendo ficar dependente do café da manhã do hotel.;7;;;;;
29 de março de 2022;A estadia foi boa.;o Café da manhã não estava incluso no valor da reserva, tivemos que pagar por fora. Tinha uma boa variedade de frutas. Mas achei deselegante uma parte da louça ser descartável.;O chão do meu quarto parecia que não tinha sido muito bem limpo. Pude sentir areia ao andar e um pouco de humidade. As mantas não estavam cheirosas, pareciam que já haviam sido usadas por alguém e não tinham sido lavadas, foi essa a impressão que fiquei. Esqueceram de deixar toalhas no quarto, tive que solicitar.;7;;;;;
26 de março de 2025;Satisfatório;Hotel bem localizado, mas padece de manutenção, roupas de cama e toalhas gastos, ralo entupido e o café da manhã muito simples, suco artificial horrível!!;;6;;;;;
24 de março de 2025;Preferiria ter ido a outro hotel.;Todos os funcionários me trataram muito bem.;Cama de casal é uma coisa duas camas de solteiro juntas é outra coisa. Fiquei em um apto em que a janela era mínima.;5;;;;;
24 de março de 2025;Decepcionante;;o quarto estava com um pouco de cheiro de mofo;4;;;;;
23 de março de 2025;Ganância;Preço;"Má vontade da recepção. Precisava fazer um ""late check-out "", disse que eu pagaria alguma taxa pra sair às 18h00m ao invés das 12h00m, porém, logo foi negado, mas, se eu pagasse uma diária a mais eu poderia ficar. Sempre o lucro em primeiro lugar. Não tem lugar pra pagar um late check-out, mas, se pagar a diária cheia sou bem vindo. Péssima política do Hotel. Não retornarei mais.";5;;;;;
16 de março de 2025;Ótimo custo benefício;Ótima localização, excelente atendimento, cama confortável, menos de 5km do shopping e do aeroporto;;10;;;;;
15 de março de 2025;Ótimo custo benefício;Beira mar;;10;;;;;
13 de março de 2025;PROPAGANDA E LOCALIZAÇÃO ENGANOSA.;Única coisa boa desse hotel são as camas, são bem confortáveis e a vista tbm, porém uma vista que não se pode desfrutar, já que a praia de Piedade que fica em frete ao hotel é perigosa por causa dos tubarões.;Não gostei de praticamente TUDO, a começar pela propaganda ENGANOSA, falar que o hotel fica a 20m da praia de Boa Viagem, MENTIRAAA, o hotel fica em frente a praia de Piedade e a 6km da praia de Boa Viagem, fiquei pê da vida quando constatei isso lá. Segunda coisa, o café da manhã de lá é péssimo, muito pobre pelo valor que é cobrado pela diária deveria ser ao menos caprichado, peguei 3 diarias lá, e serviram bolo do dia anterior, sem contar que são aqueles bolos de caixinha, não tinha nada marcante e nem gostoso, só tinha o básico, do básico, do básico. O banheiro saia um cheiro horrível do ralo. O hotel em si é bonito, chamativo, mas sua construção é antiga, porém conservada, mas a encanacao precisa ser revista. Pela localização, só serve para quem vai a trabalho, pois pra quem vai a passeio, não desfruta de NADA, nem mesmo do café da manhã. Sem contar que a noite é bem perigoso e não tem nada perto, só nas ruas atrás que são bem desertas e escuras, só dá pra sair pelo dia, mas caminha muito tbm, na maior parte peguei Uber. Enfim, NAO RECOMENDO, e olha que fui pelos comentários e pela falsa localização, não sei como esse hotel conseguiu média 8,0.;1;;;;;
10 de março de 2025;Excepcional;Estadia excelente, quando voltar com certeza me hospedarei neste hotel. Atendimento, limpeza, quarto e localização excelentes.;Praia imprópria para banho.;10;;;;;
4 de março de 2025;Atendimento ótimo de frente para praia.;Os funcionários são muito solícitos e estão sempre a postos para ajudar com qualquer situação. Desde o café da manhã ao apoio ao home office.;——;10;;;;;
1º de março de 2025;NÃO INDICO ! JAMAIS VOLTAREI !;NADA !;Ar condicionado não gela !;;;;;;
Quarto com mau cheiro!;;;;;;;;;
"Tudo apertado sem condições de abrir uma mala.""";1;;;;;;;;
24 de fevereiro de 2025;Péssimo;Localização;Instalações antigas e mal conservadas;;;;;;
Limpeza do quarto e banheiro a desejar;;;;;;;;;
Controle do ar condicionado não funciona;;;;;;;;;
Café da manhã;" fui tomar chá quente e a água da cafeteira não estava quente.""";1;;;;;;;
24 de fevereiro de 2025;Péssimo;Localização de frente a praia.;#NOME?;;;;;;
#NOME?;;;;;;;;;
#NOME?;;;;;;;;;
#NOME?;;;;;;;;;
#NOME?;;;;;;;;;
#NOME?;" estão mal conservadas.""";1;;;;;;;
17 de fevereiro de 2025;Não voltaria;;Não consegui dormir, porque passei a noite inteira acordando e ouvindo quem saia ou chegada hotel, pois estava em um quarto de frente para o elevador, então escutava tudo e até demais. Outro ponto bastante negativo foi o ar condicionado que não funcionava corretamente (a mulher da recepção ainda quis enrolar que Recife é quente, mas o ar pra ela na recepção tava bem geladinho mesmo com o calor da cidade ne? Estranho...).;5;;;;;
17 de fevereiro de 2025;Melhorar na limpeza;Café da manhã está muito bom. A vista e a localização são perfeitas.;O banheiro, na parte do Chuveiro estava sujo, a pia tb, Depois começou um vazamento muito grande, molhando o quarto todo.;5;;;;;
15 de fevereiro de 2025;Excepcional;Tudo;;10;;;;;
12 de fevereiro de 2025;Excepcional;Quartos amplos e limpos !;;10;;;;;
4 de fevereiro de 2025;Muito boa;Funcionários atenciosos, limpeza, café da manhã muito bom, espaço do quarto também é muito bom. Tivemos uma ótima estadia. Recomendo.;;10;;;;;
23 de janeiro de 2025;O hotel e ótimo e o café da manhã uma delícia.;Gostei de tudo.;;10;;;;;
13 de janeiro de 2025;Excepcional;Excelente localização, café da manhã variado, quarto muito confortável. Detalhe: A praia de Piedade não é própria para banho.;;10;;;;;
13 de janeiro de 2025;Tive que sair uma diária antes porque o hotel não estava agradando;Funcionários;Quarto, café da manhã, ar condicionado;5;;;;;
9 de janeiro de 2025;Conforto e benefícios;Da limpeza e do conforto;Nenhuma desgosto;10;;;;;
7 de janeiro de 2025;Satisfatório;De frente à praia;Cama desconfortável e o ar condicionado não era muito bom;6;;;;;
3 de janeiro de 2025;Excepcional;Precisa ter mais opções;;10;;;;;
18 de dezembro de 2024;Excelente o custo benefício.;Limpeza;As toalhas de banho tinha aparência de velhas.;10;;;;;
14 de dezembro de 2024;obrigada Barramares;Na beira mar;não ter jantar;10;;;;;
8 de dezembro de 2024;Excepcional;Excelente custo beneficio, equipe super simpática e insta ações dentro do esperado! Cama confortável e banheiro tambem! Predio bem conservado! Tudo excelente!;;10;;;;;
8 de dezembro de 2024;Ruim;Boa localização.;;;;;;;
Funcionários ótimos e gentis;" mas visivelmente sobrecarregados.""";Queriam cobrar uma taxa abusiva minha por conta da entrada de uma maquiadora no hotel, que iria me arrumar para um evento que aconteceria ali mesmo! Absurdo. Recusei pois é uma taxa inadequada e que vai contra o código de defesa do consumidor.;3;;;;;;
19 de novembro de 2024;Excepcional;O atendimento foi ótimo;A distância para eu ir aos locais.ficou um pouquinho longe;10;;;;;
10 de novembro de 2024;Escolhi um quarto com cama de casal. Infelizmente era um tablado com dois colchões de solteiro e foi bem difícil ficar c;Café da manhã;Quartos, principalmente a cama;4;;;;;
4 de novembro de 2024;Voltaria Mais vezes...;Localização, Café da manhã, Funcionários atenciosos e prestativos... Voltaria mais vezes.;Ar condicionado do quarto não estava funcionando bem...;10;;;;;
30 de outubro de 2024;Excepcional;Bom atendimento ;;;;;;;
"Café excelente""";;10;;;;;;;
28 de outubro de 2024;Poderia ser mais organizado em relação à estadia do hóspede.;Do ambiente e do café da manhã.;Fizemos duas reservas de hospedagens, voltadas para o pessoal da empresa. Uma de nossas funcionárias, informou que não gostou de alguns momentos de sua reserva, pois teve alguns constrangimentos que ocorreram. Algumas situações como a camareira entrar no quarto dela enquanto ela ainda estava no ambiente;;;;;;
6 de outubro de 2024;Ótimo custo benefício;Ótimo atendimento de toda equipe, café da manhã muito bom, localização próxima do HARF.;O barulho da rua é alto, o melhor é pegar os quartos de trás, mas perde a vista do mar.;10;;;;;
22 de setembro de 2024;Satisfatório;Para uma noite de espera por voo, ok.;Quarto muito apertado, nem dava para caminhar entre as camas e colchão mola ruim. Banheiro com box entupido, sem toalha de rosto, toalhas de banho bem gastas e nem tinha algo para pendurar as toalhas.;6;;;;;
19 de setembro de 2024;Excepcional;Confortável, silencioso, mto bom;Estava tudo certinho, não tenho oq reclamar;10;;;;;
16 de setembro de 2024;uma hospedagem tranquila.;O custo benefício, por causa do valor da diária, e a localização, pois atendia ao que eu precisava. O hotel é bem silencioso durante a noite;;;;;;;
26 de agosto de 2024;Já fiquei algumas vezes mas não volto mais.;Somente da localização;Do café da manhã. Hoje às 9 horas quase não tinha nada. O banheiro tinha cheiro de fossa. Para toalhas de rosto somente lenço descartável. Nunca havia visto isso. Funcionários não muito atenciosos. Papel higiênico sem qualidade. Toalha muito usada. Bkack out da janela no quarto que fiquei não adiantava de nada.;5;;;;;
17 de agosto de 2024;Satisfatório;Localização de frente pro mar, embora a praia seja imprópria para banho. Mar aberto e com tubarões.;O hotel não é novo. O chuveiro ficava pingando e a água empoçava rapidamente. Tinha que fechar o chuveiro com muita frequência para escoar a água.;;;;;;
O café da manhã era bem simples. Senti falta de maior variedade de frutas e bolos. Aliás; no último dia o bolo estava solado.;;;;;;;;
Outro detalhe é que os copos disponíveis no café da manhã eram descartáveis.;;;;;;;;;
Não consegui conectar a wi-fi; no quarto;" em nenhum momento.""";6;;;;;;
29 de julho de 2024;Ótima experiência.;Local muito gostoso, café da manhã muito bom e local bem aconchegante.;;10;;;;;
28 de julho de 2024;Ar condicionado sujo.;Localização, café da manhã,;Ar condicionado sujo, box do banheiro enche de água, não desce pelo ralo.;10;;;;;
26 de julho de 2024;Satisfatório;;O hotel não está localizado em Recife, mas eu Jaboatão dos Guararapes ;;;;;;
Ninguém para ajudar a carregar as malas;;;;;;;;;
"Café da manhã no máximo OK""";6;;;;;;;;
13 de julho de 2024;Maravilhosa e voltaremos;Eu e minha familia adoramos o café da manha, bem servido, iniciou no horario anuciado as 6:30pm e o atendimento da funcionaria daniela foi 10, e ainda faz uma tapioca na hora.;Só tenhho agradescer!;10;;;;;
12 de julho de 2024;Não retornarei;Nada;Sem canal de TV fechado, péssima internet, Não vi comprometimento dos funcionários em tornar a estadia mais confortável, sem estacionamento, cafe da manha fraco;5;;;;;
7 de julho de 2024;esperava mais respeito com a familia;atendimento do chech in muito bom;barulho na portaria,com mulheres que nao estavam hospedadas entrando e saindo do hotel a toda hora ,isso nao e lugar para isso ,pareciam acompanhantes , estavam dancando depravadas em frente a portaria;6;;;;;
23 de junho de 2024;Excelente!;Atendimento, instalação e café da manhã;;10;;;;;
6 de junho de 2024;Excepcional;Café da manhã excelente e um excelente serviço de quarto !!!!;;10;;;;;
6 de maio de 2024;Vale o custo beneficio;Localuzacao e cafe da manha;;10;;;;;
5 de maio de 2024;Tranquila.;Cafe da manha excelente. Gostei bastante.;;10;;;;;
2 de maio de 2024;mediana;Café super simples pelo valor;Quartos sem acustico e café da manhã simples.;5;;;;;
25 de abril de 2024;Excepcional;Pessoal muito educado, gostei muito;;10;;;;;
22 de abril de 2024;me senti em casa;Apesar de ter utilizado só uma diária, fiquei demais satisfeita com a hospedagem. tudo ok. sem nenhum problema.;nada;10;;;;;
18 de abril de 2024;pessima;quase nada;wifi nao funciona, cafe da manha uma pena, barulho insuportavel de carros no quarto;3;;;;;
31 de março de 2024;Maravilhoso;Amei td..;;10;;;;;
30 de março de 2024;Foi rapidinho uma noite só;Boa;Não tinha papel higiênico no banheiro!;4;;;;;
