data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
Todo o acesso no prédio se dá mediante cartões;" o que pode ser complicado as vezes para os mais velhos. Mas os funcionários foram sempre dispostos a ajudar.""";9;;;;;;;;;;
3 de novembro de 2023;Perfeito;estacionamento, apesar de pagar uma taxa de R$ 20,00 por dia, me senti seguro no estacionamento, diferente dos demais demais hpteis que as vezes não tem estacionamento ou você tem que andar para ir para um estacionamento parceiro, são 4 andares de estacionamento, sem restrição...;O ambiente do café da manhã, acredito que em alta temporada deve lotar, possui apenas 18 mesas, e quase todas ficam ocupadas, o que dá uma sensação de que temos que terminar logo o café para dá lugar para outra pessoa...;9;;;;;;;;
2 de novembro de 2023;Muito bom;A localização era boa.;A limpeza poderia estar melhor no hotel. Infelizmente encontrei copos usados no meu quarto.;8;;;;;;;;
31 de outubro de 2023;Ótimo estadia, voltaria em outras ocasiões.;A Localização do prédio é excelente, próximo a um shopping, e a vários acessos da cidade. A estrutura também é muito boa, quartos limpos, novos, banheiro muito bom. Organização e atendimento muito bons também.;Pelo nível do hotel esperava um café da manhã com maior variedade e com um local maior espaço. Embora todas comidas sejam muito bem preparada e de ótima qualidade.;8;;;;;;;;
30 de outubro de 2023;Muito boa;;Falta barras de segurança no box do banheiro;8;;;;;;;;
30 de outubro de 2023;Muito bom;Localização, limpeza e conforto!;Café da manhã.;8;;;;;;;;
30 de outubro de 2023;Tem potencial pra ser bem melhor;O hotel é novo, a localização é muito boa, perto do shopping Recife. A vista da cobertura é sensacional.;Funcionários não muito simpáticos. O café da manhã fica em um local cheio e apertado, com muita gente se batendo. Peguei uma toalha tão fina e deteriorada, que quase vejo o outro lado do tecido. Às 23h, precisei de um travesseiro extra, e não tinham. Outra coisa: a cama é elevada, e a parte de baixo é de fácil acesso. Apesar disso, quando você visualizava a cama, a partir da porta de entrada, era notória a grande quantidade de poeira na parte inferior da cama...Ou seja, o pessoal da limpeza não se dá o trabalho, sequer, de passar um pano molhado por baixo da cama (como disse, de fácil acesso). Essa questão da limpeza eu já tinha visto em outros comentários, antes de fazer a reserva, mas achei que fosse algo pontual. Não era. Vale fazer uma reunião com o pessoal da limpeza e checar se esse aspecto vem sendo observado.;8;;;;;;;;
30 de outubro de 2023;Muito bom;Boa localização para diversos locais úteis e funcionários atenciosos.;;8;;;;;;;;
29 de outubro de 2023;Recomendaria.;Conforto, modernidade e localização;Chuveiro não tinha água quente e reposição dos itens no café da manhã demorado.;9;;;;;;;;
29 de outubro de 2023;Excelente;Tudo;Um pouco de barulho no café da manhã!;9;;;;;;;;
29 de outubro de 2023;Hotel novo, bem localizado, porém orecisa melhorar o local e o café da manhã.;Hotel novo. Possui uma no academia e estacionamento.;Café da manhã em local pequeno e com pouca variedade de frutas. Atendimento no balcão é muito lento.;7;;;;;;;;
29 de outubro de 2023;Ótima localização, custo benefício, tudo muito limpo, os quartos pequenos, mas tudo novinho e muito limpo.;;Ocorreu um imprevisto: faltou energia na região e o Hotel não possuía gerador. Deveria ter.;9;;;;;;;;
28 de outubro de 2023;Muito bom;Localização, conforto, vista, limpeza e cordialidade dos funcionários.;;;;;;;;;;
;;;;;;;;;;;;
Bar do Cuscuz é do lado;" 3 minutos de caminhada.""";Tempo de check-in muito demorado para um dia que nem tinha tanto movimento, não foi culpa dos funcionários, que fizeram o que foi possível, mas um guichê a mais faria a diferença.;;;;;;;;;;
;;;;;;;;;;;;
Estacionamento é meio confuso; não é todos os pisos da garagem que acessam os elevadores;" pois alguns pisos você precisa subir as escadas para depois acessá-los.""";8;;;;;;;;;
28 de outubro de 2023;Bom;;Quarto um pouco pequeno;7;;;;;;;;
28 de outubro de 2023;Fantástico;;Café da manhã a partir de 09h-09:30h a reposição de comida era lenta ou não ocorreu;9;;;;;;;;
26 de outubro de 2023;Bom;Chuveiro muito bom, boa localização;As toalhas estavam manchadas, o ar condicionado estava pingando agua, e café da manhã com paes e bolos meio secos.;7;;;;;;;;
25 de outubro de 2023;Fantástico;;Acho que o café da manhã poderia ser mais recheado, em razão do preço da diária. Por exemplo, não tinha mel.....algo super simples!! Mesmo assim gostei muito!!;9;;;;;;;;
25 de outubro de 2023;Muito bom;Gentileza dos colaboradores;;8;;;;;;;;
25 de outubro de 2023;Muito bom;Os funcionários são simpáticos e a hospedagem é prática.;Meu quarto ficou 2 dias sem limpeza. No 1o dia a moça ia entrar no quarto mais de 18h e eu pedi que não entrasse pois tinha chegado cansada e queria descansar. Pedi na recepção que a limpeza fosse feira no dia seguinte pela manhã e quando cheguei à noite ainda não havia sido feita.;8;;;;;;;;
24 de outubro de 2023;Bom;;Ter que pagar estacionamento para deixar o carro, não ter lençol a mais no quarto.;7;;;;;;;;
23 de outubro de 2023;Não vale o preço que cobra.;Limpeza do prédio, organização do café da manhã, funcionários educados.;Garagem MUITO apertada para quem vai com SUV ou caminhonete, mesmo as vagas que dizem ser para veículos longos foi péssimo manobrar, quase não sobra espaço para descer do carro. ;;;;;;;;;
;;;;;;;;;;;;
Cama dura; travesseiro péssimo. ;;;;;;;;;;;
Toalhas velhas e finas.;;;;;;;;;;;;
Por último; faltou energia as por volta das 6 da manhã e só voltou por volta das 10h; tomamos café no escuro; num calor insuportável. ;;;;;;;;;
"O prédio também é residencial.""";8;;;;;;;;;;;
23 de outubro de 2023;Ótima;Café de manhã é bem bacana! O quarto é bem confortável, e agradável!;;8;;;;;;;;
23 de outubro de 2023;Hotel grande é bem localizado em boa viagem.;A localização num bairro excelente e próximo ao shopping e a praia;O espaço do café da manhã era pequeno e sem janelas para o exterior e, num geral, o café da manhã é apenas razoável.;8;;;;;;;;
22 de outubro de 2023;Bom;Atendimento rápido e prático;Levam a sério demais o conceito de baixo custo.;7;;;;;;;;
21 de outubro de 2023;Muito bom;Localizacao e funcionarios;Café da manhã;8;;;;;;;;
19 de outubro de 2023;Eu recomendo na sua proxima viagem a Recife;Localizacao e preco;;9;;;;;;;;
19 de outubro de 2023;Muito bom;Moveist novos, café da manhã e internet boa;Dificuldades para localizar a entrada do Hotel, placa de sinalização muito pequena, necessário buscar coberta (colcha) na recepção.;8;;;;;;;;
17 de outubro de 2023;Fantástico;gostei muito de atendimento da recepção.;;9;;;;;;;;
17 de outubro de 2023;Muito bom;Café da manhã fantástico!;Ar condicionado fica direcionado a cama e a TV não estava pegando a globo.;8;;;;;;;;
17 de outubro de 2023;Muito bom;Instalações novas, vários elevadores e rápidos.;;;;;;;;;;
As luzes direcionais na lateral da cama ajudam muito ;;;;;;;;;;;;
"O quadro com as explicações sobre instalações e horários do hotel é muito interessante e ajuda""";Demora na entrega das solicitações para a recepção, como por exemplo ao pedir toalha e um berço ficamos muito tempo sem explicação do motivo da demora.;;;;;;;;;;;
"Quartos poderiam ser um pouco maiores.""";8;;;;;;;;;;;
17 de outubro de 2023;Razoável;Gostei da área da psicina.;Não gostei muito da cama;7;;;;;;;;
16 de outubro de 2023;Espaço do café muito apertado e muito barulhento.;Instalação, localização e limpeza.;Restaurante, café;9;;;;;;;;
15 de outubro de 2023;Ótimo;Muito limpo e organizado.;;9;;;;;;;;
15 de outubro de 2023;Bom pelo custo benefício e para passagem rápida;Localização, praticidade, vista para a cidade;Paredes dos quartos sujas e marcadas, acústica péssima;7;;;;;;;;
14 de outubro de 2023;Muito bom;Atendimento;Piscina interditada por todo o periodo, cafe da manha com dificuldade de reposicao;8;;;;;;;;
12 de outubro de 2023;Bom;;Café da manhã, acho qye podia ser mais variado;7;;;;;;;;
10 de outubro de 2023;Estrutura muito organizada.;Localização do Hotel.;;9;;;;;;;;
10 de outubro de 2023;Fantástico;Organização do Prédio.;;9;;;;;;;;
9 de outubro de 2023;Muito bom;passamos muito rapido, chegamos tarde da noite e ja saimos no outro dia para voltar para SP.. mas foi tudo muito bom;;8;;;;;;;;
9 de outubro de 2023;Bom custo benefício;O tamanho do quarto é suficiente para o casal. O quarto e o banheiro estavam limpos. A acústica é boa e não dá pra ouvir ruídos de pessoas no corredor, por exemplo.;Alguns detalhes em específico. Achei o checkin longo e demorado, como fui à trabalho e cheguei 00h para fazer o checkin, essa se tornou uma etapa bem cansativa por conta de tempo na recepção.;;;;;;;;;
"Outro ponto foi o frigobar que não estava bem abastecido. Cheguei com muita sede e tinha apenas uma água e três opções de refrigerante.""";9;;;;;;;;;;;
8 de outubro de 2023;Fantástico;Atendeu a expectativa.;Não se aplica.;9;;;;;;;;
7 de outubro de 2023;Foi boa, hotel novo e bem cuidado.;Tudo muito bom.;Café da manhã limitado. Mas atende quem está a trabalho.;8;;;;;;;;
7 de outubro de 2023;Custo x benefício para pessoas pouco exigentes;Prédio novo, cama confortável, equipe gentil.;Ruídos de outros quartos e a limpeza da piscina que a água desce pela parede do quarto.;;;;;;;;;
Não tem cobertor e o ar vai direto para a cama; precisamos pedir o cobertor e mesmo assim; o conforto térmico ficou complicado. ;;;;;;;;;;
O banheiro estava muito sujo; com limo no box;" e limpeza diária não foi boa. O banheiro estava com péssimo odor.""";7;;;;;;;;;
7 de outubro de 2023;Muito bom;Limpeza e chuveiro mto bom;Café da manha tem que melhorar.;;;;;;;;;
Mto fraco!!!;;;;;;;;;;;;
"Itens de baixa qualidade e pouca variedade""";8;;;;;;;;;;;
5 de outubro de 2023;Boa estrutura e boa localização;Hotel bem localizado e com boa estrututa. São 30 andares de quartos, tem-se uma vista deslumbrante do topo, onde existe a piscina e a academia também.;;;;;;;;;;
O quarto não é enorme; mas não chega a ser minúsculo. Cama razoavelmente confortável.;;;;;;;;;;;
O café da manhã já é servido em restaurante próprio (comentários anteriores falavam que era apenas no próprio quarto; mas isso deve ter mudado) e é bem satisfatório.;;;;;;;;;;;
"Recomendo pelo custo-benefício!""";Ar-condicionado apontando diretamente para a cama. Particularmente acho ruim dormir com o ar em cima.;8;;;;;;;;;;
5 de outubro de 2023;Otimo custo beneficio;Quarto;Cafe da manga com poucas opcoes;9;;;;;;;;
3 de outubro de 2023;Bom;A localização.;O café da manhã vem piorando a cada dia. Infelizmente. O cuidado com os itens do quarto também. Sempre tem alguma coisa faltando.;7;;;;;;;;
3 de outubro de 2023;Muito bom;Localização. O café é muito bom, já sou hospede recorrente, mas dessa vez não pude usufruir;acústica do quarto;8;;;;;;;;
3 de outubro de 2023;Voltarei em breve;Nova;Longe da praia 800 M;9;;;;;;;;
2 de outubro de 2023;Bom;Limpeza do quarto e agradável;Café da manhã fraco;7;;;;;;;;
1º de outubro de 2023;Estadia confortável.;A arquitetura e conforto dos quartos foi o que mais gostei. O banheiro é espaçoso e o chuveiro é uma delicia.;O café da manhã deixou muito a desejar. Pouquíssimas opções de comida. Eu estava no sexto andar, e quando eu solicitei talheres e ferro de passar, eu tinha que descer tudo, pegar as coisas, subir, fazer as coisas, descer pra devolver e depois subir de novo. Acho que poderia ter algo para otimizar o tempo dos hóspedes.;8;;;;;;;;
1º de outubro de 2023;hotel bem localizado, funcional e agradável;localização, quarto confortável, funcionários simpáticos, vista panorâmica no terraço, serviços, pequeno almoço razoável com frutas, quentes e doces, sucos e café, lojinha na garagem.;mau isolamento acústico dava para ouvir o que se passava nos quartos ao lado, alguns dias muito barulhento, com jovens a fazer festas até às 4 horas da manhã, o telefone do meu quarto não funcionava e depois de insistir 3 dias seguidos continuou avariado até minha saida do hotel.;7;;;;;;;;
1º de outubro de 2023;Fantástico;Ambiente muito agradável.;;9;;;;;;;;
30 de setembro de 2023;Normal;Localização boa .. quarto limpo bem arrumado;Café da manhã é péssimo. Ambiente pequeno e muito quente.;7;;;;;;;;
29 de setembro de 2023;Quarto limpo, aconchegante e banheiro amplo.;Quarto limpo, aconchegante e banheiro amplo.;;9;;;;;;;;
29 de setembro de 2023;Tirando o problema do café e da piscina, foi boa.;Da vista no térreo, onde tem a piscina. O Problema é que a placa no local e a recepção diz que o uso é até às 22h, mas quando solicitado o aquecimento da água e luz interna, houve a informação de que o uso seria até às 18h, por motivos internos do hotel, problemas de barulho e tal. Falta de informação adequada quanto ao uso da piscina.;Café da manhã não estava pronto ao iniciar às 6h. Tinha passeio agendado, mas sai sem tomar suco e comer bolo e/ou pão de queijo. O pessoal deixou para iniciar a colocação do café, após o horário marcado.;8;;;;;;;;
29 de setembro de 2023;Muito bom;Bom custo benefício. Quarto muito limpo e café bom.;Os travesseiros são muito ruins. Poderia ter cobertor no quarto.;8;;;;;;;;
27 de setembro de 2023;Muito bom;Condomínio bem ok;Ter pego uma unidade PNE, acho que poderiam ter perguntado antes.;8;;;;;;;;
27 de setembro de 2023;Muito bom;Localização e limpeza;;8;;;;;;;;
26 de setembro de 2023;Boa referencia e certo que retornarei em algum momento.;Bom café da manha. ;;;;;;;;;;
Apto. confortável; atendendo as espectativas. ;;;;;;;;;;;
"Recomendo.""";;9;;;;;;;;;;
26 de setembro de 2023;Maravilhosa! Espero voltar mais vezes!;O quarto super limpinho e cheiroso!;1. O edredom poderia ser maior ou vocês já deixarem dois pois, meu esposo é grande/largo/musculoso kkkk e o edredom ficou pequeno. Mas era ótimo e fofinho!;;;;;;;;;
;;;;;;;;;;;;
2. Vocês poderiam colocar tapioca no café da manhã. O café estava ótimo;" mas senti falta de uma tapioca!""";9;;;;;;;;;;
25 de setembro de 2023;Atende para quem vai passar pouco tempo.;A localização é ótima. É um prédio bem moderno. Bom atendimento. Preço acessível. Ótima academia.;Paredes muito finas, dá pra ouvir qualquer barulho dos quartos vizinhos. Muita gente chegando e saindo de madrugada. Cama e travesseiros bem básicos, conforto razoável. Café da manhã mediano. A limpeza dos quartos também poderia ser melhor, muita poeira embaixo da cama e atrás das cortinas.;7;;;;;;;;
25 de setembro de 2023;Bom;Atendimento de toda equipe e simpatia da funcionária do café da manhã. Cama confortável e banheiro limpo, espaçoso.;Custo de estacionamento para um hotel desse nível (ou vc paga ou, praticamente, não tem lugar p estacionar) e espaço do quarto (bem apertadinho p se movimentar).;7;;;;;;;;
24 de setembro de 2023;Boa.;Café da manhã.;Colchão não confortável. Localização distante da praia e pontos turísticos.;7;;;;;;;;
24 de setembro de 2023;Bom;Localização;Quarto bem pequeno, quase não coube o berço. Não diponibilizaram lencol mais grosso. Só recomendo para casais sem filhos. Hotel não dispõe de estrutura para receber bebês.;7;;;;;;;;
23 de setembro de 2023;Adequado para executivos;Vista maravilhosa.;Estacionamento caro.;9;;;;;;;;
22 de setembro de 2023;Bom;Limpeza boa e equipe atenciosa. Café da manhã bom.;No café da manhã, não tinha pratos, nem talheres, tiveram que improvisar com talheres descartáveis.;7;;;;;;;;
21 de setembro de 2023;Muito bom;Hotel misto com residencial, limpo organizado e bem localizado. Restaurante bom com preços honestos.;;8;;;;;;;;
20 de setembro de 2023;Muito bom;Cafe da manha excelente.;;8;;;;;;;;
19 de setembro de 2023;Muito bom;;o cafe precisa melhorar.;8;;;;;;;;
19 de setembro de 2023;Muito bom;;Não tem proteção acustica entre os quartos e corredor, dá para ouvir tudo. No café da manhã poderia te mais variedades.;8;;;;;;;;
19 de setembro de 2023;Ótimo custo benefício.;Custo benefício e localização.;Gostei de tudo.;8;;;;;;;;
19 de setembro de 2023;Muito bom;A localização do hotel é maravilhosa, perto de tudo. O quarto é aconchegante, cama confortável e tem um tamanho ideal. Funcionários todos muito simpáticos e atenciosos!!;Café da manhã poderia ser mais variado.;8;;;;;;;;
18 de setembro de 2023;Desapontado;Recepção, café da manhã razoável, oferece vaga de garagem porém é cobrado, segurança;Falta de toalha de rosto solicitei e não entregaram no apto, ar condicionado com barulho de água correndo, falta de energia durante a madrugada por duas noites seguidas em que ficamos hospedados, quando falta energia acende uma luz que parece um sol acordando todos do quarto e detalhe não tem interruptor para desligar, sem sinal de internet durante uma manhã inteira me impossibilitando de trabalhar ( avisei a recepção logo cedo e não resolveram o problema), TV Smart não conecta com a internet, falta de secador de cabelos no wc, piscina em pleno sábado interditada;7;;;;;;;;
17 de setembro de 2023;Fantástico;;Café da manha deveria ter mais opções de comida.;9;;;;;;;;
16 de setembro de 2023;Poderia ser melhor.;Ambiente limpo, móveis novos, cama confortável.;Drenagem do banheiro (sanitário e chuveiro) insuficiente. O banheiro ficava sempre sujo porque a água não era drenada corretamente.;;;;;;;;;
"Wi-Fi lento.""";7;;;;;;;;;;;
16 de setembro de 2023;Não pretendo retornar. Se por ventura retornar não pisarei no restaurante.;Localização;Café da manhã é horrível.;7;;;;;;;;
15 de setembro de 2023;Bom;O atendimento e a cordialidade dos funcionários foram os pontos de excelência.;O café da manhã poderia ter mais opções de frutas.;7;;;;;;;;
15 de setembro de 2023;Tudo ótimo , inclusive o café é ótimo , porém , o local não comporta e fica muito cheio.;acomodação e localização;café da manhã LOTADO , local pequeno.;8;;;;;;;;
13 de setembro de 2023;Muito bom;Localidade;Chegamos as 3 da manha ( muito cansado da viagem ) e o sistema na recepção estava fora do ar. Como não sabiam quais os quartos estavam desocupados, colocaram a gente em um apt de cadeirante ( nada contra ) mas a cama era muito baixa e muito dura.;8;;;;;;;;
10 de setembro de 2023;Muito bom;Do quarto, muito confortável.;Acesso à garagem, precisar descer por escada, com malas fica complicado.;8;;;;;;;;
4 de setembro de 2023;Muito boa;Limpeza, café da manhã, atendimento perfeitos;;9;;;;;;;;
3 de setembro de 2023;Boa, com pequenas ressalvas;Limpeza, café da manhã;Acesso a garagem ;;;;;;;;;
Apenas uma chave por quarto;" dificultando o uso para duas pessoas.""";9;;;;;;;;;;
29 de agosto de 2023;Fantástico;O quarto;O café da manhã achei fraco;9;;;;;;;;
29 de agosto de 2023;Muito bom;Localização;;8;;;;;;;;
28 de agosto de 2023;Não me arrependo, mas não voltaria;Gostei do café da manhã bem servido e da localização.;O quarto é minúsculo e a cama de casal é a junção de duas de solteiro, o que acaba sendo desconfortável. O custo benefício não é bom devido às instalações do hotel serem bem enxutas.;7;;;;;;;;
23 de agosto de 2023;Um dos melhores quartos de Recife, se não se importa com café da manhã (que é uma bagunça) .;O Quarto é excelente,impecável,nota 10! novo, limpo e organizado!;;;;;;;;;;
Hotel é bem novo em todas as áreas.;;;;;;;;;;;;
Recepção; check in e principalmente check out muito rápido e eficiente.;;;;;;;;;;;
"Boa localização.""";*Estacionamento caro.;;;;;;;;;;;
*Acesso do estacionamento subsolo até o hall de entrada é estranho; anda no meio de corredores de serviço; passa por várias portas e escadas.;;;;;;;;;;
*Café da manhã no fim de semana é loucura; o restaurante deveria ter no minimo o dobro do tamanho para comportar a quantidade de hóspedes; falta tudo; prato; talher; comida...forma fila de dezenas de hospedes na porta esperando para entrar pra comer; o hóspede serve o prato e não tem onde sentar; enfim ;" não comporta.""";8;;;
21 de agosto de 2023;Nota 9 de 10;Tudo ótimo mas um pouco de barulho vindo do corredor. Não tive problemas pois tinha aquelas espuminha de tampar os ouvidos MAS se não tivessem teria problemas. Ótimo chuveiro, cama e travesseiros.;Barulho;8;;;;;;;;
21 de agosto de 2023;Hotel ótimo, café da manhã deixa a desejar;O hotel é muito bem localizado, próximo a vários restaurantes e bares maravilhosos. O quarto é exatamente como o anúncio, estava muito limpo e com tudo que precisávamos.;O café da manhã deixa muito a desejar, é um ponto a melhorar, pois só tem o básico e sem muita qualidade. O hotel tem um padrão ótimo, porém, café da manhã deveria ser melhorado.;9;;;;;;;;
21 de agosto de 2023;Ok;Café da manhã;Cama muito baixa;9;;;;;;;;
21 de agosto de 2023;Muito bom;Localização boa, funcionários gentis, hotel bonito e quarto confortável.;Restaurante para o café da manhã muito pequeno para quantidade de quartos e hóspedes. O momento do café é caótico e tem fila. Também não gostei da comida.;8;;;;;;;;
21 de agosto de 2023;Bom custo x benefício, mas tem opções melhores;Dos quartos novos e limpos.;Atendimento da recepção que foi muito lento! Passei mais de 30min para fazer um simples checkin!;;;;;;;;;
"Também pedimos-te colocarem shampoo no recipiente é isso não foi feito! Fiz o checkout e não chegou a ser colocado.""";8;;;;;;;;;;;
20 de agosto de 2023;.;localização, valor;pouco espaço pra o café da manhã;8;;;;;;;;
20 de agosto de 2023;Muito bom;Localização, custo benefício;A questão da acústica ruim e o café da manhã com poucas variedades é algo que eu já esperava pelos comentários anteriores. Mas, se perguntam como podem melhorar e não efetuam as mudanças de fato, isso sim é um ponto negativo para mim, pois mostra que não se importam com a opinião dos clientes.;8;;;;;;;;
17 de agosto de 2023;Fantástico;Comunicação visual excelente, mobiliário bem cuidado;O salão do café da manhã estava quente e com o ar condicionado desligado! Também poderia variar entre os dias.;9;;;;;;;;
14 de agosto de 2023;Muito bom;Gosto muito das instalações do quarto e banheiro. Cama confortável.;O café da manhã poderia ser mais variado.;8;;;;;;;;
11 de agosto de 2023;Bom;Localização;Café da manhã e isolamento acústico dos quartos;7;;;;;;;;
11 de agosto de 2023;No geral, o custo benefício é muito bom.;Localização e limpeza do ambiente;Café da manhã com pouca variedade e alguns itens eram perceptíveis que foram sobra do dia anterior (bolo fatiado);8;;;;;;;;
11 de agosto de 2023;Muito bom;Cama, colchão muito confortável.;;;;;;;;;;
Piscina aberta até ás 22 horas.;;;;;;;;;;;;
"Sauna e academia tbm.""";Quartos pequenos.;;;;;;;;;;;
"Chuveiro sem direcionamento.""";8;;;;;;;;;;;
9 de agosto de 2023;Muito bom;Café da manhã fraco;O ar-condicionado do quarto direcionado para o rosto.;8;;;;;;;;
8 de agosto de 2023;Ideal para viagem de negócios;Funcional;Café da manhã;8;;;;;;;;
8 de agosto de 2023;Ótimo!! Recomendo 100%;Acomodação, atendimento e limpeza;O café da manhã é relativamente simples. Uma outra parte que foi ruim é que as luzes do corredor permanecem ligadas a todo instante. É preciso instalar um timer para que elas se apaguem e não iluminem o quarto.;8;;;;;;;;
8 de agosto de 2023;Muito bom;A localização, com certeza. Muito perto do shopping Recife.;Certamente o café da manhã. Nem omelete e tapioca servem mais.;8;;;;;;;;
7 de agosto de 2023;Muito bom;A equipe do hotel é bastante atenciosa e agradável. O café da manhã não tem tanta variedade mas é bom pro custo-beneficio, além da localização ser perfeita!;Não tinha placa de pedido de limpeza no quarto, então por isso não pudemos sinalizar que gostaríamos de uma limpeza!;8;;;;;;;;
7 de agosto de 2023;Boa;Higiene e acomodações excelentes.;O café da manhã é muito simples para o nível do hotel.;7;;;;;;;;
6 de agosto de 2023;muito boa nada a reclamar funcionários muito atenciosos;cama confortável,muita limpos;;8;;;;;;;;
6 de agosto de 2023;Bom;tudo limpo e muito confortável, gostei muito;café da manhã poderia ter mais opções e a tv não pegava wi-fi;7;;;;;;;;
5 de agosto de 2023;Fantástico;;Cama pra criança;9;;;;;;;;
30 de julho de 2023;Esdia de bom custo beneficio;Boa localizacao, e bom cafe da manhã, limpeza OK;;7;;;;;;;;
28 de julho de 2023;Razoável.;O hotel é novo. Café da manhã é razoável - nada surpreendente, mas atende bem as necessidades. Local acessível para vários pontos da cidade.;O quarto é bem pequeno. Qualidade dos travesseiros é ruim (só tinha dois na cama de casal, eu que durmo com mais, passei aperto), e a roupa de cama bem simples tb. Não tem secador no quarto, apesar de disponibilizarem na recepção.;7;;;;;;;;
26 de julho de 2023;Instalações maravilhosas, mas não combina com o café da manhã.;Gostei das instalações, confortáveis e modernas. Piscina maravilhosa;Café da manhã sem variadade e nem combina com a estrutura do hotel. Esperava bem mais.Também pedimos 3 vezes um secador a recepção e não fomos atendidos e nem deram satisfação.;8;;;;;;;;
25 de julho de 2023;Muito bom;Limpeza, gentileza, decoração;;8;;;;;;;;
25 de julho de 2023;Muito bom;Estrutura do hotel, segurança para acesso aos quartos, simpatia e presteza dos colaboradores e localização.;Café da manhã típico de hotel de rede, padronizado, não prima pelo sabor dos alimentos ofertados.;;;;;;;;;
;;;;;;;;;;;;
Não havia queijo de coalho e tapioca; típicos da região. ;;;;;;;;;;;
;;;;;;;;;;;;
Não existe sanduicheira para preparo de misto quente. ;;;;;;;;;;;;
;;;;;;;;;;;;
O ovo mexido não tem sabor de nada.;;;;;;;;;;;;
;;;;;;;;;;;;
O queijo mussarela; a salsicha e a bebida láctea parecem ser das marcas mais baratas.;;;;;;;;;;;
;;;;;;;;;;;;
As opções de fruta são bem restritas; apenas mamão; abacaxi e melão; Não ofertam salada de frutas; melancia; laranja; uva; mel; canela; aveia.;;;
;;;;;;;;;;;;
Alguns itens; encontravam-se queimados devido ao super aquecimento do equipamento responsável por manter o item aquecido.;;;;;;;;;;;
;;;;;;;;;;;;
Portanto;" se vc prima por um bom café manhã não indicaria o hotel""";8;;;;;;;;;;
24 de julho de 2023;Bom custo benefício!;O hotel fica bem localizado, em lugar tranquilo. O quarto limpo e agradável, banheiro espaçoso, chuveiro ótimo. Tudo com aparência de novo. Não tinha secador de cabelo no banheiro, mas podia pedir na recepção. Café da manhã variado. O que mais se destaca nesse hotel, porém, são as pessoas! Equipe extremamente gentil e acolhedora!;O jantar não estava muito saboroso.;9;;;;;;;;
24 de julho de 2023;Fantástico;Em se tratando de um Hotel Fit, atendeu as expectativas !;;9;;;;;;;;
22 de julho de 2023;Gostei e recomendo;Bom atendimento, tudo bem limpo e organizado;Achei o quarto pequeno;8;;;;;;;;
20 de julho de 2023;Bom hotel com café ruim.;Quartos limpos e bem organizados. Funcionários gentis, boa localização.;Café da manhã limitado, pra ter ideia não tem uma banana. No geral é razoável, destoa do resto do hotel.;9;;;;;;;;
19 de julho de 2023;Tranquila e agradável.;A localização muito boa. Quarto limpo. Hotel com bom aspecto. Acomodações muito boas;o Café da manhã precisa melhorar. Pouca variedade.;8;;;;;;;;
18 de julho de 2023;Ótimo custo-benefício om estrutura nova.;A estrutura é boa e bem novinha, café da manhã satisfatório, localização interessante e funcionários prestativos. Quarto pequeno, mas completo e prático.;Sinalização do hotel não é adequanda, ficou confuso a entrada para estacionar meu veículo.;8;;;;;;;;
17 de julho de 2023;Transamérica FIT;O quarto e de bom tamanho e confortável.;Nada a declarar.;9;;;;;;;;
16 de julho de 2023;Fantástico;Atendimento impecável, todos funcionários solícitos e educados.;;;;;;;;;;
Um super agradecimento a camareira Rô; uma profissional comprometida e educada; a recepcionista do café da manhã; Jaque; com uma energia incrível que a faz uma profissional excepcional; nasceu para lidar com o público.;;;;;;;
Muito obrigada também ao recepcionista Simon e a Lari; que me ajudaram com translado e acomodação das malas.;;;;;;;;;;;
"Local de fácil acesso ao shopping Recife e à praia de Boa Viagem.""";;9;;;;;;;;;;
12 de julho de 2023;Básico confortável.;Excelente localização e atendimento muito bom!;Restaurante com poucas opções e atendimento ruim no jantar.;;;;;;;;;
"Comidas saborosas.""";7;;;;;;;;;;;
11 de julho de 2023;Bom custo-beneficio;Quarto limpo e iluminado, chuveiro ótimo, funcionários simpáticos e atenciosos, pertinho do shopping.;Café da manhã limitado;7;;;;;;;;
11 de julho de 2023;Muito bom;excelente cafe da manha, a piscina pequena mas com vista;;8;;;;;;;;
10 de julho de 2023;Fantástico;Do atendimento de Ricardo e Jaqueline na recepção do restaurante. Bem como, a limpeza e conforto do quarto. ;;;;;;;;;;
;;;;;;;;;;;;
"Os bolos servidos no café da manhã.""";Não ter encontrado toalhas de rosto, apenas de banho. Insuficiência do papel higiênico.;9;;;;;;;;;;
10 de julho de 2023;Vale pelo preço, mas o café da manhã cabe melhorias;Cama confortável, limpeza, facilidade no acesso.;Café da manhã tem pouca opção e falta equipamentos (ex sanduichera). Coberta e secadores só tinha pedindo na recepção, o que dificulta um pouco. Telefone da recepção estava errado na plaquinha indicativa no telefone.;8;;;;;;;;
10 de julho de 2023;Ótimo custo benefício!!!;Ótimo atendimento, limpeza das instalações e café delicioso!!!;Itens de higiene disponibilizado nos banheiros e as trocas de toalhas somente quando solicitado ao invés de diariamente.;9;;;;;;;;
