data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;
;;;;;;;;;;;;;
O hotel está em reforma; acredito que já estejam atentos a essas questões e logo;" logo estará atendendo melhor esses aspectos.""";8;;;;;;;;;;
8 de setembro de 2023;Deveria ser muito melhor. Deveria ser Gran Mercure;Localização. Atendimento.;Hotel em obras a mais de 1 ano.;;;;;;;;;;
;;;;;;;;;;;;;
Recepção ruim; com mofo no teto.;;;;;;;;;;;;
;;;;;;;;;;;;;
Primeiro quarto que me ofereceram;" ainda não reformado. Tinha infiltrações e muito mofo.""";7;;;;;;;;;;;
7 de setembro de 2023;Razoável;Vista mar;Antiga;8;;;;;;;;;
4 de setembro de 2023;razoável;localização;hotel antigo;7;;;;;;;;;
1º de setembro de 2023;Achei mto caro para não cheirar limpeza!;A vista é linda! O tamanho do quarto é excelente! Chuveiro mto bom! Infelizmente, saí antes do café da manhã.;Cheirava mofo do começo ao fim, inclusive o sofá tinha cheiro bem forte. ;;;;;;;;;;
O sabonete com cheiro desagradável;" lembrou sabão em pedra de lavar roupa 🙈.""";7;;;;;;;;;;;
1º de setembro de 2023;Ótima;Amplidão do quarto;A cama deveria ser maior, tem espaço. Mas não é ruim;9;;;;;;;;;
31 de agosto de 2023;Ótimo custo/benefício;Hotel com os quartos totalmente reformados , cheirando a novo , bar da piscina com boas opções, ótimo custo/benefício;;9;;;;;;;;;
30 de agosto de 2023;Muito bom;Café da manhã excelente, camas confortáveis;O cheiro do banheiro, muito forte, tive que deixar a agua do chuveiro ligado para ver se amenizava um pouco;8;;;;;;;;;
29 de agosto de 2023;Bom;Funcionários educados e solícitos, localização boa em frente à praia, quartos espaçosos. Excelente café da manhã, farto e com muitas opções feitas na hora.;O quarto que ficamos de frente para o mar estava com cheiro de mofo (umidade), pedimos para trocar de quarto mas não foi atendido, sugeriram colocar uma máquina por uma hora para tirar o mal cheiro, mas teria que sair do quarto. Estrutura velha e com mal conservação, porta do banheiro deteriorada e piso do box manchado, estrutura velha precisando de reforma;7;;;;;;;;;
28 de agosto de 2023;boa;Localização;Quartos precisam urgente de reforma e mobilias;;;;;;;;;;
"Iluminação pessima""";7;;;;;;;;;;;;
27 de agosto de 2023;Boa;Cama e banho;Solicitei a transferência de apto pois estava com cheiro de mofo!!!;9;;;;;;;;;
26 de agosto de 2023;Alugaria novamente com minha família.;Apesar de ser um hotel antigo, oferece uma ótima comodidade.;Gostei de tudo;9;;;;;;;;;
20 de agosto de 2023;Não pretendo voltar.;Gostei do café da manhã, principalmente da cozinha de tapiocas feitas na hora. A equipe trabalha muito bem ali! O atendimento no bar/restaurante também é muito simpático.;Pela primeira vez em minha vida de viajante passei por uma experiência gravemente negativa. Foi neste hotel de Recife, o Grand Mercure Boa Viagem. Estava eu dormindo no meu quarto, era aproximadamente meia-noite e meia, quando acordo assustada com duas moças invadindo o meu quarto. Elas também ficaram assustadas quando me viram na cama. Foram encaminhadas, pelo recepcionista, a um quarto que já estava ocupado: o meu. Erro crasso! E mal me pediram desculpas pelo ocorrido. Lamentável.;7;;;;;;;;;
17 de agosto de 2023;Muito bom;Localização estratégica para meus compromissos;Qualidade da da acomodação(quarto);8;;;;;;;;;
16 de agosto de 2023;Quarto maravilhoso do hotel com vista para mar;Quarto e funcionários muito bons;Insegurança em boa viagem;8;;;;;;;;;
13 de agosto de 2023;Perfeito;Excelente;Sem avaliação;9;;;;;;;;;
13 de agosto de 2023;Perfeita;Espaço e conforto;As obras na área do térreo.;9;;;;;;;;;
8 de agosto de 2023;Ok, mas acredito que existam opções melhores.;O Café da Manhã é muito bom e variado. ;;;;;;;;;;;
O quarto; a depender do tipo escolhido; é grande e confortável; assim como o armário. ;;;;;;;;;;
Dependendo do quarto você também terá uma bela vista para o mar. Quartos com final par; quanto mais baixo o final;" melhor a vista (Ex: 1716 tem vista melhor que o 1718. 1717 não tem vista)""";Travesseiros ruins, chuveiro com pouquíssima pressão (e dependendo do horário demoram para esquentar). Escolhi um quarto reformado, e apesar de ser ótimo, o acabamento do banheiro já estava deteriorado.;;;;;;;;;;
Hotel muito antigo; mas passando por ampla reforma. Provavelmente fique muito mais confortável depois.;;;;;;;;;;;;
A localização é boa;" mas em Boa Viagem existem partes melhores (mais próximo ao Pina).""";7;;;;;;;;;;;
8 de agosto de 2023;boa estadia;O hotel possui excelente localização , equipe prestativa e simpatica , o quarto é amplo e limpo, o café da manha é muito bom.;O restaurante do hotel deixa a desejar.;7;;;;;;;;;
4 de agosto de 2023;Melhorar café da manhã;Vista;Café da manhã;8;;;;;;;;;
3 de agosto de 2023;Médio;Médio;Cama pequena;8;;;;;;;;;
3 de agosto de 2023;Bom custo benefício;Localização, atendimento muito bom;Cafe da manhã poderia ser melhor, faltou o básico de um bom café;8;;;;;;;;;
1º de agosto de 2023;Fantástico;Equipe maravilhosa, pessoal e o Xodó.;;9;;;;;;;;;
1º de agosto de 2023;Ótima experiência no andar reformado do hotel;Nós ganhamos um upgrade para uma das suites nos andares já reformados do hotel e a experiência foi absolutamente maravilhosa. A suite era enorme, linda e super confortavel. Recomendo!;Torço pra que todo hotel passe pela reforma total logo. ;;;;;;;;;;
1º de agosto de 2023;Muito bom;Localização;Obras;8;;;;;;;;;
31 de julho de 2023;Hotel com ótima localização, bem agradável e funcional;Hotel em frente á praia, ótima localização, bom café da manhã;Roupa de cama poderia ser de melhor qualidade;9;;;;;;;;;
30 de julho de 2023;Boa localização;Localização ótima. Bom custo benefício.;Instalações do quarto um pouco antigas.;9;;;;;;;;;
29 de julho de 2023;Boa;Bom café da manhã, funcionários prestativos,boa limpeza;Ruas esquisitas,sem policiamento. As barraquinhas de praia quando percebem que somos turistas costumam explorar, eles tem dois tipos de cardápio um para turistas e outro para quem mora em Recife. Achei um absurdo. Muito cuidado quando forem a praia, eles observam sempre quem usa toalha de hotel. Triste, mas essa é a realidade! Um “espanta” turistas;8;;;;;;;;;
25 de julho de 2023;Muito bom;Localização atual;;8;;;;;;;;;
24 de julho de 2023;Gostei da estadia;Café da manhã, chuveiro, localização, vista panorâmica;Cheiro de mofo;8;;;;;;;;;
24 de julho de 2023;Bom;Da vista da suite frente mar;;;;;;;;;;;
23 de julho de 2023;Fantástico;Localização;Piscina pequena;9;;;;;;;;;
22 de julho de 2023;Maravilhosa;Localização, funcionários, área superior do bar com uma vista linda e cerveja gelada.;Reforma q está demorando e restringindo o uso do saguão e lobby bar q é maravilhoso.;8;;;;;;;;;
20 de julho de 2023;Bom;Localização, vista frontal para o mar, espaço do quarto, tamanho das camas;Preço exorbitante, cachorro latindo no balcão da recepção;8;;;;;;;;;
19 de julho de 2023;Gostei muito da comida, localização e da vista do quarto que ficava de frente para o mar.;Localização, café da manhã e funcionários;O hotel como um todo e o meu quarto especificamente tinham um cheiro de mofo muito forte.;;;;;;;;;;
"Além disse o ar condicionado do quarto demorava para funcionar""";8;;;;;;;;;;;;
14 de julho de 2023;Fantástico;Vista para o mar e cama;Sem estacionamento gratuito;9;;;;;;;;;
13 de julho de 2023;Muito bom;Tudo bom;;8;;;;;;;;;
10 de julho de 2023;Fantástico;Muito bom;Bom;9;;;;;;;;;
8 de julho de 2023;recomendo otima stadia;Princilpalmente da localização, na Av. boa viagem que oference um numero de atrações como restaurantes e atrações de rua, o quato é confortavel e amplo e o café da manhã é muito bom com bastante opções e o staf é bastante atencioso,;O quarto necessitava de uma melhor manuntenção. a pia estava vazando.;9;;;;;;;;;
6 de julho de 2023;Muito bom;O atendimento dos funcionários é o ponto forte. Sempre prestativos.;O hotel e antigo, e por isso está passando por reformas, oque é necessário para se atualizar. Os quartos também precisam ser renovados para manter o padrão Gran Mercure;8;;;;;;;;;
5 de julho de 2023;Fantástico;Café da manhã e localização;Recepção pouco confortável;9;;;;;;;;;
30 de junho de 2023;Estadia boa, considerando o custo benefício. Ver o mar pela janela faz toda diferença.;Localização excelente, café da manhã bom e equipe atenciosa. Quarto amplo, sem barulho externo;Banheiro muito antigo, não há ducha higiênica, mas bidê, rsrs. Chuveiro chato pra controlar a temperatura, só saía água muito quente, e numa banheira, não sei pra que, penso que banheira é algo extremamente privativo. E a pia estava entupida, era preciso desligar a torneira e ficar esperando a água descer lentamente. Roupa de cama ok, mas não tinha sequer um lençol mais grosso ou uma colcha leve. Mesmo sendo uma cidade onde praticamente não faz frio, como estava chovendo bastante, a temperatura caiu e eu passei um cadinho de frio que me incomodou, sou bem magro. Só tinha uma tomada pra carregar o celular e era distante da cama. No dia em que cheguei, já na recepção, senti um cheiro de coisa velha, nao sei se é mofo, depois me acostumei. Hotel bem antigo, mas está passando por reformas.;7;;;;;;;;;
30 de junho de 2023;Fantástico;Café da manhã é ótimo, espaço dos quartos, os funcionários são sempre solícitos. Voltarei com certeza.;Somente o ar condicionado que não estava muito gelado, mas não passei calor. Apenas não gelava o quarto. Não acho que isso foi suficiente pra desabonar.;9;;;;;;;;;
29 de junho de 2023;Muito agradável.;Nossa estadia foi de 11 a 15 de junho. O Café da Manhã é excelente, e a comida do Restaurante é muito saborosa. Ficamos no 19º andar, onde os quartos passaram por reforma, o quarto era muito espaçoso, confortável e com uma bela vista da praia com o nascer do sol. Tivemos um problema no chuveiro que de pronto a equipe de manutenção resolveu. A localização é muito boa e os funcionários sempre muito atenciosos e cordiais.;Ficamos no quarto 1917, no último andar e havia um barulho de motor funcionando 24 horas por dia, mas nada que atrapalhasse nosso sono. Os travesseiros do quarto possuem capa antialérgica, mas como eu sempre levo as minhas em viagens, coloquei por cima das capas do hotel, mas, Infelizmente eu esqueci lá as minhas duas capas para travesseiro. Enviei email (hb2e2-re@accor.com) explicando o que aconteceu e solicitando o envio, porém ninguém, até o momento, me respondeu.;8;;;;;;;;;
24 de junho de 2023;Bom;Quarto espaçoso.;Hotel antigo.;7;;;;;;;;;
22 de junho de 2023;Fui surpreendente quando fui alocado ma parte reformada!;A equipe foi super atenciosa e me ajudou nas várias demandas de troca de unidade porque o hotel está em reforma. Quando fui alocado no andar reformado, a experiência foi super acima do esperado, com um quarto super novo, elegante e com uma vista incrível. Os demais serviços foram super bem prestados (incluindo room service).;Não tinha conhecimento que o hotel estava passando por reformas e fui alocado inicialmente na área não reformada.;8;;;;;;;;;
22 de junho de 2023;Boa;Café da manhã e atendimento.;O colcão não era bom, deformado. Foi trocado, mas continuou com o mesmo problema.;8;;;;;;;;;
22 de junho de 2023;poderia ter sido melhor;Café da manha maravilhoso, colaboradores simpáticos;cama nao muito confortável e o ponto principal pra minha avaliaçao nao ser melhor, NAO TEM GARAGEM, pois a garagem é terceirizada onde tivemos que pagar R$25 a diária e ficam a duas quadras do hotel.;7;;;;;;;;;
22 de junho de 2023;Muito bom;O café da manhã ótimo, localização perfeita e atendimento maravilhoso!;;8;;;;;;;;;
20 de junho de 2023;precisa reformas;a vista para o mar, a cama confortável;quarto muito antigo, não tem lâmpada, apenas de abajur, ar condicionado barulhento é muito antigo.;8;;;;;;;;;
20 de junho de 2023;Hotel com boa estrutura e conforto, o cardápio poderia ter mais variedade simples,arroz,feijão,etc;Localização excelente e bom café da manhã;tudo bom;8;;;;;;;;;
18 de junho de 2023;bom mas poderia ser melhor;conforto;café da manhã simplório (não falo de quantidade e diversidade, mas sabor), não há amenidades (cápsulas de café e água cobradas). chuveiro fraco;8;;;;;;;;;
17 de junho de 2023;ótimo hotel;a área nova (para a qual supostamente recebemos o upgrade) está incrível, porém o quarto podia ser de frente/com vista;apenas o valor que achei bastante pesado para quem, por necessidade, ficou menos de 6 hrs desfrutando do hotel (tínhamos uma conexão noturna);8;;;;;;;;;
14 de junho de 2023;excelente;Café da manhã e localização excelentes.;A entrega do veiculo pelos manobristas muito demorada.;9;;;;;;;;;
13 de junho de 2023;Um bom hotel.;Localização, café da manhã, atendimento dos funcionários.;Solicitei um andar alto e não fui atendido. O quarto que fiquei está precisando de alguns reparos.;8;;;;;;;;;
12 de junho de 2023;Muito bom;Localização, bom atendimento. Boa cozinha.;Academia em más condições, suja,e o hotel precisa de reforma e manutenção;8;;;;;;;;;
12 de junho de 2023;Boa localização, bom afé da manha, o quarto deixou a desejar.;O café da manha muito bom.;O quarto poderia ser melhor;7;;;;;;;;;
12 de junho de 2023;boa e sem intercorrências;Quarto amplo, excelente café da manhã, em frente a praia, proximo de centros comerciais, facil acesso dos ubers.;Banheiro precisa de reforma e com vazamentos, o apto em si.;8;;;;;;;;;
11 de junho de 2023;Bom;Café da manhã bem completo;Ficamos em 2 camas de solteiro e um sofá cama , esse sofá cama muito desconfortável;7;;;;;;;;;
7 de junho de 2023;bom atendimento e localização;quarto grande e cama muito confortável;;8;;;;;;;;;
5 de junho de 2023;Valeu a pena.;"Os quartos eram espaçosos e limpos, mas um pouco ""datados"".";;;;;;;;;;;
Hotel está em reforma e certamente ficará melhor ainda.;;;;;;;;;;;;;
Localização excelente!;;;;;;;;;;;;;
"E café da manhã maravilhoso.""";;8;;;;;;;;;;;
5 de junho de 2023;Muito bom;O;corredor e quarto estava com cheiro de mofo muito intenso. Precisam rever a questao da iluminação, ventilacao para evitar esse cheiro.;8;;;;;;;;;
4 de junho de 2023;Fantástico;Tive um vista privilegiada da praia de Boa Viagem. Quarto muito confortável e bem espaçoso.;;9;;;;;;;;;
3 de junho de 2023;gostei, podem;café da manhã e vista;cheiro forte e limpeza;9;;;;;;;;;
1º de junho de 2023;Bom;Funcionários são muito queridos, desde o gerente do restaurante até os funcionários da recepção e limpeza. Camas confortáveis, quartos e banheiros espaçosos, a vista dos quartos frontais para o mar fenomenal;Produtos muito fortes na recepção e no elevador. No tapete de entrada despejaram detergente com cheiro muito forte, nos elevadores e corredores também, parecia pinho sol ou eucalipto. Pra quem tem rinite como nós foi tiro e queda pra crise aguda. Se melhorarem essa falha esse hotel é funcionários é nota 10. Frequento este hotel desde 2014 com a família, desde a bandeira Tulyp. Voltaia com um pouco de receio porque amamos os quartos espaçosos e a vista, e o fato de ser o melhor trecho de praia de Recife. Espero que se atentem para esse problema.;7;;;;;;;;;
31 de maio de 2023;Hotel em reforma.;Localização, café da manhã;Ar condicionado sem rendimento, reformas no lobby e na fachada. Preço muito alto.;7;;;;;;;;;
24 de maio de 2023;Bom;Localização e quarto;Para fazer check-in uma hora antes do previsto, sugerem pagamento de meia diária, ou deixar malas na recepção, caso não haja quarto disponível. Check-out antes do café da manhã não dá desconto na diária....;7;;;;;;;;;
22 de maio de 2023;Muito boa, mas podem melhorar no quesito conforto;Ótima localização, funcionários muito atenciosos. Bom café da manhã.;O quarto em que ficamos necessita de reformas. O ar condicionado fazia muito barulho, as instalações do quarto estão velhas. Felizmente estão providenciando isso.;8;;;;;;;;;
22 de maio de 2023;MUITO BOA;BOA LOCALIZAÇÃO, CAFE DA MANHA BOM E EM AMBIENTE AGRADÁVEL, FUNCIONÁRIOS BASTANTE ATENCIOSOS E SOLÍCITOS.;A FALTA DE BARRA DE SEGURANÇA NO BOX DO BANHEIRO;9;;;;;;;;;
21 de maio de 2023;Quem não foi, não saberá. Quem viu jamais esquecerá.;Os funcionários são fantásticos, um grande abraço para o Senhor Francisco que é excecional.;;;;;;;;;;;
O senhor Flavio excelente pessoa é muito prestativo.;;;;;;;;;;;;;
O serviço do bar tenham cuidado com a caipirinha;" depois de uma não consegues mais parar.""";Os senhores da manutenção são fantásticos , abraço para o senhor Léo.;;;;;;;;;;;
É necessário algum investimento na requalificação ;" porém sempre que avistado um problema o mesmo é rapidamente resolvido.""";7;;;;;;;;;;;
18 de maio de 2023;Boa relação custo X benefício;O café da manhã é excelente. Os funcionários são atenciosos.;O prédio é antigo, o sistema de ar condicionado é central (ineficiente e, principalmente, barulhento). Precisam corrigir esse item com urgência. O sistema de iluminação também é antigo.;8;;;;;;;;;
18 de maio de 2023;muito boa;espaço;foi tudo ok;9;;;;;;;;;
15 de maio de 2023;maravilhosa;tudo;;9;;;;;;;;;
15 de maio de 2023;Muito bom;CAFÉ DA MANHÃ;;;;;;;;;;;
VISTA PARA O MAR;;;;;;;;;;;;;
"CONFORTO.""";;8;;;;;;;;;;;
15 de maio de 2023;Muito bom;Excelente café da manhã, com vista para a praia da Boa Viagem.;;;;;;;;;;;
"A localização do hotel é excelente e a equipe é educada e prestativa. Sempre solícitos em te atender""";Pontos a melhorar:;;;;;;;;;;;;
O serviço de manobrista é lento na hora de buscar o carro.;;;;;;;;;;;;;
"Os quartos possuem pouca iluminação e o ar condicionado está precisando de uma limpeza. Como o hotel está em reforma- espera-se que esses pontos sejam corrigidos.""";7;;;;;;;;;;;;
14 de maio de 2023;Bom;Excelente localização, funcionários muito atenciosos e ótima vista do café da manhã;Quartos antigos e precisando de reforma, ar condicionado sem controle de temperatura e bem barulhento;7;;;;;;;;;
14 de maio de 2023;precisam de reforma em algumas acomodações;amplo, limpo, confortável;cheiro de mofo, instalações muito antigas (banheira, piso antigo, cheiro de mofo);7;;;;;;;;;
12 de maio de 2023;Muito agradável mas precisa melhorar o café da manhã.;Quarto confortável;Limpeza do quarto. Faltou varrer da areia de praia antes de passar o pano úmido.;7;;;;;;;;;
11 de maio de 2023;foi boa. eu e meu marido precisamos trabalhar na sexta e o wifi cumpriu bem o propósito.;Gostei bastante do café da manhã e das camas.;no banheiro subia um cheiro de esgoto as vezes, as toalhas estavam um pouco judiadas e a limpeza passava muito tarde.;8;;;;;;;;;
11 de maio de 2023;Uma estádia que poderia ser melhor!;A localização é excelente do hotel!;O hotel estava em obras e isso talvez tenha obscurecido minha imagem sobre ele...mas, havia cheiro de mofo nos quartos e problemas na infraestrutura e manutenção das áreas comuns e dos banheiros.;7;;;;;;;;;
10 de maio de 2023;Excelente localização, mas caro para o que oferece;localização;instalações antigas, além do que meu ar-condicionado deixou de funcionar durante a madrugada toda e o problema só foi resolvido no outro dia.;7;;;;;;;;;
9 de maio de 2023;Custo x beneficio bom!;quartos grandes;apartamento velho… se fizeram reforma nos quartos ficará top!;8;;;;;;;;;
9 de maio de 2023;Muito bom;Café da manhã bom, porém pode ser bem mais completo.;;;;;;;;;;;
;;;;;;;;;;;;;
Ressalto que o hotel em especial seus colaboradores são muito simpáticos e gentis.;;;;;;;;;;;;;
;;;;;;;;;;;;;
"Ele encontra-se em reforma sugerido a quem for se hospedar ficar já na parte reformada.""";Espero que em breve toda a reforma seja concluída, pois o hotel fica em excelente localização e perto de bons lugares para ir.;9;;;;;;;;;;;
9 de maio de 2023;perfeita;tamanho espaços;quando chegamos um cheiro de esgoto no quarto após abrir as janelas e no decorrer da estadia não senti mais;9;;;;;;;;;
8 de maio de 2023;Hotel com localização extraordinária e café da manhã espetacular.;Excelente localização, atendimento cordial e excepcional café da manhã (com vista para o mar).;Piscina gelada.;9;;;;;;;;;
4 de maio de 2023;Muito bom;Café da manhã excelente.;;8;;;;;;;;;
3 de maio de 2023;um hotel bem confortável;o apto perfeito, limpo, grande, cheirosos;o café da manhã era o mesmo todos os dias.;8;;;;;;;;;
2 de maio de 2023;quanto a localização muito boa;na realidade o hotel está em reforma e me colocaram em um quarto ainda não reformado;apto Velho e mau conservado;8;;;;;;;;;
2 de maio de 2023;Muito bom;ótima localização, café da manhã e quarto limpo;;8;;;;;;;;;
1º de maio de 2023;valeu a pena!;conforto da cama, itens do banheiro, enxoval;nada;9;;;;;;;;;
22 de abril de 2023;Muito bom;Os quartos são um pouco antigos, mas a comida é muito boa! o café da manhã foi um dos melhores que já vi em variedade e boas opções! Localização excelente, me hospedaria novamente com certeza!;;8;;;;;;;;;
21 de abril de 2023;Passamos a noite, mas poderia ser melhor;A localização é excelente e, o Grand Mercure possui bastante potencial;O hotel estava em obras, alguns quartos com mofos, e o ambiente não estava muito hospitaleiro;7;;;;;;;;;
20 de abril de 2023;Fantástico;LOCALIZAÇÃO;CAFÉ DA MANHÃ;9;;;;;;;;;
18 de abril de 2023;Ótima.;Eu gostei muito da localização mas principalmente da cordialidade de todos os funcionários. Eles foram excepcionais. Sempre fazem muito mais do que simplesmente o trabalho, eles vão muito além p encantar os hóspedes.;Logo na entrada do quarto, havia um vazamento no teto.;9;;;;;;;;;
18 de abril de 2023;Muito bom;Muito bom.;O ar condicinado do quarto não estava bom.;8;;;;;;;;;
11 de abril de 2023;otima.;Foi tudo bom , doa atendimento dos funcionários, são muito atenciosos, as instalações.;achei tudo adequado, o preço um pouco salgado, mas estava dentro do previsto, pelo padrão do hotel.;8;;;;;;;;;
10 de abril de 2023;Adorei!!! Voltarei com certeza!;Localização, tamanho do quarto, café da manhã e funcionários muito atenciosos.;As instalações não são muito novas. Precisa de uma repaginação.;9;;;;;;;;;
9 de abril de 2023;Recife em 2 dias;Boa localização, funcionários muito gentis e o café da manhã é ótimo. Muitas opções;O quarto é antigo, camas não muito confortáveis e a limpeza fica a desejar. Apesar de ser proibido o fumo, quando chegamos o quarto cheirava a cigarro. Tivemos que deixar aberto o tempo todo.;8;;;;;;;;;
3 de abril de 2023;É um belo HOTEL mas precisa urgente de ima boa reforma,;Ótima localização, café da manhã muito bom, funcionários gentis;Hotel antigo, precisando reforma, com mofo no teto, algumas áreas com vazamento de água;7;;;;;;;;;
1º de abril de 2023;não me hospedaria novamente, hotel muito antigo, precisando de reforma !!!;café da manhã maravilhoso !’nn;a cama terrível e tem buracos que doem as costas !!!;7;;;;;;;;;
31 de março de 2023;Gostei muito!;O hotel estava em reforma e o meu quarto original estava com um cheiro muito forte de mofo, porém prontamente fui atendido e outro quarto me foi oferecido. A equipe foi muito atenciosa!;O café da manhã poderia ser melhor.;8;;;;;;;;;
29 de março de 2023;Recomendo o hotel, tudo foi agradável.;Café da manhã muito bom, localização excelente.;;9;;;;;;;;;
28 de março de 2023;Muito agradável.;Café da manhã muito bom. Cardápio bem variado.;O colchão da cama do quarto que me hospedou é de péssima qualidade.;8;;;;;;;;;
28 de março de 2023;Boa localização e equipe atenciosa;É bem localizado e o trecho de praia tem arrecifes que formam piscininhas. Destaques para os funcionários: muito atenciosos e prontos a ajudar e, para o café da manhã: farto e muito variado. Ficamos em um quarto reformado, espaçoso, com moveis novos, frigobar abastecido, iluminação boa e decoração clean. A área da piscina é agradável e ampla.;O banheiro, apesar de amplo , precisa melhorar o escoamento de água no ralo do box;;;;;;;;;;
28 de março de 2023;Foi OK;Localização;Tive que pagar mais para ter um quarto reformado. Os outros estão bem velhos.;7;;;;;;;;;
23 de março de 2023;Muito bom;A localização, a área de piscina e o restaurante são o ponto alto do hotel Restaurante tem um bom preço e um ótimo atendimento numa área com vista para o mar.;Nosso quarto tinha uma janela virada para o prédio que fica muito próximo do hotel. O banho foi muito prejudicado pelo vazamento do box que molhava o banheiro.;8;;;;;;;;;
19 de março de 2023;foi satisfatória atendendo a relação qualidade preço;localização e o atendimento.;;;;;;;;;;;
"pequeno almoço é bom e diversificado.""";o hotel está em obras.;7;;;;;;;;;;;
19 de março de 2023;Muito bom;O café da manhã é bom. Mas as instalações antigas são ruins, talvez depois da reforma fiquem boas.;Antigo e sem charme.;8;;;;;;;;;
16 de março de 2023;Bom;;Agua em lata;7;;;;;;;;;
15 de março de 2023;bom atendimento;espaçoso;ar condicionado fraco. instalações antigas.;8;;;;;;;;;
9 de março de 2023;Muito bom;O quarto é bem confortável e o Hotel bem localizado.;A academia é muito pequena e os aparelhos, mínimos, é de péssima qualidade.;8;;;;;;;;;
9 de março de 2023;Fantástico;Gostei da recepção dos funcionários e da variedade no café da manhã.;Não gostei do tipo de iluminação, somente abajur. E não ter tomada na lateral da cama.;9;;;;;;;;;
4 de março de 2023;Bom;Excelente localização;;;;;;;;;;;
Bom café da manhã;;;;;;;;;;;;;
"Funcionários gentis""";Quarto requerendo revitalização urgente.;;;;;;;;;;;;
Tudo velho e cansado.;;;;;;;;;;;;;
"Ar condicionado ruidoso""";7;;;;;;;;;;;;
3 de março de 2023;A vista dos quartos é linda!;localização;instalações velhas;7;;;;;;;;;
3 de março de 2023;Fantástico;Localizaçao, hospitalidade limpeza. Excelente custo benefício o café da manhã e magnífico a vista para a praia no melhor trecho da praia de boa viagem.;;9;;;;;;;;;
27 de fevereiro de 2023;Vale pelo custo-benefício, mas o hotel precisa de reforma.;Ótima localização na praia de Boa Viagem. Quarto e banheiros bem amplos . Me colocaram num quarto com vista maravilhosa para o mar! Café da manhã ótimo! Funcionários muito gentis e atenciosos!;Instalações muito mal conservadas e que precisam ser modernizadas. Teto do quarto cheio de bolhas de infiltração. Academia minúscula, com ar condicionado ótimo, mas num local sem uma única janela. Não parece nem de longe um hotel 5 estrelas.;7;;;;;;;;;
26 de fevereiro de 2023;Fantástico;Excelente, o café da manhã.;A roupa de cama;;;;;;;;;;
26 de fevereiro de 2023;Muito bom;Localização e conforto das camas;O meu carro permaneceu na intempérie.;;;;;;;;;;
Café da manhã poderia melhorar.;;;;;;;;;;;;;
Salão do café dm com péssima acústica;" sem cortinas para reduzir o eco dos barulhentos.""";8;;;;;;;;;;;
22 de fevereiro de 2023;Muito bom;só não gostei do restaurante e do café da manhã quem tiver intolerância ou for vegano não tem opção nem de leite vegetal.;;8;;;;;;;;;
21 de fevereiro de 2023;Tudo ok;Tudo ok , principalmente o atendimento dos funcionários;;9;;;;;;;;;
21 de fevereiro de 2023;Bom;Boa localização;Quarto com cheiro de mofo e cama desconfortável, pelo preço pago não foi bom o custo-benefício;7;;;;;;;;;
21 de fevereiro de 2023;Bom;Cordialidade da equipe e o café da manhã;Banheiro antigo, com vazamentos e ar condicionado sem controle, se tornando insuficiente em certas horas.;7;;;;;;;;;
21 de fevereiro de 2023;razoável;localização e café da manhã. funcionários gentis;O hotel passa por necessárias reformas. o primeiro quarto que nos deram, no sétimo andar, cheirava s mofo e na banheira não havia ralo, mas um buraco. pedimos para trocar de quarto e fomos prontamente atendidos. o segundo quarto, no nono andar, não apresentava esses problemas. Havia goteiras nos corredores, cortina nas banheiras (e não box) etc. Realmente não dá para dizer que o hotel estava em boas condições.;8;;;;;;;;;
20 de fevereiro de 2023;Muito boa, quando voltar à Recife, muito provavelmente ficarei no mesmo hotel.;Café da manhã excelente, equipe atenciosa e localização muito boa;Tinha uma goteira no quarto, creio que seja do ar condicionado.;9;;;;;;;;;
20 de fevereiro de 2023;Boa estadia;Café da manhã é excelente e o atendimento também!;Notava-se queo quarto não tinha tanta manutenção. Alguns móveis desgastados e tomadas que não funcionavam;8;;;;;;;;;
19 de fevereiro de 2023;Bom;Atendimento maravilhoso.;Ar condicionado com problema e muito barulhento, janela do quarto não abriu. ;;;;;;;;;;
"Estadia durante o carnaval com valor muito alto.""";7;;;;;;;;;;;;
18 de fevereiro de 2023;Fantástico;Funcionários prestativos e sorridentes cito a Laura, Manasses , Iclenia e os demais.;;;;;;;;;;;
;;;;;;;;;;;;;
Suite limpissima e aconchegante ;;;;;;;;;;;;;
;;;;;;;;;;;;;
Localização proximo a tudo de frente as piscinas naturais;;;;;;;;;;;;;
;;;;;;;;;;;;;
"Cafe da manhã perfeito com variedades""";De ir embora kkk;9;;;;;;;;;;;
18 de fevereiro de 2023;Pensar em atrativos de laser melhor;Área de lazer bem a quem do esperado. Esperava mais do hotel em conforto tb;Área de laser e instalações;7;;;;;;;;;
16 de fevereiro de 2023;tirando o café da manhã, tudo certo;quarto amplo;;7;;;;;;;;;
16 de fevereiro de 2023;Foi uma boa experiência.;Gostei muito do café da manhã. Muito variado, muito gostoso e bem servido. Realmente uma boa experiência. A tapioca de côco com leite condensado vale a pena experimentar e o mingau de tapioca com canela. Alé disso, algumas mesas ficam em frente a praia, um espetaculo.;O ambiente em frente ao hotel não é dos melhores, a praia é um pouco poluída e o acúmulo de vendedores ambulantes acaba por importunar muito, além de haver muita sujeira e construção inacabada em frente ao hotel, o que tira um pouco a beleza da paisagem.;7;;;;;;;;;
