data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;
Fora isso; que já foi super inconveniente; o café da manhã foi péssimo com direito à pão francês velho; cuscuz igual pedra e faltava de tudo: louça e as poucas opções de comida… Então tivemos que ficar esperando repor coisas o tempo inteiro. ;;;
;;;;;;
"Por esse valor é possível ficar em outro local e ser mais bem tratado. Se eu pudesse voltar no tempo faria isso então fica de recado para você que está lendo: Não reserve. Pesquise outro.""";1;;;;;
1º de novembro de 2024;Uma maravilha tomar café da manhã com vista para mar.;A vista do café da manhã é custo benefício.;O barulho do ar condicionado;10;;
27 de outubro de 2024;Decepcionante;localização.;limpeza do banheiro e lençóis deixou a desejar, parecia encardido. o prédio é muito antigo e parou nos anos 80, ptecisa de uma repaginada.;4;;
24 de outubro de 2024;Desconfortável para hospedar decoração arrepiante...;Não gostei denada somente a localização;Infraestrutura no geral,limpeza.O HOTEL cheira mal desde a recepção ao quarto;3;;
23 de outubro de 2024;Excepcional;Muito bommmm, um pulo da praia, a glr muito receptiva minhas amigas amaram! Pretendo voltar logo;;10;;
21 de outubro de 2024;foi uma desgraça;nada;tudo, péssimo em tudp;2;;
21 de outubro de 2024;Vale custo benefício;Localização;Instalações antigas;8;;
19 de outubro de 2024;Ruim;Cordialidade dos funcionários;Hotel velho, ar condicionado ruim, elevador velho.;3;;
17 de outubro de 2024;Horrível;Somente a localização;Tinha batatas no quarto, eles não fazem manutenção e limpeza diária somente de três em três dias, espaço de banho extremamente pequeno e chuveiro muito ruim. Café da manhã razoável;1;;
16 de outubro de 2024;Horrível;Dos lençóis;Atendimento, muito desconfortável, desorganizado, sujo;2;;
13 de outubro de 2024;Muito bom;O custo benefício com certeza é o diferencial!;A limpeza dos lençóis de cama. Estavam um pouco encardidos.;8;;
11 de outubro de 2024;Não dá para ficar mais do que uma noite.;A localidade é muito boa, bem pertinho da feirinha de Boa Viagem e Igreja do Galo. O café da manhã é muito bom.;Reservei quarto para casal e fui acomodado num quarto para 2 solteiros. Não havia toalha de banho, toalha de rosto, nem toalha de chão. Faltava uma porta do box e o papel higiênico era de folha simples.;2;;
10 de outubro de 2024;Ótima;Localização;Limpeza e café da manhã;8;;
6 de outubro de 2024;Muito bom;Funcionário bem simpático, seu Roberto me recepcionou muito bem. Quarto limpo e organizado.Otima localização. Café da manhã simples, mas muito gostoso, com uma vista linda. Voltarei com certeza;Atendimento, custo benefício, localização.;8;;
5 de outubro de 2024;A minha avaliação é boa, adorei bastante por te hospedado e recomendo.;O atendimento, simpatia dos trabalhadores;;;;
1º de outubro de 2024;Horrorosa!! só não fiquei em outro lugar pq já tinha pago bem caro;;o Quarto parece nojento, sujo, mal apresentado. parece quarto de pensão, toalha manchada, lençol manchado. pior experiência que eu tive. e um preço absurdo por isso.;1;;
27 de setembro de 2024;Não recomendo;Só do café da manhã 🥣 os funcionários da cozinha são bem atenciosos;Do apto, banheiro, chuveiro quebrado, ar-condicionado barulhento demais pra dormir tinha que desligar, TV 📺 não tinha opção, recebimento a vista, recepção a desejar madrugada.;1;;
26 de setembro de 2024;Volto sim ! Recomendo.;O ambiente é bonito, muito bom, perto da praia, o café da manhã foi simples,mas agradável.;Os recepcionistas muito sisudos. Respondiam friamente as perguntas.;8;;
23 de setembro de 2024;pesadelo perto da praia;só a localização;quarto sujo, com cheiro de cigarro no quarto e no corredor. café da manhã horrível, por sorte tem uma padaria (Diplomata) por perto . conseguiram servir uma tapioca sem gosto e café frio;1;;
20 de setembro de 2024;Ótimo, pois passei apenas um dias.;O café estava ótimo e localização excelente.;Muito moradores de ruas próximos.;8;;
19 de setembro de 2024;Horrível;Tudo péssimo;Tudo;1;;
17 de setembro de 2024;Infelizmente não foi uma boa experiência.;;Nossa reserva não foi honrada. Tínhamos recebido Email do BOOKING de que nossa Reserva estava confirmada e, ao chegarmos no Hotel, informaram que nossa Reserva tinha sido para outro hospede.;;;
Se estávamos a caminho; deveriam ter nos aguardado ou entrado em contato... Não sumariamente passar as nossas reservas para outros hospedes.;;;;;
Falharam feio. ;;;;;;
Estávamos em um grupo de Quatro Casais; pois tínhamos ido para comemorar o Aniversário de um de nós.;;;;;
Falaram que só dois dos Casais estaria com a Reserva Ok e dois outros não e queriam separar o Grupo mandando para uma Pousada do Grupo deles chamada POUSADA CASA GRANDE.;;;;;;
Exigimos que todos fiassem juntos e então nos enviaram todos para a referida Pousada.;;;;;;
A Pousada era simplesmente muito inferior ao Hotel.... Camas péssimas; Chuveiro muito ruim; café da manhã horrível. Ou seja;" a experiência foi muito ruim.""";4;;
1º de setembro de 2024;Instalações antigas;Localização e wifi;Primeiramente tivemos a decepção em não ter estacionamento, cuja reserva informava que tinha estacionamento, mas só tinha 3 vagas na frente, tivemos que deixar o carro na rua. Atendimento do recepcionista deixou muito a desejar. As instalações dos quartos, péssimas condições, ficamos no 5°andar que não tem elevador até lá, tivemos que descer no quarto andar, passar pela área do café da manhã e tinha uma escada de acesso ao quarto, ao subir sentimos um odor muito forte de esgoto, no quarto tivemos a decepção com cabeceira da cama velha, a janela quebrada com o vento forte ela balançava muito, lençol fino, não tinha edredom e nem toalha de rosto, tv riscada, quarto escuro, ar condicionado que vazava água e interrompeu o nosso sono por diversas vezes, banheiro antigo, porta velha, resumindo instalação muito antiga e conforto mínimo. O café da manhã péssimo, não tinha opções, quando fomos tinha acabado o suco, frios, salada de frutas e frutas, demorou muito para repor a mesa, Deixou muito a desejar, não recomendo. Pelo valor que pagamos na diária e a entrega do serviço foi péssimo. Nunca mais iremos.;2;;
28 de agosto de 2024;Não gostei!;Nada! Tudo muito antigo e meio precário.;A maioria das coisas, pois era tudo muito antigo e com aspecto de sujo. O banheiro principalmente.;4;;
28 de agosto de 2024;Ok;localização, custo beneficio bom;mobilia antiga;8;;
25 de agosto de 2024;Tem outras opções melhores;Localização;Quarto velho ;;;
Cafe da manhã fraco ;;;;;;
Elevador deixando as pessoas presas ;;;;;;
"Banheiro não dava nen pra se mexer""";4;;;;;
6 de agosto de 2024;Péssimo;Café da manhã pessimo e o ambiente não é agradável.;;1;;
4 de agosto de 2024;confortavel, acessivel e bem localizada;O hotel é muito bem localizado e o preço é bem em conta. A equipe é gente fina, achei a moça que serve o café da manhã especialmente simpática e querida! O café da manha é bem gostoso e completo, e estão sempre repondo rapido. O quarto e as camas são bem confortaveis, e tudo limpinho.;precisei pedir talheres em um horario fora do cafe da manha pra comer uma comida que pedi por delivery e o hotel me informou que nao tinha como disponibilizar porque a cozInha tava fechada o que achei um pouco complicado pra um hotel, tive que sair na rua buscando restaurantes que tivessem talheres de plastico pra me disponibilizar... achei que faltou uma toalhinha de rosto e um pano de chao no banheiro tambem, o papel higienico ser folha simples me incomoda um pouco;8;;
4 de agosto de 2024;Não era o que eu esperava;Gostei pelo atendimento dos funcionários;Achei o quarto ou andar muito antigo e com isso não transmitiu conforto, o banheiro muito pequeno e o chuveiro estava dando choque. Fiquei no último andar;4;;
4 de agosto de 2024;Bom;café da manhã, localização;o quarto estava com as paredes com infiltração,mas no geral ok;8;;
31 de julho de 2024;Infelizmente o quarto do térreo não trouxe boas experiências quando se vem a um lazer, pela manhã há um barulho de porta;Cama;Infelizmente o quarto era no térreo ( não era como no anúncio) e trouxe desconforto por a tv só pegar canal local, o café da manhã não era tão saboroso;4;;
29 de julho de 2024;A única coisa que presta são os funcionários e a localização;Localização;Acomodação sem nenhum conforto, tudo muito velho;3;;
29 de julho de 2024;Decepcionante;;café da manhã, pão seco , copos sujos , poucas opções, café frio;;;
"cama de casal improvisado com 2 de solteiro .""";4;;;;;
17 de julho de 2024;Excepcional;Da limpeza;Nada;10;;
14 de julho de 2024;Fantástico;Localização perfeita, café da manhã excelente com uma vista surreal, os quartos são pequenos, mas supre bem as necessidades, tudo limpinho e funcionando normalmente! Custo benefício vale a pena!!;;9;;
13 de julho de 2024;Ruim;;Chuveiro com água gelada;3;;
12 de julho de 2024;Bom;Bom;Bom;10;;
12 de julho de 2024;Excepcional;Localização, acomodação e tratamento dos funcionários.;Sem queixas;10;;
9 de julho de 2024;Não voltarei e não tecomendo;Nada;Banheiro minúsculo e sujo, lençóis manchados, tv não funciona, ar condicionado muito barulhento,;3;;
8 de julho de 2024;Horrível;Só a atenção do recepcionista! Colocaram em um;;;;
Quarto com muito mofo e infiltração; sem ventilação;" HORRÍVEL! Não recomendo!""";Só a atenção do recepcionista! Colocaram em um;;;
Quarto com muito mofo e infiltração; sem ventilação;" HORRÍVEL! Não recomendo!""";1;;;
29 de junho de 2024;Muito bom;Café muito bom;Quarto estava cheirando a cigarro. Faltaram toalhas de rosto e no chão do banheiro, pedi, mas não levaram.;8;;
19 de junho de 2024;Ruim;Nada.;Ar condicionado faz mais barulho que uma turbina de avião.;;;
"Canais de TV restrito a minha dúzia.""";4;;;;;
30 de janeiro de 2025;Cheap and cheerful, but could be great with a little bit of updating;Great location and close to the beach. The manager was extremely helpful and made us feel welcome, and was happy to help arranging taxi and a scheduled wake up. The bed was very comfortable.;The hotel is a little dated, and could do with updating, particularly the air conditioning unit which was very loud through the night.;5;;
4 de março de 2025;Aceitável;Sirve para pasar la noche;;5;;
2 de dezembro de 2024;Befriedigend;Lage, die Betten und das Personal;Die laute Klima und die Lage des Zimmer wegen den in der Nähe stark befahrenen Straßen;7;;
29 de janeiro de 2025;Fantástico;El checking y checkout y las maletas en recepción luego del checkout y buena atención;Todo correcto de acuerdo calidad precio;9;;
7 de janeiro de 2025;Nada recomendable por el precio que piden.;La ubicación era buena, y el personal simpático.;La habitación era vieja y fea, con vistas a una pared, solo tenía una sábana que protegía el colchón, el aire acondicionado hacía mucho ruido, la cadena del baño estaba rota y el precio fue muy caro, pagamos muy caro para lo que era no lo recomendaría.;2;;
7 de janeiro de 2025;A éviter fortement;Rien.;Très chaud, humide, le personnel ne résout pas les problèmes et c'est bruyant. Je déconseille fortement de réserver, même si le prix semble attractif... cela coûtera cher en terme d'inconfort.;3;;
23 de março de 2025;Satisfatório;;;6;;
16 de março de 2025;Aceitável;;;5;;
12 de março de 2025;Satisfatório;;;6;;
11 de março de 2025;Bom;;;7;;
10 de março de 2025;Bom;;;7;;
22 de fevereiro de 2025;Satisfatório;;;6;;
20 de fevereiro de 2025;Satisfatório;;;6;;
19 de fevereiro de 2025;Bom;;;7;;
18 de fevereiro de 2025;Satisfatório;;;6;;
12 de fevereiro de 2025;Aceitável;;;5;;
12 de fevereiro de 2025;Satisfatório;;;6;;
6 de fevereiro de 2025;Bom;;;7;;
30 de janeiro de 2025;Bom;;;7;;
28 de janeiro de 2025;Bom;;;7;;
26 de janeiro de 2025;Bom;;;7;;
22 de janeiro de 2025;Bom;;;7;;
18 de janeiro de 2025;Aceitável;;;5;;
15 de janeiro de 2025;Aceitável;;;5;;
31 de dezembro de 2024;Satisfatório;;;6;;
30 de dezembro de 2024;Satisfatório;;;6;;
16 de dezembro de 2024;Aceitável;;;5;;
16 de dezembro de 2024;Satisfatório;;;6;;
30 de novembro de 2024;Bom;;;7;;
28 de novembro de 2024;Bom;;;7;;
23 de novembro de 2024;Bom;;;7;;
22 de novembro de 2024;Bom;;;7;;
18 de novembro de 2024;Satisfatório;;;6;;
9 de novembro de 2024;Aceitável;;;5;;
3 de novembro de 2024;Satisfatório;;;6;;
1º de novembro de 2024;Aceitável;;;5;;
29 de outubro de 2024;Satisfatório;;;6;;
29 de outubro de 2024;Bom;;;7;;
27 de outubro de 2024;Satisfatório;;;6;;
19 de outubro de 2024;Aceitável;;;5;;
15 de outubro de 2024;Bom;;;7;;
9 de outubro de 2024;Aceitável;;;5;;
30 de setembro de 2024;Satisfatório;;;6;;
25 de setembro de 2024;Bom;;;7;;
9 de setembro de 2024;Bom;;;7;;
6 de setembro de 2024;Bom;;;7;;
2 de setembro de 2024;Bom;;;7;;
29 de agosto de 2024;Satisfatório;;;6;;
24 de agosto de 2024;Aceitável;;;5;;
18 de agosto de 2024;Aceitável;;;5;;
4 de agosto de 2024;Bom;;;7;;
30 de julho de 2024;Satisfatório;;;6;;
30 de julho de 2024;Bom;;;7;;
25 de julho de 2024;Bom;;;7;;
21 de julho de 2024;Bom;;;7;;
14 de julho de 2024;Bom;;;7;;
8 de julho de 2024;Bom;;;7;;
3 de julho de 2024;Bom;;;7;;
23 de junho de 2024;Satisfatório;;;6;;
26 de março de 2025;Fantástico;;;9;;
23 de março de 2025;Muito bom;;;8;;
22 de março de 2025;Fantástico;;;9;;
16 de março de 2025;Muito bom;;;8;;
12 de março de 2025;Muito bom;;;8;;
9 de março de 2025;Fantástico;;;9;;
8 de março de 2025;Fantástico;;;9;;
6 de março de 2025;Fantástico;;;9;;
4 de março de 2025;Muito bom;;;8;;
26 de fevereiro de 2025;Muito bom;;;8;;
23 de fevereiro de 2025;Péssimo;;;1;;
20 de fevereiro de 2025;Excepcional;;;10;;
17 de fevereiro de 2025;Fantástico;;;9;;
16 de fevereiro de 2025;Fantástico;;;9;;
13 de fevereiro de 2025;Fantástico;;;9;;
12 de fevereiro de 2025;Fantástico;;;9;;
11 de fevereiro de 2025;Muito bom;;;8;;
9 de fevereiro de 2025;Muito bom;;;8;;
5 de fevereiro de 2025;Muito bom;;;8;;
3 de fevereiro de 2025;Excepcional;;;10;;
31 de janeiro de 2025;Fantástico;;;9;;
31 de janeiro de 2025;Excepcional;;;10;;
31 de janeiro de 2025;Fantástico;;;9;;
31 de janeiro de 2025;Excepcional;;;10;;
31 de janeiro de 2025;Excepcional;;;10;;
30 de janeiro de 2025;Ruim;;;3;;
28 de janeiro de 2025;Fantástico;;;9;;
27 de janeiro de 2025;Ruim;;;3;;
23 de janeiro de 2025;Ruim;;;3;;
23 de janeiro de 2025;Excepcional;;;10;;
22 de janeiro de 2025;Muito bom;;;8;;
21 de janeiro de 2025;Fantástico;;;9;;
18 de janeiro de 2025;Excepcional;;;10;;
17 de janeiro de 2025;Muito bom;;;8;;
17 de janeiro de 2025;Fantástico;;;9;;
15 de janeiro de 2025;Muito bom;;;8;;
13 de janeiro de 2025;Excepcional;;;10;;
12 de janeiro de 2025;Excepcional;;;10;;
8 de janeiro de 2025;Muito bom;;;8;;
5 de janeiro de 2025;Muito bom;;;8;;
4 de janeiro de 2025;Muito bom;;;8;;
3 de janeiro de 2025;Fantástico;;;9;;
2 de janeiro de 2025;Muito bom;;;8;;
2 de janeiro de 2025;Excepcional;;;10;;
2 de janeiro de 2025;Fantástico;;;9;;
2 de janeiro de 2025;Muito bom;;;8;;
30 de dezembro de 2024;Excepcional;;;10;;
23 de dezembro de 2024;Muito bom;;;8;;
19 de dezembro de 2024;Fantástico;;;9;;
17 de dezembro de 2024;Muito bom;;;8;;
17 de dezembro de 2024;Muito bom;;;8;;
11 de dezembro de 2024;Decepcionante;;;4;;
6 de dezembro de 2024;Muito bom;;;8;;
3 de dezembro de 2024;Excepcional;;;10;;
2 de dezembro de 2024;Excepcional;;;10;;
29 de novembro de 2024;Decepcionante;;;4;;
29 de novembro de 2024;Muito bom;;;8;;
25 de novembro de 2024;Excepcional;;;10;;
25 de novembro de 2024;Excepcional;;;10;;
24 de novembro de 2024;Muito bom;;;8;;
20 de novembro de 2024;Excepcional;;;10;;
19 de novembro de 2024;Fantástico;;;9;;
18 de novembro de 2024;Excepcional;;;10;;
14 de novembro de 2024;Fantástico;;;9;;
11 de novembro de 2024;Excepcional;;;10;;
10 de novembro de 2024;Muito bom;;;8;;
8 de novembro de 2024;Muito bom;;;8;;
7 de novembro de 2024;Muito bom;;;8;;
4 de novembro de 2024;Muito bom;;;8;;
3 de novembro de 2024;Ruim;;;3;;
27 de outubro de 2024;Péssimo;;;1;;
25 de outubro de 2024;Fantástico;;;9;;
22 de outubro de 2024;Excepcional;;;10;;
22 de outubro de 2024;Muito bom;;;8;;
22 de outubro de 2024;Excepcional;;;10;;
22 de outubro de 2024;Decepcionante;;;4;;
16 de outubro de 2024;Péssimo;;;1;;
15 de outubro de 2024;Excepcional;;;10;;
15 de outubro de 2024;Muito bom;;;8;;
12 de outubro de 2024;Muito bom;;;8;;
12 de outubro de 2024;Excepcional;;;10;;
10 de outubro de 2024;Excepcional;;;10;;
7 de outubro de 2024;Excepcional;;;10;;
5 de outubro de 2024;Muito bom;;;8;;
4 de outubro de 2024;Excepcional;;;10;;
27 de setembro de 2024;Decepcionante;;;4;;
26 de setembro de 2024;Excepcional;;;10;;
24 de setembro de 2024;Péssimo;;;1;;
24 de setembro de 2024;Muito bom;;;8;;
19 de setembro de 2024;Muito ruim;;;2;;
16 de setembro de 2024;Muito bom;;;8;;
7 de setembro de 2024;Excepcional;;;10;;
29 de agosto de 2024;Muito ruim;;;2;;
28 de agosto de 2024;Muito bom;;;8;;
9 de agosto de 2024;Ruim;;;3;;
3 de agosto de 2024;Muito bom;;;8;;
1º de agosto de 2024;Excepcional;;;10;;
30 de julho de 2024;Excepcional;;;10;;
16 de julho de 2024;Decepcionante;;;4;;
15 de julho de 2024;Péssimo;;;1;;
3 de julho de 2024;Decepcionante;;;4;;
2 de julho de 2024;Excepcional;;;10;;
21 de agosto de 2024;Satisfatório;;;6;;
15 de fevereiro de 2025;Péssimo;;;1;;
24 de junho de 2024;Muito bom;;;8;;
