data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;
13 de novembro de 2023;Gostaria de mais informações turísticas;Ótimo custo benefício. A roupa de cama bem desgastada, inclusive com furo, porém super limpa. Colchão semiortopédico, o que eu gosto muito. Banheiro super limpo e chuveiro excelente. Boa pressão e quentinho. O frigobar e ar condicionado também funcionam muito bem. Bastante comércio ao redor, lanchonete, farmácia. Distância de 12 minutos do aeroporto. Duas quadras da praia.;Na hora da reserva eu solicitei duas camas de solteiro e na primeira noite, que cheguei cansada do voo, de madrugada, tivemos que dormir em cama de casal. No dia seguinte nos transferiram de quarto, mas foi um transtorno, porque tivemos que arrumar as malas , descer escada e deixar a bagagem na recepção aguardando o quarto com duas camas desocupar. Percebi que o Hotel recebe mais hóspedes em viagem a trabalho. A pilha do controle da TV estava fraca e foi difícil mudar de canal e ligar/desligar. Também achei que as informações turísticas foram fracas.;8;;;;;;;
12 de novembro de 2023;Muito bom;Localização e custo benefício;O chuveiro não esquentava...;8;;;;;;;
11 de novembro de 2023;Muito bom;Café da manhã é bem servido.;O primeiro andar é muito ruim. Os quartos são pequenos e dá pra ouvir todo barulho da portaria. Pedi pra trocar e no terceiro andar era melhor.;8;;;;;;;
10 de novembro de 2023;Fantástico;Da cortesia demonstrada pelos atendentes e da localização. ;;;;;;;;;
Eu me hospedaria lá novamente;" sim.""";Senti falta de um secador de cabelos.;9;;;;;;;;
9 de novembro de 2023;Muito bom;Excelente custo-benefício!;;8;;;;;;;
8 de novembro de 2023;Muito bom;A localização é boa, fica a uns 5 minutos andando da praia de boa viagem.;O cafe da manhã não possui muitas opções, é bem limitado. Também não tem elevador, somente escadas;8;;;;;;;
8 de novembro de 2023;Nada mal;Boa localização e café da manhã, simples, mas muito bem feito!;O quarto não ter nenhuma vista, mas compreensível por se tratar de andar térreo.;9;;;;;;;
8 de novembro de 2023;Noite de sono tranquila, boa localização!;O café da manhã e limpeza, boa localização para mim, mercado, salão de beleza, padaria, restaurantes e praia, próximos;Não tinha toalhas e lençóis no quarto, precisei pedir, achei a porta do quarto frágil, parece que já quebrou antes.;8;;;;;;;
7 de novembro de 2023;Bom;Localização;Instalações e conforto;7;;;;;;;
6 de novembro de 2023;Fantástico;Localização boa. Rua paralela a avenida da praia de Boa Viagem. Durante o dia é uma rua comercial, mas a noite tudo fica fechado ou fecha muito cedo (o que torna a rua deserta e esquisita para quem transita a pé). A noite necessitei de adquiri uma medicação e só encontrei farmácia aberta a cerca de 1km do hotel. O café da manhã muito variado com comidas tipicamente nordestinas (cuscuz, macaxeira, inhame, munguzá, etc);Da ausência de acústica nos quartos, o que favorece a audição de todo o barulho do corredor e a ausência de um estacionamento mais seguro.;9;;;;;;;
5 de novembro de 2023;Muito bom;Bem localizado, quartos limpos e café da manhã agradável, mas da outra vez que me hospedei o café estava melhor. Funcionários educados.;Da vedação do quarto que fiquei. Havia muito barulho de conversa no hall da entrada e como há quartos perto desse hall, atrapalhou um pouco o descanso, mas após às 22h estava tranquilo.;8;;;;;;;
5 de novembro de 2023;Muito bom;Hotel é simples, mas tudo funciona bem! Preço justo! Vale o custo-benefício.;;8;;;;;;;
5 de novembro de 2023;Muito bom;Gostei do tratamento dos funcionários e da limpeza;O café da manhã precisa ser mais diversificado;8;;;;;;;
3 de novembro de 2023;Vale a pena!;Quarto espaçoso.;Hotel em reforma.;8;;;;;;;
2 de novembro de 2023;Muito bom;Localização. Fica a poucos metros da praia de boa viagem. Gostei tb do café da manhã. Já me hospedei nesse hotel outras vezes e voltarei novamente em razão do custo-benefício.;;8;;;;;;;
1º de novembro de 2023;Estadia Excelente;localização, atendimento, instalações;;8;;;;;;;
31 de outubro de 2023;Bom;Sim.;No quarto nao foi colocado toalha e lençol suficiente.;7;;;;;;;
30 de outubro de 2023;Foi uma viagem rápida e o hotel atendeu muito bem minha expectativa.;café da manhã foi bom para o padrão do hotel e a localização bem acessível de fácil localização.;o ponto negativo é que o hotel não tem estacionamento.;9;;;;;;;
30 de outubro de 2023;Hospedagem confortável e incrível!;Localização excelente, limpeza impecável, acessibilidade, internet e café da manhã maravilhoso. Tive que chegar cedo no hotel, guardaram as bagagens enquanto passeava e ainda pude aguardar na recepção uns minutinhos, tudo muito confortável. Irei me hospedar lá novamente em breve.;Apenas do número de tomadas no quarto que é reduzido, no quarto para 4 pessoas tinham apenas 2 tomadas no quarto e uma no banheiro. Deviam colocar mais tomadas próximo as camas. Porém , isso são apenas detalhes. No mais, tudo perfeito!;9;;;;;;;
28 de outubro de 2023;Boa localização;Simplicidade do check in e localização;O acesso aos quartos é feito por escada e o estacionamento é em frente ao hotel.;8;;;;;;;
28 de outubro de 2023;Muito boa;Localização ;;;;;;;;;
Limpeza;;;;;;;;;;;
"Acomodação""";Cheiro forte de cigarro nos corredores;9;;;;;;;;;
26 de outubro de 2023;Boa localização;Quarto confortável;É meio confuso. Estava em obra, sem elevador;7;;;;;;;
26 de outubro de 2023;Hospedagem muito tranquila! Fácil acesso para qualquer passeio!;Pessoal prestativo e cordial! Café da manhã bom e localização boa!;;8;;;;;;;
25 de outubro de 2023;Bom;Boa localização e quarto bem confortável;Café da manhã começa muito tarde, 7h. Tivemos que comprar coisas para comer para dar tempo de ir parar os passeios na hora :/;7;;;;;;;
24 de outubro de 2023;Muito bom;Localização e a limpeza.;Café da manhã era bom, já foi bem melhor.;8;;;;;;;
23 de outubro de 2023;Muito bom o custo benefício.;Flexibilidade no check-in e check-out, dentro das possibilidades convesardas com a administração. ;;;;;;;;;
O quarto excelente (limpeza; tamanho; iluminação).;;;;;;;;;
"Boa localização.""";Café da manhã poderia ofercer mais opções.;9;;;;;;;;;
22 de outubro de 2023;Boa.;;A roupa de cama do hotel deixou a desejar.;7;;;;;;;
22 de outubro de 2023;Fantástico;Bom lugar;Estava tudo bem;9;;;;;;;
19 de outubro de 2023;Bom;O Hotel tem bom custo benefício!;O ar refrigerado estava vazando água, foi preciso chamar o funcionário para arrumar.;7;;;;;;;
18 de outubro de 2023;Bom, mas poderia melhorar;Localização, funcionários muito prestativos, vagas de estacionamento para carro.;Café da manhã simples com poucas opções, cama um pouco dura e o quarto estava com areia por todos cantos.;7;;;;;;;
16 de outubro de 2023;Muito bom;Localização e custo-benefício;.;8;;;;;;;
16 de outubro de 2023;Acho que tem um bom custo-benefício, principalmente para que viaja sozinho pq s cama é pequena.;Cafe da manhã e localização mto boas.;Nao tem elevador, cama mto pequena.;7;;;;;;;
15 de outubro de 2023;Muito bom;Ótima localização.;;8;;;;;;;
10 de outubro de 2023;Fantástico;Colchão excelente, ar condicionado perfeito. Chuveiro impecável. Proximo de vários pontos de interesse.;;9;;;;;;;
9 de outubro de 2023;Custo benefício bom;A localização é boa, próximo de shopping, praia do pina, vizinho a padaria e restaurante.;;;;;;;;;
"Razoável café da manhã.""";Local para estacionamento, deficitário.;7;;;;;;;;;
9 de outubro de 2023;O lugar é simplesmente maravilhoso, sempre que posso vou a Recife e meu aconchego favorito é o Uzi M;O atendimento é perfeito, os colaboradores excelentes;;8;;;;;;;
8 de outubro de 2023;Atendeu as expectativas com ressalvas;Gostamos do excelente atendimento dos funcionários, sempre dispostos a ajudar.;Não gostamos da iluminação do quarto, principalmente próximo ao banheiro, faltou também um espelho maior e o chuveiro, que ficava pingando após fechado, houve a troca, porém não mudou muito a condição. No primeiro dia não foi feita a limpeza solicitada no quarto, mas nos demais isso foi corrigido. Diante do todo o Hotel atendeu as expectativas, porém poderia melhorar nesses pontos acima.;8;;;;;;;
2 de outubro de 2023;Bom;;O estabelecimento não dispõe de estacionamento para o cliente.;;;;;;;;
"Essa condição deveria está mais explícito na página da Booking.""";7;;;;;;;;;;
1º de outubro de 2023;A localização foi perfeita,com certeza voltarei.;O apartamento ser de frente para o mar, com tudo perto,e o quarto ser bastante confortável;Gostei de tudo;9;;;;;;;
28 de setembro de 2023;Fantástico;Meu quarto deu problema no ar condicionado, vazou agua e logo nos mudaram para outro, superior inclusive, sem custos;Falta funcionários homens pra ajudar com as bagagens pois tem escadas;9;;;;;;;
25 de setembro de 2023;Atendeu às expectativas. O hotel tem um ótimo custo benefício.;O café da manhã estava bem diverso e saboroso. Amei a localização, próximo à uma padaria que serve do café da manhã até jantar e muito perto da praia. Fomos muito bem atendidos, inclusive conseguimos guardar nossas malas na recepção antes e depois devido nossos horários de chegada e saída e conseguimos antecipar o checkin. Amei!;Poderia ter um espelho na área do quarto e tapetes na saída do banheiro para o quarto.;8;;;;;;;
23 de setembro de 2023;Ótimo para deitar e dormir, baixo para ficar relaxando.;O quarto é silencioso e o chuveiro é muito bom poder configurar o calor da água;O café da manhã não é bom,;;;;;;;;
A cama é dura;;;;;;;;;;;
"Não tinha lençol do tamanho da cama somente individual (sendo que era um quarto de cama de casal)""";7;;;;;;;;;;
23 de setembro de 2023;Muito bom;"Acomodações simples, mas tranquilas para quem quer descansar após um dia bem aproveitado ""turistando"".";;;;;;;;;
O café da manhã muito bom;" ponto importante para nós.""";Na relação custo benefício, tudo foi muito bom.;8;;;;;;;;
21 de setembro de 2023;Bom, com potencial para melhorar;Localização excelente. Bom café da manhã (poderia melhorar colocando iogurte e tapioca). Funcionários dedicados. Tarifas adequadas;Quarto muito escuro, sem contato com o exterior;8;;;;;;;
21 de setembro de 2023;Muito bom;De tudo;A cama, dura.;8;;;;;;;
19 de setembro de 2023;Mais ou menos. Qualidade dos travesseiros desgraçou minha experiência.;Localização é o grande diferencial para se hospedar neste local. A equipe é ok. O senhor que fica à noite é uma simpatia em pessoa.;Não consigo entender que mesmo depois de tantas avaliações negativas informando sobre a qualidade dos travesseiros até hoje ninguém tomou nenhuma providência. Os travesseiros não são ruins, são horríveis. Preferiram gastar mais deixando uma cadeira Tramontina no quarto, do que investir em bons travesseiros pra garantir o conforto dos hóspedes.;7;;;;;;;
19 de setembro de 2023;Recomendo. Ótimo custo benefício.;Custo benefício adequado. Wi-fi gratuito de acordo. Recomendo.;;8;;;;;;;
19 de setembro de 2023;Muito boa;Gostei da localização.;;;;;;;;;
Cordialidade.;;;;;;;;;;;
"Deixo como. Melhora os lençóis e toalhas. Poderia ter toalha de rosto. Mas assim q solicitei me ofereceram. Pessoal da higienização muito prestativo""";;9;;;;;;;;;
19 de setembro de 2023;Muito bom;Localização, ótimo café da manha;Falta de cobertor , falta de tomadas no quarto;8;;;;;;;
18 de setembro de 2023;Bom;;A internet ruim. Poderiam disponibilizar mantas para quem deseje.;7;;;;;;;
17 de setembro de 2023;ótimo custo benefício;Tudo muito limpo e novinho.;dá para ouvir bastante dentro dos quartos os barulhos dos corredores. Nada que incomode.;8;;;;;;;
17 de setembro de 2023;Muito bom;Limpeza organização café .;;8;;;;;;;
15 de setembro de 2023;Muito bom;Café da manhã bom e o hotel tem uma boa localização.;O quarto que ficamos era um pouco apertado, mas atendeu bem às necessidades.;8;;;;;;;
14 de setembro de 2023;Bom;Limpeza,conforto.Atendimento.;Barulho no corredor, quando estão limpando os quartos vazios, falam muito alto no corredor e bate demais nas coisas, as tardes tentava descansar mas o barulho não deixava.;7;;;;;;;
12 de setembro de 2023;Muito bom;Custo benefício;;8;;;;;;;
12 de setembro de 2023;Bom;Só o atendimento;O quarto minúsculo, a cama pequena mal cabe um casal, sem conforto. Quartos colados, fui acionada por barulhos onde não havia qualquer barulho, apenas um casal normal fazendo amor, sem gritarias mais até o sussurro foi parar como reclamação na recepção, não voltarei. O quarto sem qualquer conforto, tudo muito antigo sem manutenção, frigobar sujo, tipo muito tempo sem limoar;7;;;;;;;
12 de setembro de 2023;Bom;Boa localização, funcionários prestativos. Café da manhã simples mas bem feito.;O ar condicionado fazia muito barulho, o chuveiro ou era quente demais ou frio demais, difícil de regular. Lençol muito fino.;7;;;;;;;
11 de setembro de 2023;Hotel muito simples.;Localização, limpeza.;Recepção não muito acolhedora, hotel mais bonito nas fotos, tomada apenas próximo a mesa de apoio, longe da cabeceira das camas.;7;;;;;;;
10 de setembro de 2023;Feriado de 07 de setembro no Recife;Localização, atendimento,;O café da manhã poderia ter mais opções.;8;;;;;;;
10 de setembro de 2023;Apenas para dormir;Os funcionários são muito atenciosos e educados.;O hotel não faz jus ao preço pago. Cama de cimento e pequena. Não tem edredom. Banheiro pequeno. Barulho excessivo nos corredores logo cedo. Se for apenas para dormir como meu caso talvez ainda faça sentido, mas para períodos maiores infelizmente eu verificaria outras opções.;8;;;;;;;
8 de setembro de 2023;Fantástico;Checkin e checkout rápidos, café da manhã com um cuscuz e escondidinho maravilhosos, fiquei apenas uma noite. Bem próximo à praia de boa viagem.;Senti falta de um edredom;9;;;;;;;
5 de setembro de 2023;Bom;A hospitalidade dos funcionários é muito boa e o café da manhã é bom. Quartos limpos;A acústica dos quartos é muito ruim e poucas tomadas.;7;;;;;;;
4 de setembro de 2023;Bom;Café da manhã muito bom e bem servido!;Faltou um espelho no quarto, tinha apenas o do banheiro!;7;;;;;;;
1º de setembro de 2023;Fantástico;Instalações, café e limpeza.;Faltou tomada na cabeceira ou lado da cama, principalmente no 203;9;;;;;;;
25 de agosto de 2023;Fantástico;Hotel tem uma Boa localização, oferece café da manhã compatível, tem um bom Atendimento. Quartos bons, ar funcionando e silêncio!!!;Solicitei a Nota Fiscal por e-mail e não fui atendido.;9;;;;;;;
22 de agosto de 2023;Fantástico;Localização e estrutura.;Poderia ter elevador e os corredores ser mais silenciosos.;9;;;;;;;
19 de agosto de 2023;Fantástico;DO ATENDIMENTO DA MARCELA RECEPÇÄO e DAS MENINAS DA COZINHA;;9;;;;;;;
16 de agosto de 2023;Muito bom;Café da manhã muito gostoso;;;;;;;;;
Quarto pequeno;" mas cama confortável""";;8;;;;;;;;
14 de agosto de 2023;Foi boa.;Local limpinho;Ar condicionado vazava agua, água no chuveiro era muito fraca;7;;;;;;;
13 de agosto de 2023;Bom custo benefício.;Quarto amplo, ducha forte, espaço para trabalho, ar condicionado funcionando perfeitamente. Os colaboradores simpáticos e prestativos. Café da manhã saboroso e com variedades. Há restaurantes, lanchonetes e padaria nas redondezas.;A sinalização para localizar os quartos e a rota de saída é um pouco confusa. Melhoras na acústica do quarto poderiam proporcionar mais conforto pois era possível ouvir a movimentação do corredor, abertura das portas e conversas.;8;;;;;;;
10 de agosto de 2023;Acomodação dentro dos padrões para o esperado;A localização é perfeita, os quartos são bem novos, limpos e organizados. As camas são confortáveis, o banheiro é espaçoso e o chuveiro tem uma ducha excelente. Os funcionários nos acolheram muito bem!;Pouquíssimas coisas me desgostaram, mas uma delas foi a acústica do ambiente, dava para ouvir as pessoas conversando pelos corredores, o som alto do quarto vizinho também incomodou um pouco. Mas, não eram tão constantes, então não fez para mim uma experiência ruim nessa hospedagem.;9;;;;;;;
10 de agosto de 2023;Fantástico;Localização muito boa, equipe bem atenciosa.;;9;;;;;;;
6 de agosto de 2023;Boa;Hospedagem boa, bem localizada e atendimento bom;Wi-Fi não estava funcionando no meu quarto;8;;;;;;;
6 de agosto de 2023;Localização com bom custo-benefício;A localização e o café da manhã são ótimos, mas poderia ficar aberto por mais tempo.;Os chuveiros, travesseiros, lençóis poderiam ser mais confortáveis e o quarto é um pouco escuro.;8;;;;;;;
4 de agosto de 2023;Muito bom;A localização, 10 min do aeroporto, atars da rua da praia , tudo é bem si.pels porém limpo e funcional, ótimo custo benefício para quem está a trabalho e quer uma hospedagem simples porém limpa .;;8;;;;;;;
3 de agosto de 2023;Muito bom;O atendimento foi muito bom e os quartos também são bem espaçosos e limpos;O café da manha poderia melhorar pois tem poucas opções de alimentos. O hotel também não possui uma boa acústica nos quartos e quando as pessoas passam nos corredores conversando a sensação e que estão dentro do quarto.;8;;;;;;;
19 de julho de 2023;Bom;Café da manhã, atendimento, guardaram nossas malas durante um turno, localização;Travesseiros, colchão e barulho a noite;7;;;;;;;
19 de julho de 2023;Muito bom;Tem um bom custo X benefício. Bem localizado e de fácil acesso.;O café da manhã é pouco variado, mas saboroso.;;;;;;;;
Das três camas que usamos; apenas uma tinha um colchão confortável;" as demais eram duras.""";8;;;;;;;;
18 de julho de 2023;Fantástico;Gostei muito da limpeza, da disponibilidade dos recepcionistas e da locslizacao;;9;;;;;;;
16 de julho de 2023;Muito bom;Localização, custo benefício;De uma funcionária, Cecília,foi grossa,com respostas ríspida,os outros muito atenciosa;8;;;;;;;
11 de julho de 2023;Muito boa.;Ótima localização, bom hotel, funcionários atenciosos.;;9;;;;;;;
4 de julho de 2023;Muito bom;;Café ótimo local excelente;8;;;;;;;
17 de junho de 2023;Bacana;Ótima localização, muito próximo das praias e comércios, funcionários receptivos bom custo benefício.;Tomadas apenas no 220w;8;;;;;;;
7 de junho de 2023;Viagem foi muito agradável e a relação custo benefício compensa.;A localização é excelente, pertinho de tudo no bairro.;Café da manhã. O pãozinho servido era muito duro e pequeno e não tinha variação de cardápio.;;;;;;;;
"O travesseiro era péssimo.""";7;;;;;;;;;;
4 de junho de 2023;Pode melhorar ainda mais.;Hotel bom em local excelente. Ótimo custo benefício.;Um hotel é um pouco barulhento. Os funcionários fazem bastante barulho durante à arrumação. Esqueci de comunicar que ia dormir até tarde e a funcionária me acordou batendo na porta com bastante força. São críticas para melhorar o atendimento e estadia dos hóspedes.;8;;;;;;;
3 de junho de 2023;voltarei;excelente. variado.;;9;;;;;;;
29 de maio de 2023;Não deveriam oferecer o quarto econômico, e péssimo;Dos funcionários;Do primeiro quarto, pois não sabia que o econômico era tão ruim, pedi para trocar de quarto, e fui para um bem melhor;7;;;;;;;
28 de maio de 2023;Muito boa;Localizacao;Cafe da manha;8;;;;;;;
27 de maio de 2023;Muito bom;Localização;;8;;;;;;;
26 de maio de 2023;local agradável e acolhedor;espaço chuveiro bem quente;travesseiros ruim ;;;;;;;;
"falta espelho no quarto""";9;;;;;;;;;;
25 de maio de 2023;Muito bom;Higiene, acomodacao, atendimento e custo-beneficio. Atendimento tambem excelente;Falta opcao para realizar atividade fisica;8;;;;;;;
23 de maio de 2023;Localização boa, acomodação boa.;Gostei da acomodação do geral. Próximo a padarias e mercados e bem localizado.;Acredito que o café da manhã poderia ter mais diversidade. O café é bem simples e tem poucas opções.;8;;;;;;;
23 de maio de 2023;Bom;Localização, limpeza, funcionários atenciosos.;Iluminação do banheiro, água não esquenta muito, na segunda feira o café da manhã de proteína só tinga ovos e salsicha ( salsicha o pior alimento do mundo);7;;;;;;;
22 de maio de 2023;Pra quem busca uma estadia rápida e eficaz esse é o hotel!;Funcionários maravilhosos e dispostos a atender a todo momento.;Café da manhã com pouca opção e cheiro de cigarro no corredor do hotel.;9;;;;;;;
22 de maio de 2023;Fantástico;O hotel é simples, limpo e tem um bom café da manhã. Boa localização. Excelente custo-benefício;;9;;;;;;;
22 de maio de 2023;Gostei bastante, boa localização e boa limpeza.;Localização e o chuveiro eram perfeitos.;Achei um pouco fraco o café da manhã;9;;;;;;;
22 de maio de 2023;Bom custo beneficio.;o café estava exelente, bem localizado apesar dos preços de alimentação na região, só faltou um jantar no proprio hotel.;Ar condicionado, sem manutenção e barulho.;9;;;;;;;
19 de maio de 2023;Hotel básico, mas vale pelo que se paga.;Atendimento dos funcionários, limpeza.;O café da manhã poderia ser melhorado, mas atende a uma refeição inicial pra começar o dia.;9;;;;;;;
16 de maio de 2023;muita boa;Café da manha excelente, ;;;;;;;;;
"localização excelente""";Escadas;8;;;;;;;;;
14 de maio de 2023;Muito bom.;Quarto bem limpo e cheiroso, tudo conforme o anunciado.;A cama poderia ser um pouco mais macia, porem isso não seria um empecilho ficaria novamente no hotel.;9;;;;;;;
13 de maio de 2023;Muito bom;Café da manhã;;8;;;;;;;
10 de maio de 2023;Bom;localização e atendimento;;7;;;;;;;
8 de maio de 2023;Muito bom;A localização é muito boa, 10 min ou menos do Marco Zero indo de Uber, e mais ou menos o mesmo tempo do aeroporto. A praia fica muito próxima, virou a direita andou um pouco chegou. Instalações limpas e atendimento excelente. Café da manhã delicioso!;;8;;;;;;;
5 de maio de 2023;Observando detalhes;O apto que fiquei foi muito confortável, banheiro excelente, o ar condicionado funcionando perfeitamente.;Poderia melhorar os recepcionistas, tem alguns que parecem estressados.;9;;;;;;;
5 de maio de 2023;Bom;Localização e estacionanento grátis.;Café da manhã.;7;;;;;;;
1º de maio de 2023;Muito bom;muito boa;faltou café da manhã e não tem nada próximo;8;;;;;;;
30 de abril de 2023;Bom;Localização tranquila atendendo as minhas necessidades;;7;;;;;;;
27 de abril de 2023;Boa...;Tudo muito bom..;O horário do café da manhã e muito curto , e começa tarde ...deveria ser de 06:00hs as 10:00hs - o horário que eles aplicam e de 07:00hs as 09:30hs;9;;;;;;;
27 de abril de 2023;Muito bom;localização ótima;;8;;;;;;;
25 de abril de 2023;Bom custo benefício;Café da manhã muito bom. Comida saborosa. Ótima localização.;Sem elevador. Quartos sem proteção acústica nenhuma.;9;;;;;;;
23 de abril de 2023;Feriado de Tiradentes no Recife;A localização. Perto da praia de Boa Viagem, de supermercado, de restaurantes, de padarias, etc;O colchão achei duro e os travesseiros eram muito baixo.;8;;;;;;;
23 de abril de 2023;Recomendo pelo custo beneficio;Recomendo para viagens a lazer onde o hotel será apenas um apoio para banho e dormida, como também a trabalho. Ótima localização, equipe muito simpática e resolutiva. O hotel só possui escadas, então não seria recomendado para quem necessita de acessibilidade. Café da manhã razoável. Voltaria.;Não ter elevador.;8;;;;;;;
23 de abril de 2023;Bom;Organização e limpeza do local, e forma de pagamento no ato da hospedagem.;Faltou apenas um ponto , avisar limite de volume da tv e barulhos nos aptos após às 22hs . No primeiro dia demorei pegar no sono, devido um dos meus vizinhos está com barulhos e tv com volume alto isso já pós 22:20h .;7;;;;;;;
22 de abril de 2023;Bom atendimento.;Gostei dos funcionários. Principalmente a funcionária Cecilia.;;9;;;;;;;
21 de abril de 2023;Bom;Atendimento!;Quarto não era tão espaçoso, e éramos 2 e deixaram apenas 1 toalha e 1 lençol para nós. Sentimos falta dessa atenção, considerando que era um casal.;7;;;;;;;
20 de abril de 2023;Regular. Bom custo-benefício!;A localização e o café da manhã foram bons. O quarto é regular, mas pelo preço, a relação custo-benefício é boa. Apesar de pequeno, o quarto e o banheiro são funcionais.;O tamanho do quarto e alguns detalhes como rachaduras na parede. Fatores que não influenciam na estadia. Iria novamente.;9;;;;;;;
20 de abril de 2023;Fantástico;O hotel é de fácil localização, os quartos são bons, muito bem limpos e organizados, o café da manhã é gostoso, só não achei super completo mas pelo preço que paguei é ótimo.;;9;;;;;;;
19 de abril de 2023;Muito bom;O hotel era bem localizado, próximo a padaria, restaurantes e praia. Tudo estava muito limpo, o chuveiro era bem forte, a cama era confortável, o ar condicionado era forte e não fazia barulho. Os funcionários foram prestativos e o café da manhã era satisfatório.;Não teve algo que eu não gostei, apenas poderia ter um espelho maior no quarto.;8;;;;;;;
19 de abril de 2023;Fantástico;Café da manhã ótimo todos muito simpático...e atencioso da recepção....gostei muito ......;;9;;;;;;;
17 de abril de 2023;valeu pelo custo x benefício mas não voltaria;localização;quarto precisa de reforma ;;;;;;;;
banheiro tb ;;;;;;;;;;;
"café da manhã sem muitas opções.""";7;;;;;;;;;;
16 de abril de 2023;Bom;Bom;Do quarto;7;;;;;;;
16 de abril de 2023;Hotel Uzi Mar;A refeição é simples, porém muito boa!;tamanho do quarto que é muito pequeno. baixa iluminação.;7;;;;;;;
16 de abril de 2023;Bem localizada e em paz.;Pertinho da praia.;Nada a declarar.;8;;;;;;;
15 de abril de 2023;Apesar do bom preço e da ótima localização, não tem conforto e o café da manhã deixa a desejar.;A localização é, sem dúvida, o ponto alto da estadia. Localizado bem perto da praia de Boa Viagem(não precisa usar carro), é próximo também a padaria, bares e restaurantes. Fica a poucos minutos do Recife antigo e de fácil acesso para o aeroporto. Outro ponto positivo é a existência de garagem coberta.;O café da manhã é bem básico, os alimentos não possuem uma boa apresentação e parecem ser do dia anterior. Se você é uma pessoa que prioriza um bom café da manhã, este não é o lugar. O quarto é pequeno e a cama de alvenaria. O banheiro não tem box completo e a pia é bem pequena.;7;;;;;;;
12 de abril de 2023;Muito bom;Limpeza e localização;O café da manhã bem Pouca opção.;8;;;;;;;
10 de abril de 2023;Muito bom;Bem localizado.;Não tem restaurante.;8;;;;;;;
5 de abril de 2023;Bom custo beneficio.;Bom café da manhã, bom custo beneficio, funcionários sempre dispostos em ajudar.;;7;;;;;;;
4 de abril de 2023;Muito bom;Tudo;;8;;;;;;;
3 de abril de 2023;Muito bom;funcionários muito prestativos. excelente localização. café da manhã muito bom.;cama um pouco desconfortável, muito barulho a noite, talvez da parte de fora do ar condicionado ou algo no telhado, no mais estava bom.;8;;;;;;;
1º de abril de 2023;Perfeito!;Ótimo;Tudo perfeito!;8;;;;;;;
31 de março de 2023;Boa;Localização! Custo beneficio.;Reservei 03 quartos para 4 adultos e 2 crianças, porém o terceiro quarto era horrível. pequeno e as escadas que incomodavam pq tinha idosos.;8;;;;;;;
31 de março de 2023;Razoável;Funcionários desatentos. Ausentes na portaria. Tem chamar e demoram pra atender.;Porta de entrada n há livre acesso. Demoram pra atender. Durante tida hospedagem tínhamos que solicitar o número de toalhas não eram em número aos dois hóspedes. Consideraram um. Tá;7;;;;;;;
30 de março de 2023;Bom;;cama desconfortável e chuveiro sem box;7;;;;;;;
30 de março de 2023;Bom;Localização, custo X benefício.;O quarto que fiquei muito pequeno, também melhorar as opções de canais da TV.;7;;;;;;;
29 de março de 2023;Bom;Funcionários;Tudo satisfatório;7;;;;;;;
28 de março de 2023;Muito bom;Localização e custo beneficio;Só da falta de opção para jantar no hotel mesmo.;8;;;;;;;
28 de março de 2023;Localização, café e atendimento. Praticidade e agilidade.;Atendimento, localização, acessibilidade e café muito bom.;Não há o que dizer sobre esse quesito.;9;;;;;;;
28 de março de 2023;Hotel confortável e bem localizado;"A organização do hotel é muito boa, o quarto é espaçoso e confortável, ara condicionado e água quente pra ligar e usar, sem precisar de ""jeitinho"" pra funcionar do modo certo, excelente localização em Boa Viagem, de fácil acesso e saída.";;8;;;;;;;
28 de março de 2023;Muito bom;CAFÉ DA MANHÇÃ BEM COMPLETO, TUDO MUITO SABOROSO!;;8;;;;;;;
26 de março de 2023;ótima;café da manhã;teve um barulho na madrugada, porém hospedem fora de si.;9;;;;;;;
23 de março de 2023;Fantástico;café da manha muito bom.;sem reclamações.;9;;;;;;;
23 de março de 2023;Fantástico;Quarto confortável, hotel ok.;;9;;;;;;;
23 de março de 2023;Fantástico;A limpeza dos quartos é perfeita. Ótima localização. Funcionários atenciosos.;O quarto estava com uma lâmpada queimada, não havia tomadas perto da cama.;9;;;;;;;
23 de março de 2023;boa relação custo benefício;Poderia colocar mais opções no café da manhã, tanto frutas como demais itens.;;8;;;;;;;
21 de março de 2023;Custo Benefício;Localização;Café da manhã;7;;;;;;;
20 de março de 2023;Fantástico;Hotel dentro do esperado. ;;;;;;;;;
Bem localizado em boa viagem. Funcionários Educados; mas não muito simpáticos. ;;;;;;;;;;
Café da manha bom; um bom custo benefício para quem procura algo central com o preço justo para a diária.;;;;;;;;;;
"Tem estacionamento gratuito para hóspedes.""";;9;;;;;;;;;
20 de março de 2023;Muito bom;Dá boa recepção, dá atenção, limpeza, bom café dá manhã;Cama e talvez o regular do chuveiro quente/frio;8;;;;;;;
20 de março de 2023;Bom;Perto do centro, dá pra fazer tudo andando. Funcionários atenciosos, café da manhã supriu as necessidades.;Teve um inseto no quarto que deu uma desanimada, cama bem desconfortável.;7;;;;;;;
19 de março de 2023;Passei uma semana muito agradável.;Excelente localização, a duas quadras da praia. Funcionários bastante atenciosos. Bom café da manhã, com toques regionais e ótimo custo/benefício, com preço bastante justo.;O hotel ainda tem alguns setores em obras, mas isso não causou qualquer transtorno.;8;;;;;;;
17 de março de 2023;Bom;;no café da manhã poderia ter mais frutas.;7;;;;;;;
