data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
3 de março de 2024;Muito bom;Localização, quartos c mobilia e roupa de cama novos. Tudo confortavel;Não ficou claro ao contratar e escolher este hotel no booking sobre pagar a parte o estacionamento e pagar a parte o café da manha por pessoa.;8;;;;
2 de março de 2024;Bom hotel para quem está de passagem no Recife.;Hotel muito bem localizado.;A limpeza do quarto poderia ser melhor.;8;;;;
2 de março de 2024;Excepcional;Assim que chegamos em meia hora liberaram um apt ( antes do meio dia ) , pois, o check in era às 14hs . Almoçamos no restaurante , comida maravilhosa italiana.;;;;;;
Café da manhã com variedades. Camas confortáveis. Localização excelente; perto da orla ; supermercado;" farmácia. Indico 100%""";Não tem !;10;;;
1º de março de 2024;BOA;LOCALIZAÇÃO E LIMPEZA.;O CAFE DA MANHA DEIXA A DESEJAR, FOI O PÃO FRANÇES MAIS DURO QUE COMI NA MINHA VIDA.;8;;;;
29 de fevereiro de 2024;Ótimo custo benefício;Restaurante excelente;Nada;10;;;;
28 de fevereiro de 2024;Recomendo esse hotel se estiver em Recife;Tudo! Do café ao quarto, ótimo atendimento. Voltaria, com certeza;Não gostei de ir embora.;10;;;;
28 de fevereiro de 2024;Ótima!;Tudo muito bom! A equipe do hotel era ótima, a limpeza do quarto também, cama confortável, ar condicionado funcionando perfeitamente, tamanho do quarto bom, café da manhã impecável (com comidas típicas do Nordeste, o que deixou a experiência mil vezes melhor - mas também tinha o tradicional de todas as regiões, o que agradaria qualquer pessoa), o restaurante do hotel muito bom e com preços justíssimos, localização do hotel incrível ao lado do shopping recife e muito perto do aeroporto também.;Apenas um detalhe, que por sorte não estragou nossa estadia, teve um dos dias que eu e minha amiga saímos a tarde toda, e assim ficando livre o quarto para a equipe da limpeza limpar o quarto enquanto estávamos fora, e simplesmente na volta encontramos nosso quarto aberto, a porta precisava de um empurrão a mais para fechar completamente e a equipe de limpeza não viu que não fechou totalmente. Quando chegamos à noite tomamos um susto, nada tinha sido levado ou acontecido, mas demos sorte também que nosso quarto era um quarto isolado e não um quarto onde havia passagem de pessoas, pois talvez a experiência poderia ter sido diferente. Avisamos a recepção e eles deram um toque na equipe e foram super solícitos.;10;;;;
28 de fevereiro de 2024;Limpeza, conforto e funcionários acolhedores.;Praticamente de tudo!;Praticamente de nada.;10;;;;
26 de fevereiro de 2024;Ótima opção para uma estadia central e confortável;Check in agilizado, quarto limpo e confortável,;;;;;;
"funcionários atenciosos. O restaurante que fica dentro do hotel é conveniente e possui bons pratos para almoço. Ponto alto para para o mimo que entregam no check in.""";As paredes dos quartos são dry wall, o que acabou tornando o barulho dos vizinhos um incômodo. O valor do café da manhã não faz jus ao que é oferecido, pouquíssimas opções. Não existe piscina no hotel. Apesar de não ter feito falta, seria um plus na estadia devido ao calor da cidade. Ainda assim, voltaria a me hospedar no hotel.;8;;;;;;
26 de fevereiro de 2024;Excepcional;Tudo;;10;;;;
25 de fevereiro de 2024;Excepcional;Tudo;Nada a reclamar;10;;;;
25 de fevereiro de 2024;Ótimo custo benefício...;Limpeza, cama e roupas de cama, chuveiro, ótimos... café da manhã maravilhoso. Ótimo atendimento e comodidade de ter um restaurante incrível no mesmo prédio.;;9;;;;
25 de fevereiro de 2024;Muito boa!;Atendimento e localização incríveis.;Ar condicionado central e bem antigo. No momento estão cobrando estacionamento com valor de 15 reais por dia.;10;;;;
24 de fevereiro de 2024;Fantástico;Aconchegante, possui um restaurante com uma culinária muito boa, recomendo!;;9;;;;
20 de fevereiro de 2024;Muito bom;Café da manhã bom, equipe muito receptiva;;8;;;;
19 de fevereiro de 2024;Excepcional;Tudo;;10;;;;
19 de fevereiro de 2024;Hotel novo e bem localizado;Hotel novo, o que é raridade em Recife. Limpeza muito bem feita, funcionários simpáticos. Tem um restaurante muito bem frequentado.;O quarto é pequeno, mas suficiente pra um casal. Um dos únicos defeitos do hotel é a acústica do quarto que é muito ruim, tudo que fazem no corredor escutamos.;9;;;;
18 de fevereiro de 2024;Atendeu minhas expectativas e necessidades;Da limpeza;O colchão poderia ser um pouco mais confortável;10;;;;
17 de fevereiro de 2024;Excelente hospedagem com ótimo custo.;O hotel é muito bom! O quarto é amplo e confortável, cama e travesseiros bons, chuveiro execelente. O atendimento é simpático e educado, bem como prestativo. O ambiente é bem decorado e passa um ar de sofitiscação, mas sem luxo ou pretenciosismo. O café da manhã foi excelente!;O frigobar não gelava muito bem, e o AC parece que parou de funcionar no meio da madrugada.;10;;;;
17 de fevereiro de 2024;Muito boa.;O café da manhã é sensacional, um dos melhores que já experimentei. O hotel é muito próximo ao shopping e à praia. Equipe muito atenciosa.;O ar condicionado não ajustava direito, passamos frio todos os dias, mesmo colocando temperaturas altas na configuração. Carece de restaurantes próximos.;9;;;;
16 de fevereiro de 2024;Bom custo benefício;Boa localização;;9;;;;
15 de fevereiro de 2024;Excepcional;Muita atenção por parte dos funcionários;Não tem o q falar, quando tudo é muito bom;10;;;;
14 de fevereiro de 2024;Excepcional;Aconchegante;Aconchegante, funcionário da recepção atencioso;10;;;;
12 de fevereiro de 2024;Muito bom hotel.;Localização, preço e.simpatia de todos os empregados.;Meu banheiro estava vazando no blindex.;;;;;
O estacionamento é pago.;;;;;;;;
O restaurante não faz parte do hotel; todo consumo; exceto café; tem que ser pago à parte e na hora do.consumo.;;;;;
Não tem uma área comum para bate papo;" apesar de.oferecerem uma varanda anexa do restaurante.""";9;;;;;;
9 de fevereiro de 2024;Excepcional;Café da manhã excelente (lembre-se de verificar se você reservou com ou sem café). Chuveiro a gás maravilhoso. Cortina black-out. Quarto muito confortável. Atendimento muito cortês. Recebi alguns mimos (mini bolo de rolo, água e um vale drink do bar - excelente caipirinha);;10;;;;
9 de fevereiro de 2024;Muito bom;Quarto amplo chuveiro bom;Funcionário cordial Sr Vinícius nos atendeu com profissionalismo;9;;;;
8 de fevereiro de 2024;Fantástico;Localização, cordialidade no atendimento, instalações e um excelente restaurante no térreo.;;9;;;;
8 de fevereiro de 2024;Custo benefício ótimos;Localização , atendimento e comodidades ótimas;Um pouco de cheiro de úmido no quarto;10;;;;
6 de fevereiro de 2024;MUITO BOM!;O atendimento dos colaboradores é simplesmente perfeito. Tem um restaurante embaixo do hotel que é incrível. A comida maravilhosa e com preço justo. Não consegui ir no café da manha, mas já marquei outras diárias pra conhecer.;;9;;;;
5 de fevereiro de 2024;Fantástico;Localização e café da manhã;Geladeira do quarto não funcionava direito;9;;;;
5 de fevereiro de 2024;Excepcional;Funcionários atenciosos e cuidadosos. Quarto limpo.;;10;;;;
5 de fevereiro de 2024;Fantástico;Limpeza e layout do quarto.;Camas de solteiro juntas se transformando em cama de casal, e não uma cama de casal de verdade.;9;;;;
5 de fevereiro de 2024;Melhor custo beneficio de recife;Excelente hotel! Amamos o bolo de rolo que ganhamos no check in. Staff super atencioso.;;10;;;;
5 de fevereiro de 2024;Excepcional;Limpeza e conforto da cama e banheiro;;10;;;;
4 de fevereiro de 2024;Muito bom;Café da manhã e cama.;Banheiro pequeno.;10;;;;
2 de fevereiro de 2024;Muito bom;Localização;Café da manhã péssimo ;;;;;
"Pouca variedade""";8;;;;;;;
1º de fevereiro de 2024;Excelente escolha: ótimo atendimento e localização, restaurante sensacional!;Ter me hospedado nesse hotel foi uma grata surpresa. O treinamento que dão aos funcionários parece estar funcionando, porque fomos super bem atendidos. A cama e os travesseiros são muito bons. O restaurante é excelente: iríamos sair pra jantar fora, mas decidimos experimentar o do hotel e não nos arrependemos. Os pratos, o atendimento e os valores bem bons. Parabéns.;Não tenho nada a reclamar, sinceramente. Eu ouvi que vão modernizar os quartos, o que vai melhorar ainda mais a experiência dos hóspedes.;10;;;;
31 de janeiro de 2024;Aceitável;Ótima localização. Ótimo restaurante;Poderia ter um espelho no quarto e uma chaleira elétrica para café. Banheiro precisa de uns ajustes pois a pia estava entupida e os refis de shampoo não estavam funcionando.;8;;;;
31 de janeiro de 2024;Hotel simpático e ambiente acolhedor;Limpeza, simpatia dos funcionários e um café da manhã excepcional. Bem acima da categoria de hotéis com o mesma classificação. A entrega de brindes de boas vindas surpreende a todos.;Banheiro sem aberturas para ventilação. Apresentando alguns pontos de mofo, nada que esteja tão evidente.;9;;;;
30 de janeiro de 2024;Estadia maravilhosa e funcionários excelentes.;Quarto confortável e excelente café da manhã.;;10;;;;
30 de janeiro de 2024;Custo benefício excelente;Atendimento excelente;;10;;;;
30 de janeiro de 2024;Foi muito boa;O banheiro e a cama;Faltou um armário maior;9;;;;
29 de janeiro de 2024;Muito bom;Simpatia e atenção dos funcionários.;Nada;8;;;;
29 de janeiro de 2024;O hotel é incrível.;O hotel é incrível, desde da simpatia dos colaboradores a decoração do hotel, os quartos, café maravilhoso, certamente é minha opção quando estiver em Recife.;O estacionamento é pequeno rotativo por aceitar carros de fora ( não hospedes ) mas nada que incomode ou atrapalhe, tem manobrista 24 h então a comodidade é a mesma.;10;;;;
25 de janeiro de 2024;Bom;O hotel é bem localizado.;O hotel não dispõe de serviços de mensageiro, e nem permite receber comidas diretamente no quarto. Então, se vc pedir alguma comida, tem que descer. O que é inconveniente.;8;;;;
25 de janeiro de 2024;Confortável;Tudo;;10;;;;
25 de janeiro de 2024;Voltaria, com certeza;Limpeza, localização, custo x benefício.;O café da manhã é gostoso, mas os alimentos como ovos mexidos, salsicha, por exemplo, nāo são mantidos suficientemente quentes, talvez porque a temperatura do local seja excessivamente baixa. Senti falta de um espelho no quarto também. De resto, o hotel é excelente.;8;;;;
24 de janeiro de 2024;Muito tranquila;Localização bem boa. Tamanho do quarto bom. Café da manhã ótimo (opcional);Não lembro;8;;;;
24 de janeiro de 2024;Adequada.;Não há nada de que tenha gostado especialmente, O hotel entregou adquadamente o que tinha oferecido.;Pàra quem viaja em horários alternativos (noite e madrugada), não há equipe do hotel para ajudar com as malas.;8;;;;
22 de janeiro de 2024;ótima estadia, conforto e qualidade;conforto e praticidade;o colchão era um pouco mole para minha coluna;10;;;;
22 de janeiro de 2024;Excepcional;Hotel bem agradável, contemporâneo e bem decorado!;;10;;;;
22 de janeiro de 2024;Excelente para quem busca conforto e preço bom;Hotel muito bom. Limpo, localização maravilhosa. TODOS funcionários simpáticos e atenciosos. Amei o café da manhã ! Quarto confortável e moderno ! Recepção super atenciosa e até mimos recebi! Possui um restaurante incrível . Certeza voltarei mais vezes!;;10;;;;
21 de janeiro de 2024;Excepcional;Atendimento;;10;;;;
19 de janeiro de 2024;Fantástico;Atendimento, localização, café da amanhã, funcionários muito atenciosos, restaurante do hotel muito bom. Limpeza ok. Ar-condicionado ótimo. Muito aconchegante;Fomos 2 adultos e uma criança, pedo na reserva, um andar alto e longe de elevador, nos colocaram no térreo e o quarto muito pequeno. Tínhamos outro grupo de amigas em 3 pessoas, ficaram no sétimo andar, quatro muito maior e banheiro tb. No mais vale muito, hotel muito aconchegante;9;;;;
19 de janeiro de 2024;Excepcional;Tudo.;Nada.;10;;;;
17 de janeiro de 2024;Muita boa!;Como sempre, o atendimento, localização e agradável ambiente do restaurante, são as razões por sempre me hospedar no Fity, quando em viagem de trabalho.;Há necessidade de se melhorar os itens de banheiro, em especial, colocar em todos o apoio para sabonete não líquido. Há necessidade, urgente, de se melhorar o entretenimento disponível na televisão;9;;;;
17 de janeiro de 2024;Voltaremos com certeza. Excelente hotel e funcionários muito educados e competentes;Quarto muito limpo e cheiroso.;;10;;;;
16 de janeiro de 2024;Já fiquei várias vezes nesse hotel, recomendo!;Ótimo café da manhã ;;;;;;
Preço justo;;;;;;;;
"Localização""";Banheiro com vazamentos;8;;;;;;
15 de janeiro de 2024;Muito bom;Hotel muito bom !;Valor alto para o padrão!;8;;;;
15 de janeiro de 2024;Ótimo custo benefício, bom atendimento e boas instalações, só precisam melhorar as roupas de cama;Atendimento;Lençóis e roupa de cama;8;;;;
15 de janeiro de 2024;Muito bom;Restaurante excelente.;Receber msn no dia da hospedagem, informando que se eu não respondesse até 16h a reserva seria cancelada, porém não havia essa regra quando fiz a reserva. Enfim, fiz check in normal, vi a msg só depois.;;;;;
;;;;;;;;
"Quarto não havia janela para Ventilação.""";8;;;;;;;
14 de janeiro de 2024;Super indico;Muito bom, perto praia, Shopping e a 12 min aeroporto;;9;;;;
14 de janeiro de 2024;Muito boa;Tudo;Nada;10;;;;
14 de janeiro de 2024;Bom Custo-Beneficio;Local bem limpo, organizado, roupas de cama limpas.;Paredes finas que nos faz escutar o que acontece no quarto ao lado, manta da cama rasgada.;9;;;;
14 de janeiro de 2024;Recomendado;O hotel entrega o que se propõe.;Gostei;8;;;;
14 de janeiro de 2024;Atendimento;De tudo: desde o atendimento do Sr Gabriel, dos manobristas e do café da manhã que é muito bom, com muitas opções.;;9;;;;
13 de janeiro de 2024;Hotel sem acessibilidade na entrada principal;O funcionário da recepção e mto simpático;O ar condicionado do local onde o café é servido é mto frio e pinga no hóspede.;8;;;;
12 de janeiro de 2024;Fantástico;Localização, instalações do quarto, funcionários extremamente atenciosos;Café da manhã pode melhorar;9;;;;
12 de janeiro de 2024;tranquila;Quartos pequenos, mas muito confortáveis. cheirosos. localização boa. excelente para quem vai passar pouco tempo;;10;;;;
12 de janeiro de 2024;Excepcional;Gostei muito, funcionário gentil e atencioso quando chegamos, café da manhã completo, quarto limpo e deram até um mimo de boas vindas!;;10;;;;
10 de janeiro de 2024;Ótimo custo benefício;Custo benefício excelente, café da manhã muito gostoso, tudo cheiroso e confortável;Falta de serviço de quarto;9;;;;
9 de janeiro de 2024;Fantástico;;Falta de uma academia no hotel;9;;;;
8 de janeiro de 2024;OTIMA ESTADIA;LOCALIZAÇÃO, CAFE DA MANHA E CONFORTO DO QUARTO. FALTOU TER AGUA DISPONIVEL NO FRIGOBAR PARA COMPRA, SERVIÇO DE QUARTO E UM ESPELHO DE CORPO INTEIRO. COMO FIQUEI APENAS UM DIA NÃO PREJUDICOU MINHA ESTADIA, MAS SENTI FALTA. O RESTO FOI EXCELENTE. A MOÇA QUE FEZ MEU CHECK-IN FOI MUITO SIMPATICA, OTIMO ATENDIMENTO.;FALTOU TER AGUA DISPONIVEL NO FRIGOBAR PARA COMPRA, SERVIÇO DE QUARTO E UM ESPELHO DE CORPO INTEIRO. COMO FIQUEI APENAS UM DIA NÃO PREJUDICOU MINHA ESTADIA, MAS SENTI FALTA. O RESTO FOI EXCELENTE.;9;;;;
8 de janeiro de 2024;Recomendo, excelente custo/benefício;Limpeza, conforto do quarto;Muito bom restaurante;9;;;;
7 de janeiro de 2024;Fantástico;Cafe da manha excelente e hotel localizado bem proximo à praia.;Controle do ar é na parede, preferia por controle movel por ter mais praticidade.;9;;;;
7 de janeiro de 2024;Ótima opção de hotel;Cama muito boa, estacionamento sem manobrista e sem custo adicional, bom café da manha;Estava tudo muito bom;9;;;;
5 de janeiro de 2024;Atendimento do Thiago da recepção, que nos atendeu no check in e no check out com muita excelência.;Atendimento do Thiago da recepção, que nos atendeu no check in e no check out com muita excelência.;Atendimento do Thiago da recepção, que nos atendeu no check in e no check out com muita excelência.;10;;;;
4 de janeiro de 2024;Razoável.;Localização e café da manhã.;Tivemos que aguardar para fazer check-in pq não tinha ninguém na hora que chegamos (meia-noite). Aguardamos por 30 minutos.;;;;;
Tinha uma mancha amarela no lençol. ;;;;;;;;
"Piso empoeirado. Tem que limpar o pé antes de por o pé na cama.""";8;;;;;;;
4 de janeiro de 2024;Tranquila e sossegada;Do tamanho do quarto;Nada a exigir;9;;;;
3 de janeiro de 2024;Estadia boa;Restaurante;Quarto térreo é muita humidade;9;;;;
3 de janeiro de 2024;vale a pena;atendimento muito bom, o chuveiro bom o quarto bom, o café muito bom, restaurante muito bom;só faltou uma piscina e toalhas para praia, o que não influencia na estadia;8;;;;
2 de janeiro de 2024;Excelente;De tudo. Já tinha ficado antes e agora está melhor com esse restaurante. Agregou muito pois a comida é excelente. Tanto o café da manhã quanto almoço e jantar!;Nada a reclamar!;10;;;;
1º de janeiro de 2024;Fantástico;Localização, atendimento, café da manhã.;Nada a dizer.;9;;;;
31 de dezembro de 2023;Excepcional;Hotel excelente, conforto e boa localização.;;10;;;;
31 de dezembro de 2023;Fantástico;Atendimento;Não tem.piscina;9;;;;
31 de dezembro de 2023;Excepcional;Hotel incrivelmente incrível. Pessoas maravilhosas;;;;;;
"Sem defeitos""";Recepção do início ao fim perfeito;10;;;;;;
31 de dezembro de 2023;Valeu a pena;Quarto novo e a simpatia dos funcionários, principalmente Kaly.;Banheiro muito pequeno;8;;;;
30 de dezembro de 2023;Ótimo custo-beneficio.;Local bom, quartos espaçosos, bem limpos, cama grande e muito confortável. O café da manhã é bom, tinha Nutella a vontade, o que me ganhou. Foi estadia de apenas uma noite, não tivemos do que reclamar!;;9;;;;
29 de dezembro de 2023;Ótima opção de hospedagem;Bem localizado, próximo a mercados, farmácias e restaurantes. Café da manhã variado e funcionários atenciosos.;;9;;;;
29 de dezembro de 2023;Ótima opção em Boa Viagem;Ótima localização. Funcionários muito atenciosos. Quarto limpo. Café antes era servidor no quarto, agora tem uma área na entrada do hotel para tomar o café. Ficou show! Ambiente confortável e com várias opções para o café da manhã.;;9;;;;
28 de dezembro de 2023;Muito bom;Atendimento do funcionários;;8;;;;
28 de dezembro de 2023;Muito bom;Atendimento dos funcionários excelente;;8;;;;
28 de dezembro de 2023;Aconchegante;Limpo e bem localizado;Local;10;;;;
27 de dezembro de 2023;Ótima!;Funcionários super simpáticos. Hotel novo. Limpeza boa. Café da manhã variado. Garagem no subsolo segura.;;9;;;;
26 de dezembro de 2023;Bem localizado e ótimo custo-benefício!;Localização muito boa. Quarto amplo, cama de casal bem espaço sa e confortável.;A área do café da manhã estava em obras, infelizmente. Apesar do café ter sido servido no quarto, a escolha dos itens foi feita pela direção do hotel, e não por nós, hóspedes.;8;;;;
26 de dezembro de 2023;Estadia razoável. Bom café da manhã.;Restaurante;Banheiro semi intimido;8;;;;
26 de dezembro de 2023;Muito bom!;Adorei o café da manhã e o atendimento de todos os funcionários do hotel, todos muito solícitos. O quarto é confortável e o chuveiro do banheiro excelente.;Infelizmente chegaram hóspedes no quarto ao lado falando muito alto e em horário inapropriado. Acredito;;;;;
"que a acústica deveria ser bem melhor para um hotel.""";8;;;;;;;
25 de dezembro de 2023;Excepcional;Muito bom;;10;;;;
25 de dezembro de 2023;Bom custo benefício;Atendimento dos funcionários;Chuveiro pouca água e fria;8;;;;
24 de dezembro de 2023;Ótima experiência, desde o check in até a saída.;De tudo, desde o check in até a saída.;Nenhuma insatisfação;10;;;;
22 de dezembro de 2023;Um excelente custo benefício;Ótima localização. Cama confortável e boa infraestrutura.;Faltou água no frigobar. Ele estava vazio.;9;;;;
22 de dezembro de 2023;Muito boa, superou as espectativas.;Café da manhã, localização;Tudo ótimo.;10;;;;
21 de dezembro de 2023;Bom benefício-custo;Hotel moderno, bem localizado, com bom café da manhã e ótima limpeza.;Água do chuveiro vazava pelo box do banheiro, deixando o piso molhado. O banheiro não dispunha de suporte para sabonete e xampu.;9;;;;
20 de dezembro de 2023;Ótimo hotel, superou nossa expectativa. Ótimo custo benefício;Adorei o apartamento. Cama enorme de casal, confortável. Limpeza impecável. Ducha maravilhosa. Funcionários atenciosos e receptivos. Ganhamos brinde de boas vindas bolo de rolo e água. TV com netflix, youtube;;10;;;;
20 de dezembro de 2023;Foi tranquila e maravilhosa;Gostei muito do atendimento do recepcionista. Chegamos tarde da noite e cansados, visto que iríamos viajar algumas horas depois após a nossa chegada e nos ofereceu alguns kits para comer, pois sabia que não daria tempo do café. Foi muito bom da parte dele. Bastante atencioso. Quarto confortável, cama grande, ar gelando bem. Não temos do que reclamar.;;10;;;;
20 de dezembro de 2023;Fantástico;Instalações muito boas. Localização boa, a dois quarteirões da praia da Boa viagem. Café da manhã muito bom. Atendimento cordial dos funcionários.;;9;;;;
19 de dezembro de 2023;Pelo descanso valeu, atendimento, Simpatia;Hospedagem muito boa limpeza , atendimento Top;Infelizmente o café da manhã é muito fraco, e olha que já passei por vários hotéis no mesmo valor, e senti falta de opções de café.;10;;;;
16 de dezembro de 2023;Muito bom;Localização e banheiro.;;8;;;;
16 de dezembro de 2023;Excelência no atendimento;Fomos bem recepcionados! Quero agradecer principalmente ao gerente Amaury, que foi super atencioso comigo. O quarto tem um ótimo tamanho, a cama e os travesseiros são super confortáveis. E a limpeza do banheiro estava em dia!;;;;;;
Outro ponto positivo é o restaurante Pilo Cucina; que fica dentro do hotel! O café da manhã estava delicioso! Os Atendentes são super prestativos e educados.;;;;;;;
Estávamos em duvido onde ir pra jantar e escolhemos ficar no hotel. ;;;;;;;;
Escolha maravilhosa!!! Fomos muito bem recepcionados e ficamos bem a vontade . O colaborador David;" me esclareceu todas as dúvidas e ainda pediu ao chef para trocar uma opção do meu prato!!! O ambiente é de um design incrível e de bom gosto!! Os pratos são elaborados com um capricho !!!!! E a comida é deliciosa!!""";Nada;9;;;;;
15 de dezembro de 2023;Muito bom;Conforto do apto, atendimento dos funcionários ótimos, localização ótima !;Nada;9;;;;
14 de dezembro de 2023;Excepcional;Funcionários atenciosos;;;;;;
14 de dezembro de 2023;Excepcional;Atenção dos funcionários;;;;;;
13 de dezembro de 2023;Um bom local para uma viagem de negócios ou saúde.;O atendimento e o cuidado com o hóspede.;Não ter podido desfrutar mais do Hotel.;9;;;;
13 de dezembro de 2023;Excelente;Ambiente, organização, limpeza, funcionários, localização,;Nada;10;;;;
12 de dezembro de 2023;Excepcional;Muito limpo, organizado, bem cuidado e moderno.;;10;;;;
11 de dezembro de 2023;Excepcional;Excelente custo-benefício. Equipe atenciosa. Boa localização.;;10;;;;
11 de dezembro de 2023;Muito bom;Localização excelente;;8;;;;
11 de dezembro de 2023;Excepcional;Localização e atendimento.;;10;;;;
10 de dezembro de 2023;Tudo top;Organizado, a cama é perfeita, café da manhã otimo;Nada a reclamar;10;;;;
10 de dezembro de 2023;Tranquila;A localização era boa, o atendimento de todos os funcionários que tive contato. O café da manhã foi impecável, as opções, limpeza, o ambiente.... eles acabaram de inaugurar o restaurante deles, então agora o café não é mais no quarto. Tudo muito organizado e limpo.;Não fiquei muitos dias, não teve nada que me incomodou. Só daria sugestão ao hotel para trocar o sabonete líquido do banheiro.;9;;;;
9 de dezembro de 2023;Bom custo benefício e interessante para estadias curtas.;Funcionários bem educados e solícitos.;Área do café é pequena.;8;;;;
9 de dezembro de 2023;Minha estadia foi ótima;O café da manhã estava muito gostoso e com muita variedade;A limpeza do quarto e o tipo das toalhas e não tinha toalha de mão;10;;;;
8 de dezembro de 2023;Otima;Bom, Boa!;Serviço de restaurante;10;;;;
7 de dezembro de 2023;Passagem rapida e marcante. Me surpreendeu.;Pessoal extremamente cordial, simpático e atencioso. Desde o momento da entrada, no sendo recepcionado pelo funcionário do estacionamento auxiliou no descarregamento das malas e do andador, nos ajudando e nos levando até o elevador para ter acesso a recepção.;;;;;;
Lugar super acolhedor. Pelo jeito acabaram de realizar algumas reformas e o lugar ficou muito acolhedor.;;;;;;;;
Comida formidável. Durante o cafe da manhã sempre tínhamos dificuldade em encontrar um café simples mas requintado; com opções bem agradáveis e sabor foi maravilhoso. Espero que continue assim e que possam melhorar.;;;;;;;
Não posso deixar passar o atendimento do gerente;" que foi super atencioso no serviço e conversando com todos os hospedes quanto ao serviço e comodidades do hotel.""";Estacionamento. O local não possui um estacionamento com capacidade para atender todos, com isso dependendo da hora que você chega o carro vai ficar estacionado na rua. Um funcionário passa a noite vigiando os carros. Como minha esposa é cadeirante tive de entrar pela garagem, já que na entrada principal não possui rampa de acesso. Como fiquei no quarto com acessibilidade, no banheiro a disposição das barras fica um pouco incomodo, já que a barra horizontal fica numa altura muito baixa e não existe uma segunda barra na entrada do box para dar um apoio melhor e mais segurança. Outras observações foram relatadas na recepção do hotel.;10;;;;;
7 de dezembro de 2023;Excepcional;Ótima estadia, eu e minha esposa Amanda amamos ficar essa linda noite nas acomodações do Fity Hotel !!;;10;;;;
6 de dezembro de 2023;Excepcional;Hotel novo e funcionários muito atenciosos…;;10;;;;
6 de dezembro de 2023;acomodação muito agradável e confortável.;Quarto espaçoso, silencioso, cama grande e confortável. Equipe muito simpática. O hotel é muito novo, limpo e moderno. Ganhamos água e bolo de rolo no check-in. Café da manhã servido no quarto.;O café da manhã deixou a desejar, apesar de gostar da opção de receber o café da manhã na própria acomodação. As frutas não vêm cortadas e o ovo parece artificial.;10;;;;
6 de dezembro de 2023;Hotel bem localizado, em centro comercial e turístico de Recife.;Hotel bem localizado, no litoral de Recife, com excelente equipe, fantástico café da manhã. Quartos novos, práticos e confortáveis.;O recepcionista me deu uma informação errada quanto a um restaurante nas proximidades do hotel. Mas fez isso querendo ser o mais prestativo possível.;9;;;;
6 de dezembro de 2023;Perfeito o hotel;Gostamos de Tudo , desde atendimento no dia da chegada e também todos funcionários foram muito atenciosos, o café da manhã maravilhoso.;De tudo, atendimento e gentileza;10;;;;
5 de dezembro de 2023;Agradável;Gostei que o café da manhã não é mais servido no quarto, assim temos a possibilidade de fazer nossas próprias escolhas para a refeição, achei o café satisfatório, o hotel tem um perfil mais business, hospedagem para quem está a trabalho, poucos dias na cidade. Funcionários muito educados, nosso quarto estava bem limpo. Senti falta de um suporte no banheiro para colocar shampoo, condicionador, apesar do hotel oferecer esses itens, geralmente carrego os meus e tive que colocá-los no chão durante o banho. No café da manhã, minha sugestão é que comprem bolos menores, para que não sobrem para os outros dias, como aconteceu.;Nada;8;;;;
4 de dezembro de 2023;Experiência;Atendimento equipe;Custo benefício poderia ser melhor. Nāo tem serviço de quarto e nada para comprar no Hotel. Tem que comprar ou pedir tele entrega. Para quem vem de fora é mais um transtorno;9;;;;
3 de dezembro de 2023;Fantástico;Instalações novas, bom café da manhã, ótima localização;Recebi um e-mail com certa de 24h de antecedência do checkin informando que se eu não confiasse minha chegada ou se não fizesse o checkin até as 16h minha reserva seria cancelada. Só consegui entrar em contato 10min antes das 16h. Será que minha reserva seria, realmente cancelada? Achei abusivo a abordagem;9;;;;
3 de dezembro de 2023;Fantástico;Excelente custo-benefício e funcionários extremamente prestativos;Estacionamento apertado;9;;;;
2 de dezembro de 2023;Bom custo benefício em Boa Viagem;Localização, limpeza e equipe de atendimento em geral, sobretudo manobristas. Café da manhã na medida. Cama confortável, ducha boa, toalhas boas. Recomendamos.;Frigobar não gelava qualquer lata de refrigerante ou cerveja, apenas mantinha algo o mínimo gelado.;9;;;;
2 de dezembro de 2023;Queria ficar mais, aluguei perto do aeroporto só para pernoite, mas com certeza voltaria.;Atendimento e limpeza perfeitos. Estacionamento privativo, tem um espelho de corpo inteiro ótimo no quarto que é um diferencial.;;9;;;;
1º de dezembro de 2023;Dias agradáveis num hotel ótimo e muito bem localizado;O hotel é excelente, poderia ser classificado como 4 estrelas.;Não tenho do que reclamar;9;;;;
30 de novembro de 2023;Ótimo custo-benefício;O hotel tem ótimo custo benefício.;;;;;;
Utilizei-o por 1 diária no final da viagem apenas para dormir pois meu vôo seria ás 3 da manhã.;;;;;;;;
"Atendente cordial e boa localização para ir para o aeroporto.""";;8;;;;;;
29 de novembro de 2023;Atendimento excelente;Saímos cedo demais.. às 4 da manhã..;;10;;;;
29 de novembro de 2023;Ótima estadia;Hotel novo . Quarto grande extremamente cômodo e banho muito bom. Funcionários super simpáticos e solícitos, principalmente Everton e Vinicios;Café da manhã no quarto;8;;;;
28 de novembro de 2023;Bom;Quase tudo.;Toalhas….pegamos um apto do lado de uma obra e muito barulho.;9;;;;
28 de novembro de 2023;Excelente;Receptividade e acolhimento que fazem a diferença. Além do cuidado e praticidade da acomodação, a equipe e extremamente eficiente e simpática.;;;;;;
"Volto sempre!""";;10;;;;;;
28 de novembro de 2023;Excepcional;Excelente localização, ótimo custo/benefício. Apenas dormir para pegar voo no outro dia, mas tudo novo.;Nada, me atendeu bem.;10;;;;
