data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
18 de abril de 2023;Foi uma boa estadia.;O café da manhã atende às necessidades de todas as tribos. Meu único porém diz respeito aos sucos, pois não tinha suco de laranja e não eram integrais. Estava mais para refresco.;Não gostei do bicama. Uma das minhas irmãs teve que dormir nele e reclamou da falta de conforto.;9;;;;
17 de abril de 2023;Fantástico;Café da manhã maravilhoso.academia;;;;;;
Limpeza do hotel; o hotel é super localizado enfrente da praia de Boa viagem .;;;;;;;
"Voltaremos em breve! 🤩""";Gostei de TUDO...;9;;;;;;
14 de abril de 2023;Fantástico;Localização, café da manhã, limpeza, atendimento da recepção e conforto do hotel.;Na foto do quarto quando reservei deu a entender que era janela com vista para o mar.;9;;;;
10 de abril de 2023;Muito bom;O atendimento dos funcionários e a localização são excelentes.;;8;;;;
10 de abril de 2023;Hospedagem agradável;Localização ;;;;;;
Funcionários atenciosos;;;;;;;;
"Café da manhã delicioso""";O cartão que abria a porta não funcionava direito, tendo que descer várias vezes pra trocar o cartão. Isso foi cansativo.;8;;;;;;
5 de abril de 2023;Quarto limpo, atendimento excelente, café razoável, quarto comum sem vista para o mar.;Atendimento excelente, funcionários muito simpáticos.;Café pouco diversificado. Restaurante com poucas opções de pratos para jantar.;8;;;;
3 de abril de 2023;Bom;conforto, atendimento e localização;banheiro sem janela, café da manhã com as mesmas variedades;7;;;;
1º de abril de 2023;bom custo benefício;local .. saguão ,;manutenção deixa um pouco a desejar ( pia entupida , banheiro Velho , janela oxidada , );7;;;;
29 de março de 2023;Fantástico;Gostei de muitas coisas: da localização, da vista, do quarto, da higiene, da piscina, dos funcionários e do pequeno almoço.;Chegamos e fomos colocados em uma suíte que estava sem água por motivos de manutenção. Porém isso não foi informado. Só ficamos sabendo quando ligamos na recepção para falar que estava sem água. Daí fomos trocados de quarto estando exaustos da viagem.;;;;;
Senti falta dos laudos de elevadores expostos neles.;;;;;;;;
As fotos dão ideia de uma academia equipada;" mas não é tão equipada e não tinha ar condicionado lá no período da estadia.""";9;;;;;;
28 de março de 2023;FOI ONZE DIAS BONS ,SAIAMOS DE MANHA E SO VOLTAVA A NOITE.;A CAMAREIRA DO DECIMO ANDAR É EXELENTE NA ATENÇÃO .;PELA QUALIDADE DO HOTEL ESTA BOM.;9;;;;
28 de março de 2023;Boa localização e custo benefício;A vista é muito bonita, apesar que a foto no booking é de um andar mais alto, ficamos no terceiro. A suíte é super espaçosa e bem equipada com dois aparelhos de ar condicionado, que pode ser usado um pra cada ambiente. Tem um manobrista que leva e busca o carro pro estacionamento, que é pago à parte.;As janelas não estavam muito limpas. Parece que o prédio já foi bastante luxuoso, ou pelo menos de um nível mais elevado. O imóvel parece bastante desgastado, precisando de uma reforma, os móveis são antigos, as cortinas black-out desgastadas e até furadas. Não me incomodou muito, até pelo preço que custou no booking. Valeu a pena. Outro ponto é a pouca variedade de restaurante nas proximidades, para poder ir à pé, mas quanto a isso o hotel não tem o que fazer... enfim, custo benefício muito muito bom.;8;;;;
27 de março de 2023;Muito bom;Localização;Wi-fi tentei conectar e não consegui;8;;;;
25 de março de 2023;Quase bom;Da vista e localização;Limpeza do quarto deixou a desejar;;;;;
19 de março de 2023;Bom;;Esperava por um quarto mais novo e melhores roupas de cama.;7;;;;
17 de março de 2023;Fantástico;Ficamos na suíte familia, a vista é linda, e o quarto é lindo.;A televisão não é smart tv, não dá pra colocar um netflix ou afins.;9;;;;
13 de março de 2023;Muito bom;Localização, funcionários, café da manhã.;Precisa trocar as torneiras dos banheiros.;8;;;;
8 de março de 2023;Visão única do mar. Funcionários muito amáveis. Quarto um pouco antigo, mas os prós compensam.;Ótima localização. O quarto em frente ao mar é um show à parte e vale muito a pena. A sala de café da manhã é um pouco apertada, com mesas muito próximas entre si.;Fiquei no quarto final 1, de frente ao mar. As janelas próximas à cabeceira da cama podem ser abertas. Portanto não é recomendado se tiver crianças. O quarto já está precisando de uma reforminha básica (pintura, metais oxidados). Mas precisamos entender que a maresia não perdoa.;8;;;;
8 de março de 2023;Muito bom;Localização, atendimento, café da manhã;Barulho do ar, aparelhos na janela do quarto, banheiro sem janela;8;;;;
7 de março de 2023;Bom;Café foi ruim demais;Local funcionário;7;;;;
27 de fevereiro de 2023;Ótima localização e atendimento!;O hotel é bem na avenida da praia. Basta atravessar a rua. A piscina também é uma boa opção! O quarto é espaçoso, a cama confortável, tem cofre e há espaço para colocar a mala, roupas e trabalhar. Meu quarto (902) tinha vista para o mar. Tem frigobar cheio e várias opções de petiscos no quarto. O café da manhã é variado, gostoso e tem o típico bolo de rolo pernambucano! Ah! Os funcionários são muito simpáticos. Eu voltaria a me hospedar lá, apesar de alguns pontos negativos.;O box do chuveiro é muito apertado, embora o restante do banheiro seja espaçoso. O ralo ao lado do vaso sanitário estava sujo, cheio de cabelos acumulados dos hóspedes anteriores. A internet oscila muito.;8;;;;
24 de fevereiro de 2023;Muito bom;Localização;Café da manhã;8;;;;
22 de fevereiro de 2023;Fantástico;Quarto super confortável;;;;;;
Café da manhã bom;;;;;;;;
Funcionários excelentes ;;;;;;;;
"Localização Ótimoa""";Estacionamento abaixo do esperado e ainda cobraram R$25,00 por diária. Costumo ir sempre ao recife e em especial em Boa Viagem e não é de costume pagar estacionamento!;9;;;;;;
22 de fevereiro de 2023;Bom;O wifi era bem estável e não me deixou na mão. A vista do quarto era bem decente e dava pra ver um trecho da praia também. O hotel é razoavelmente bem localizado, perto de mercados e restaurantes.;A cama não era das mais confortáveis e estava com um tufo de cabelo em cima quando cheguei. O chão tinha algumas sujeiras, o chuveiro não esquentava direito, era muito apertado e o piso do box não era antiderrapante - um perigo para idosos. O café da manhã era super restrito de opções, deixou muito a desejar.;7;;;;
22 de fevereiro de 2023;foi muito bom;tudo menos o banheiro e o ar condicionado, precisa limpar o filtro fiquei com asma😫;casa de banho e ar-condicionado;7;;;;
16 de fevereiro de 2023;Excelente custo benefício.;Ótimo custo benefício, localização perfeita, café da manhã não compromete.;;9;;;;
10 de fevereiro de 2023;Legal;Ótima localização;Tv sem opção, wi-fi péssimo;8;;;;
8 de fevereiro de 2023;Vista perfeita da praia de Boa Viagem;Localização maravilhosa, suite luxo te uma vista magnífica e o quarto é muito amplo;Café da manhã fraco, e restaurante não tinha muitas opções de pratos para as refeições nós quartos. Escolhi 3 pratos diferentes e não tinha nenhum no dia.;8;;;;
7 de fevereiro de 2023;Muito bom;Pensei que o quarto seria maior e a grade de canais de tv também;mais canais de tv;8;;;;
7 de fevereiro de 2023;Bom;cama ! e chuveiro;muito barulho a noite , pessoas gritando e o hotel simplesmente não fez nada /;7;;;;
6 de fevereiro de 2023;Como meu objetivo era conhecer outros lugares o hotel oferece um bom custo beneficio.;Localização excelente, Café da manhã comunicação dos recepcionistas;Problemas de vazamento de água no banheiro, vidros das janelas muito sujos.;7;;;;
6 de fevereiro de 2023;Boa localização e bom custo-beneficio;A Localização é boa, fácil acesso para os pontos turísticos. Funcionários bem atenciosos.;O serviço de quarto deixou a desejar, pois pedimos várias vezes para deixarem 3 tolhas, sempre deixavam só duas.;8;;;;
5 de fevereiro de 2023;Otima opcao frente mar;A localizaçao é incrivel. E o atendimnto é gentil.;;8;;;;
5 de fevereiro de 2023;Gostei muito do hotel :);Suite excelente, cama confortável, tudo funciona direitinho e a vista para o mar é simplesmente fantástica. Café da manhã é muito bom. Os funcionários são muito educados e simpáticos. Recomendo.;;9;;;;
2 de fevereiro de 2023;Fantástico;O café da manhã era o essencial;Poderia ter ferro de passar para disponibilizar para o uso, pois levamos as roupas em malas e geralmente amassa, e lá não tinha ferro para usar.;9;;;;
1º de fevereiro de 2023;Boa;Localização;Falta da tapioca no café da manhã e a limpeza, deixou a desejar.;7;;;;
1º de fevereiro de 2023;Bom custo benefício;Localização e café da manhã apesar de não ser diversificado, é bem saboroso...;O quarto não tinha um cheiro agradável...;8;;;;
28 de janeiro de 2023;perto da praia, funcionários atenciosos.;localização, funcionários atenciosos.;no segundo dia fui descansar estava tendo uma obra acima do meu quarto não fui avisada estava com criança dormindo acordou assustada foi bem incômodo e poucas opções no cardápio restaurante.;9;;;;
27 de janeiro de 2023;Bom;Localização e atendimento.;Café da manhã e chuveiro.;7;;;;
27 de janeiro de 2023;Muito bom;o conforto do quarto;o café da manhã precisa melhorar;8;;;;
22 de janeiro de 2023;ESTADIA válida pela local, custo benefício e comodidades do hotel. Cadê da manhã muito bom;A localização. Custo benefício;;9;;;;
13 de janeiro de 2023;Fantástico;Da variedade do caféda manhã!;Da indisponibilidade antecipada para alocação dos quartos (ou seja, qdo chegar se hospeda no que tiver)! Enfim, fora isso correu tudo bem e nos compram em bons quartos!;9;;;;
10 de janeiro de 2023;Voltaria;localização do resort;;;;;;
perto das festas;;;;;;;;
"piscina bem grande""";Restaurante pessimo atendimento e comida cara e ruim;8;;;;;;
8 de janeiro de 2023;feliz mas não muito;localização;instalações precisando de reforma;7;;;;
6 de janeiro de 2023;Bom;Nada em concreto;Localizaçao somente;;;;;
"Bom para ficar 1 noite - voo cancelado por exemplo""";7;;;;;;;
3 de janeiro de 2023;Ok para estadia curta;localização boa;meu cartão desmagnetizou 3 vezes em uma estadia de 1 dia. Elevador demorava muito pra chegar e cafe da manha ok;7;;;;
30 de dezembro de 2022;Muito bom;De tudo;Nada a reclamar;8;;;;
29 de dezembro de 2022;bom;vista muito bonita, quarto limpo!;;7;;;;
28 de dezembro de 2022;dez/22;Localização, custo e benefício.;;;;;;
Café da manhã maravilhoso.;;;;;;;;
Funcionários educados.;;;;;;;;
"Acomodações muito confortáveis""";Corredores internos dos apartamentos, carpete, paredes...Sensação de velho.;;;;;;;
"Fachada e esquadrias bem deterioradas""";8;;;;;;;
25 de dezembro de 2022;Fizemos uma excelente escolha de local;Localização muito boa. Hospedagem também.;Estava tudo de acordo com o que vimos no site. Nada a reclamar.;8;;;;
25 de dezembro de 2022;BOA EXPERIÊNCIA;Funcionários simpáticos, educados e acolhedores.;;;;;;
Apartamento extremamente limpo.;;;;;;;;
Restaurante com comida boa e preço acessível. ;;;;;;;;
"Café da manhã variado e com produtos frescos.""";Estrutura física precisando de manutenção.;;;;;;;
Produtos disponíveis no apartamento (bebidas; petiscos e doces) com preços muito caros.;;;;;;;
"Estacionamento pago.""";9;;;;;;;
24 de dezembro de 2022;razoável;Deixou a desejar em conforto e estrutura.;TV 📺, cortinas velhas, ambiente sem alegria.;7;;;;
23 de dezembro de 2022;Muito bom;Localização e quarto espaçoso com vista mar;Estacionamento e salão do café da manhã muito apertados;8;;;;
19 de dezembro de 2022;Bom;Localização e atendimento;Pe direito baixo, ar condicionado não funcionava adequadamente, quanto com cheiro de mofo. Decoração antiga;7;;;;
18 de dezembro de 2022;bom;localização;banheiro pequeno;7;;;;
12 de dezembro de 2022;Bom;A localização e os funcionários muito atenciosos;O meu carro ficou no estacionamento do hotel qdo eu recebi vi que estava todo sujo de respingo e poeira de tinta, não reclamei na hora pq só vi qdo parei no posto para,abastecer. O hotel estava com um aviso de barulho por está passando por reformas, mas deveriam ter mais cuidado com os carros no estacionamento do hotel.;7;;;;
12 de dezembro de 2022;Muito bom;Quarto suite família com vista incrível. Muito espaço e bem completo.;Área do café é pequena ...faltam janelas .;;;;;
;;;;;;;;
"Estacionamento é pequeno e apertado .""";8;;;;;;;
10 de dezembro de 2022;Ótima;Da gentileza da equipe da recepção .;O preço de uma cerveja. ;;;;;
Acabei não desfrutando da comida do restaurante no jantar porque achei um absurdo a cerveja long neck custar 15;00.;;;;;;;
Mas deixo o meu elogio para o café da manhã que foi maravilhoso e para o café com leite servido no restaurante; que além de estar ótimo;" custou um preço bem normal.""";9;;;;;
9 de dezembro de 2022;ótima localização;O quarto em si e a limpeza são otimos.;não gostei do chuveiro, 450,00 em duas diarias p ter chuveiro elétrico, nao foi legal;7;;;;
9 de dezembro de 2022;Fantástico;Quarto e café;Chuveiro;9;;;;
8 de dezembro de 2022;Muito bom;Localização muito boa, atendimento gentil de todos os funcionários, boa qualidade dos itens do café da manhã;Recepção apenas razoável do sinal de televisão;8;;;;
4 de dezembro de 2022;Bom custo benefício;A frente da praia com café da manhã muito bom e quarto confortável;A sala do café da manhã está sempre cheia, obrigando os hóspedes a sentarem mas mesas de fora sem ar-condicionado e longe do Buffet;8;;;;
4 de dezembro de 2022;Bom hotel, só não foi perfeito por conta de detalhes.;A vista para o mar é linda, café da manhã variado, quarto limpo, amplo e confortável.;O ar-condicionado da suíte não estava funcionando, passei dois dias dormindo no calor. quiseram realocar mas não tinha mais suíte família, só quarto sem vista, então optamos ficar no calor, porque a vista compensa. rsrsrs;7;;;;
28 de novembro de 2022;Excelente relação custo x benefício;Café da manhã normal, nada de excepcional. espaço pequeno.;;9;;;;
27 de novembro de 2022;Bastante prazerosa.;tamanho do quarto;ar condicionado;9;;;;
13 de novembro de 2022;Fantástico;Simpatia dos funcionários.;O quarto não tinha cheiro agradável.;9;;;;
12 de novembro de 2022;Fantástico;Da localização e vista da suite. maravilhosa;Da limpeza e café da manhã;9;;;;
2 de novembro de 2022;Fantástico;Localização, cordialidade dos funcionários e a variedade do café da manhã.;De nada;9;;;;
28 de outubro de 2022;1 noite em Recife;Localização. Garagem. Café da manhã. Atendimento. Próximo ao aeroporto. Quarto possui frigobar, tv e bancada espaçosa com duas cadeiras.;Não ficamos no quarto reservado (suite de frente ao mar) por um problema do hotel. Ficamos no quarto com vista lateral (fomos compensados não pagando estacionamento e pediram muitas desculpas). O box do banheiro desse quarto é bem apertado e difícil de entrar. Não recomendo para pessoas com menor mobilidade.;8;;;;
28 de outubro de 2022;Hotel de excelente localização. A suíte escolhida muito confortável. Se não fosse a falta de água quente, seria perfeito;localização e conforto do quarto escolhido.;Chuveiro não tinha Água quente , a limpeza deixou a desejar, só arrumavam os lençóis. Café da manhã precisa de mais variedade, praticamente todos os dias as mesmas opções.;9;;;;
27 de outubro de 2022;Pensei ser melhor;O quarto suíte é muito bom, tem um tamanho ótimo, vista para o mar.;O café da manhã fica num local muito apertado, os alimentos que eram para ser quentes estavam frios todos os dias. Meio fraco no geral...;8;;;;
26 de outubro de 2022;Muito bom;Localização excelente... Custo benefício muito bom. Vista da praia deslumbrante.;Roupas de cama e camas com cheiro de mofo... Minha família alérgica sofreu bastante.. restaurante pequeno (café) em relação a quantidade de quartos.;8;;;;
26 de outubro de 2022;Muito bom;Localização;Tinha muito barulho de obra bem na suite ao lado do meu quarto....ainda bem que fiquei pouco no quarto....mas atrapalhou o barulho.;8;;;;
25 de outubro de 2022;Fantástico;Atenção dos funcionários. Localização. Rrstaurnte do hotel com boa relação custo- beneficio;Nada de relevante a reclamar.;9;;;;
21 de outubro de 2022;Ótima escolha;Boa estrutura, ótima localização, ótimo atendimento, quarto limpo e confortável.;O espaço para o café da manhã estava um pouco apertado, visto a quantidade de hóspedes.;9;;;;
21 de outubro de 2022;Satisfatória.;;A piscina fica quase o dia todo na sombra provocada pelo prédio do hotel e por falta de sol a água é muito fria. Quase ninguém utiliza.;9;;;;
18 de outubro de 2022;Uma estadia boa;Gostei muito da localização, da recepção dos funcionários comigo.;Do estacionamento ser pago;8;;;;
17 de outubro de 2022;Minha estadia foi muito agradável ,recomendo!;Localização, camas confortáveis, funcionários atenciosos;Chuveiro com vazão da água torta, e a tv deu um problema.;9;;;;
14 de outubro de 2022;Ótimo hotel na Praia da Boa Viagem!;Hotel bem localizado, com vista para o mar, bom atendimento e excelente café da manhã: destaque para a qualidade da tapioca e do bolo de rolo.;;8;;;;
14 de outubro de 2022;Fantástico;Localização, limpeza, conforto, atendimento cordial dos funcionários.;Gostei de tudo, porém na hora da reserva no booking, não estava claro o quarto. Liguei achando que seria com vista para o mar e não foi.;;;;;
;;;;;;;;
Acho que só melhor a visualização ou discrição junto ao booking.;;;;;;;;
;;;;;;;;
Mas no geral;" só elogios a tudo.""";9;;;;;;
12 de outubro de 2022;Muito bom;;No apartamento número 302, o qual nós ficamos, não tinha o aparelho de telefone, o que nos impediu, de nos comunicarmos!;;;;;
E um outro ponto negativo; é no restaurante; pois quando acaba o leite; o rapaz reabastece; e coloca uma caixa de leite sem estar quente; quando a pessoa vai se servir;" o leite está frio.""";8;
10 de outubro de 2022;Muito bom;Da localização, bem em cima da praia;O hotel é antiquado;8;;;;
7 de outubro de 2022;Localização perfeita;Localização;Prédio precisando de uma reforma;8;;;;
3 de outubro de 2022;Fantástico;Da localização, a cortesia das equipes.;A questão de higiene (banheiro), deixou muito a desejar. Cortinas muito velhas e sujas.( black out) Posso colocar satisfeita ou insatisfeita, vcs definem a nota 9, não acho que é 9,0, um 8 é muito bem avaliado.;9;;;;
29 de setembro de 2022;Razoável;Funcionários muito gentis, café da manhã excelente;Cama, travesseiro, cobertores;8;;;;
24 de setembro de 2022;Funcionários muito atenciosos;Achei tudo muito bom, a vista incrível e a localização muito boa. Pedi pra eles limparem o filtro do ar condicionado porque tenho rinite, e rapidamente atenderam e ficou tudo ótimo. Funcionários todos muito atenciosos.;Não tenho nada a reclamar.;9;;;;
19 de setembro de 2022;Bom;da localização do hotel e a vista do quarto para o mar;café da manhã servido em local abafado e muito cheio;7;;;;
15 de setembro de 2022;Muito bom;a localização, atendimento e o estacionamento.;;8;;;;
15 de setembro de 2022;Muito bom;Gostei da localização e da vista.;Da demora no atendimento na entrada check-in;8;;;;
15 de setembro de 2022;foi ótimo!;gostamos de tudo, de frente à praia, café da manhã, próxima à praça de boa viagem..;não tenho do q reclamar…;9;;;;
14 de setembro de 2022;Muito bom;Atendimento ótimo, vista perfeita;Não gostei apenas do chuveiro não tinha água quente, para ficar morno tinha que deixar o chuveiro caindo apenas pingo de água, banho com pressão de água boa não tinha;8;;;;
7 de setembro de 2022;o famoso feio mas arrumadinho. ponto intermediário, quarto pequeno e colchão e travesseiros ruins.;localização razoável. enfrente a praia mas longe do melhor de Boa Viagem.;aquário pequeno, vedação de barulho externo e quarto vizinho ruins e café fraco. quem que suco de caju em um café da manhã? me ajuda aí. laranja é básico.;7;;;;
5 de setembro de 2022;Muito bom;Localização, preço;O café da manhã teve pouca opção.;8;;;;
3 de setembro de 2022;Bom;Tem academia. Café da manhã bem variado.;;7;;;;
3 de setembro de 2022;Bom;Localização excelente;Elevadores em manutenção sempre;7;;;;
3 de setembro de 2022;Bom;Ótima localização, café da manhã variado e a academia bem simples mas melhor que não ter.;Chão do quarto meio escorregadio e um dos elevadores sempre em manutenção.;7;;;;
30 de agosto de 2022;Fantástico;Funcionários, limpeza;;;;;;
Ótima localizaçao;;;;;;;;
"Tudo muito bom""";;9;;;;;;
30 de agosto de 2022;Muito boa hospedagem.;Ótima localização.;;8;;;;
29 de agosto de 2022;Atendimento dos funcionários é excelente. A localização é excelente. E o café da manhã é muito bom!;Localização, café da manhã e prestatividade e simpatia dos funcionários, atendimento excelente dos funcionários.;A estrutura do hotel deveria melhorar, o elevador quebrou enquanto estivemos lá, a piscina é bem pequena e o telefone do quarto também quebrou, além da chave da porta descarregar toda hora. É preciso dar uma melhorada nessas questões estruturais do hotel.;8;;;;
28 de agosto de 2022;Localização muito boa!;Boa localizaçÃo, em frente à praia. Possui estacionamento privativo, mediante pagamento (20 reais). Café da manhã muito bom.;O acesso ao estacionamento é um pouco esquisito, tem que sair do hotel para descer e entrar. Não estava chovendo, então ok.;9;;;;
27 de agosto de 2022;Muito boa;Localização, café da manhã, atendimento;Elevador social interditado e havia dezenas de hospedes num evento, logo houve muita demora para se locomoverr;9;;;;
25 de agosto de 2022;Foi excelente! Tudo perfeito!;Do conforto do quarto, da localização e da vista incrível .. o café da manhã é muito bom!;Não tenho reclamação.;9;;;;
21 de agosto de 2022;Próximo da praia;Como pontos positivos destaco: a equipe, pois fui muito bem atendido no check-in e sempre que precisava de algo;;;;;;
20 de agosto de 2022;Ótimo;A localização é ótima, cama boa, vista para o mar, tem uma mesa na janela que dá pra trabalhar olhando o mar. Tem um bom café da manhã.;Chuveiro pingando e a maçaneta da porta do banheiro fica se soltando.;9;;;;
18 de agosto de 2022;Bom;quarto amplo com vista mar;não tinha cortina blackout em todas as janelas, travesseiros não eram confortáveis.;7;;;;
16 de agosto de 2022;Acolhedora;Hotel tradicional em Boa Viagem, com boas acomodações e excelente localização.;Deixar bem claro a opção de estacionamento pago!;8;;;;
15 de agosto de 2022;Muito bom;O apartamento é um pouco ´´velho´´ porem a vista ao mar é linda . O café da manhã era bom.;1 elevador apenas para todo o hotel. Totalmente insuficiente .;8;;;;
14 de agosto de 2022;Podia e deveria ser melhor.;localização, café da manhã justo.;Mofo nos banheiros. a internet não funcionava em todos os quartos. Instabilidade da internet. Cortinas antigas. ;;;;;
"visual interno dos anos 70""";7;;;;;;;
9 de agosto de 2022;A estadia foi maravilhosa e recomendo.;A localização do hotel é muito boa, e já tem os guias que tem pacote de visitas. O atendimento muito bom, colaboradores atenciosos. O café da manhã muito bom.;Na parte da manhã o elevador demora, e no dia que cheguei havia um estragado. Faltou uma faixa de pedestre de frente ao hotel. Antes de pagar o consumo do quarto é bom avaliar o extrato do que gastou de fato.;9;;;;
8 de agosto de 2022;Bom;Bom custo benefício, localização interessante;;7;;;;
5 de agosto de 2022;Muito bom;muito bom;;8;;;;
4 de agosto de 2022;Bom custo x beneficio.;Localizacao.;;;;;;
Jantar com sopa. Preço razoavel. Qualidade compativel.;;;;;;;;
Cafe da manha bom; incluso na diaria.;;;;;;;
Apartamento com frigobar incluso.;;;;;;;;
"Cama de casal bem grande.""";Box apertado. Vaso sanitario com grande vazamento d´agua. Tive de fechar o registro.;;;;;;;
"Cama e travesseiros não são muito confortáveis.""";7;;;;;;;
2 de agosto de 2022;Bom;Perto da praia.;Apenas um elevador funcionando para um prédio com alta lotação. Desligaram o segundo elevador sem comunicar os hóspedes. Dessa forma, filas de espera para pegar o elevador formaram-se durante toda a estadia, com tempo de espera alto!;7;;;;
1º de agosto de 2022;Muito bom;Localização, gentileza e presteza dos funcionários;Elevador com defeito durante toda a estadia. No momento do intervalo dos eventos era impossível circular rapidamente pq só um elevador funcionava e a fila era intensa.;8;;;;
31 de julho de 2022;Bom;...Localização...a vista....café da manhã bom...;Os elevadores...só 1 funciona....não atende a demanda...;7;;;;
31 de julho de 2022;eu voltaria;quarto espaçoso;precisando de reforma nas cortinas;9;;;;
27 de julho de 2022;Ok, para uma passagem rápida em Boa Viagem.;Quarto ok, camas confortáveis.;Falta variedade do café da manhã, espaço pequeno para o café (acredito que em alta temporada em Recife deve ser complicado tomar café.;;;;;
O banheiro do quarto muito pequeno; o chuveiro só tinha o modo muito frio ou quente escaldante.;;;;;;;
"O sinal da TV no quarto era péssimo.""";7;;;;;;;
26 de julho de 2022;Precisa flexibilidade para imprevistos.;Uma ótima localização, apesar de um elevador ( dos 2) estava em manutenção não criou transtornos. O atendimento é excelente dos funcionários. A localização é perfeita. A limpeza do hotel é excelente nos locais públicos como o restaurante, o café da manhã é também excelente, muito variado .;A limpeza de quarto não foi feita nas duas diárias ( das três diárias). Até pedi para não fazer cedo, pois ia a praia de iria chegar com areia, mas no outro dia nada! E para falar em 3 diárias, por motivos de força maior, eu saí ao meu dia na segunda diária. Fui questionar a diária;;;;;
25 de julho de 2022;Muito bom;Cordialidade dos funcionários. Todos muito receptivos e educados.;Ninguém no bar da piscina.;8;;;;
24 de julho de 2022;Muito bom;Funcionários prestativos e educados. Localização muito boa. Café da manhã bom.;Colchão precisa ser trocado.;8;;;;
24 de julho de 2022;Estadia rápida mas bastante proveitosa;Da localização e do conforto das acomodações;Nada que merecesse ser destacado ou criasse grande incômodo;9;;;;
23 de julho de 2022;Localização excelente, próximo Feira de Boa Viagem, de Frente para Praia, Próximo Shopping Recife.;Localização.;Restaurante do Hotel - poderia ser melhor pratos e tempo de espera.;7;;;;
22 de julho de 2022;boa;Da localização;Cafe da manha bem ruizinho;8;;;;
20 de julho de 2022;Fantástico;A cordialidade dos funcionários;;9;;;;
19 de julho de 2022;Bem satisfeito;Localização perfeita, linda paisagem, perto de padarias e galerias.;Dos travesseiros;9;;;;
17 de julho de 2022;Bom;;chuveiro elétrico não funcionou.;7;;;;
16 de julho de 2022;Bom custo-benefício;Pessoal simpático, ótimo café da manhã e boa localizaçao.;;;;;;
"Fui atendido com eficiência e rapidez.""";Acho que a manutençao dos apartamentos poderia ser melhor. Apesar de não ter comprometido a estadia.;8;;;;;;
15 de julho de 2022;Fantástico;O atendimento do Sr Menezes foi mto acolhedor!;;;;;;
"A localização é ótima e a vista para o mar é de encher os olhos. Gostoso o sono embalado pelo barulho do mar.""";O salão para o café da manhã é muito apertado e sem ventilação, haja visto que ainda estamos na pandemia de Covid.;;;;;;;
"O hotel poderia ser modernizado.""";9;;;;;;;
15 de julho de 2022;Ótima localização, e atendimento maravilhoso.;Ótimo atendimento, fomos muito bem recebidos .;à internet não estava funcionando 😮‍💨;9;;;;
14 de julho de 2022;de acordo com esperado;muito bom;quarto - conforto;8;;;;
13 de julho de 2022;Bom;;Cama bastante desconfortável.;7;;;;
11 de julho de 2022;Bom, mas precisa de melhorias na acomodação.;Localização, atendimento dos funcionários, café da manhã, limpeza do quarto e dependências do hotel.;Preço abusivo dos produtos expostos para consumo no quarto e o principal, a falta de um exaustor no banheiro que é pequeno e não tem janela, todo o mal cheiro do banheiro vem para o quarto.;7;;;;
8 de julho de 2022;Muito bom;Café da manhã,visão pro mar.;Do chuveiro, pouco espaço;8;;;;
6 de julho de 2022;Bom;Bom custo benefício, não surpreende em outros aspectos. Fica relativamente bem localizado, apesar de faltar opções de entretenimento próximas. Café da manhã OK.;Os corredores dos quartos estavam com um aspecto de mal cuidados, apesar de limpos. O mesmo se aplica aos quartos, talvez uma manutenção possa melhorar esse quesito. O chuveiro elétrico deixou a desejar.;7;;;;
5 de julho de 2022;Bom para 3 pessoas;Quarto triplo grande, o suficiente para 3 pessoas. Café da manhã com boas opções.;um pequeno barulho na janela quando batia vento.;9;;;;
30 de junho de 2022;Fantástico;Localização excelente em relação a praia, restaurantes, etc. Atendimento excepcional e ótimo café da manhã.;;9;;;;
29 de junho de 2022;Muito bom;Localização, de frente as piscinas naturais!;;8;;;;
29 de junho de 2022;Fantástico;Atendimento de toda equipe, localização e suíte hospedada!;;9;;;;
28 de junho de 2022;Muito bom;Localização perfeita pra quem quiser ir a praia. Restaurantes bons e.proximos. café da manhã maravilhoso.;;8;;;;
26 de junho de 2022;Muito bom;A localização é muito boa.;Os elevadores funcionavam mal e a sala do café da manhã é muito acanhada.;8;;;;
25 de junho de 2022;Ótimo custo-benefício;Hotel bem localizado a beira mar. O quarto bem distribuído com uma grande janela com vista para o mar. Ótimo chuveiro, importante pq Recife é bem quente.;O quarto tinha infiltração. Como nesta época chove bastante, minava água pela parede molhando o chão e a bancada da janela do segundo quarto.;8;;;;
24 de junho de 2022;Fantástico;Da localização. Do atendimento e disponibilidade em ajudar o hóspede.;;9;;;;
24 de junho de 2022;Fantástico;Funcionários suuuuper prestativos,simpáticos.;;;;;;
Café da manhã muuuuuito bom;bem variado;como fui em junho tinha várias comidas típicas juninas. ;;;;;;
"Decoração do hotel muito linda de são João.top""";Limpeza do box de banho do banheiro. Vazamento no banheiro,mas nada que mude meu conceito top do hotel.;9;;;;;;
23 de junho de 2022;Muito bom;Funcionários sempre gentis e educados. A localização.;Funcionários não suficientes para o porte do Hotel deixando longo o tempo de espera para qualquer serviço. Qualidade da comida não condiz com o porte do Hotel. Tanto o café da manhã deixou a desejar quanto a comida servida no quarto ( a carne era quase impossível comer de tão dura), a batata frita péssima qualidade, o suco fraco demais, entre outros. A TVs não configuradas.;8;;;;
23 de junho de 2022;Muito bom;Quarto com cama boa, ótimo conforto;;;;;;
"Café da manha bom""";Uma das atendentes nao foi muito educada;8;;;;;;
