data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
17 de setembro de 2024;Muito bom;Os funcionários são bem atenciosos e receptivos! O quarto é espaçoso e a vista é sensacional! A cama é também maravilhosa…;A acústica do hotel é muito ruim, da pra ouvir todo o barulho do corredor (como barulho de chave, porta destrancando, porta batendo) e também das ruas e olhe que fiquei no sétimo andar! E a mobília do hotel é muito antiga! Achei caro para o que oferece.;8;;;;;;;;
16 de setembro de 2024;Ótima estadia.;O hotel é muito bem localizado, bme p´roximo de praia de boa viagem . O quatro é espaçoso e bem confortável. O café da manha era bem variado.;A TV do quarto não era smart.;8;;;;;;;;
15 de setembro de 2024;Excelente custo x benefício;O hotel tem um excelente custo benefício. Roupas de cama e banho limpas e cheirosas. Cama e travesseiros muito bons. Café da manhã farto e variado.;A academia possui excelentes aparelhos, mas fica localizada num espaço fechado, com pouca iluminação e ventilação natural.;8;;;;;;;;
15 de setembro de 2024;Vale a pena, ótimo café da manhã, ótima localização e p;Localização muito boa, acesso a tudo, lugar tranquilo;Só fui informado de reformas em andamento no prédio depois que eu já havia feito a reserva. Está certo que foi oferecida a possibilidade de cancelamento, mas resolvemos manter a reserva e não houve transtorno devido as obras.;9;;;;;;;;
15 de setembro de 2024;Custo-beneficio;A área da piscina e o café da manhã são bons. A localização é excelente.;O colchão era macio, eu prefiro colchão firme. O primeiro quarto em que fiquei -apto 202- estava com cheiro de mofo. Depois me transferiram para um quarto do 15⁰ andar, porque estão em obras e havia muito barulho, e o segundo quarto estava melhor, não tinha cheiro de.mofo.;7;;;;;;;;
14 de setembro de 2024;Excelente localização;Localização excelente;Hotel super movimentado e elevadores demoram muito para subir ou descer!;9;;;;;;;;
13 de setembro de 2024;Nao voltaria;Limpeza;Box do banho extremamente pequeno. A porta abre para dentro, quando o certo seria abrir para fora, dificultando até para entrar. Chuveiro ruim, espirrava agua para os lados.;7;;;;;;;;
13 de setembro de 2024;Muito bom;Cordialidade dos funcionários e localização.;Torneira da pia e chuveirinho do vaso sanitário com vazamento de água.;8;;;;;;;;
13 de setembro de 2024;Muito boa;Localização, terraço;;8;;;;;;;;
12 de setembro de 2024;Uma boa opção na Boa Viagem.;Atendimento e localização excelentes.;"Chuveiro elétrico. Ducha ""fraca"".";9;;;;;;;;
12 de setembro de 2024;Nossa estadia foi apenas 1 noite.;Gostei do terraço, do atendimento dos funcionários lá e tb da excelente comida.;;;;;;;;;;
"Cama boa tb.""";Do chuveiro, péssimo, sai pouca água.;8;;;;;;;;;;
10 de setembro de 2024;Muito bom;Sempre que vou em Recife me hospedo no Park hotel.;;;;;;;;;;
Excelente opção. ;;;;;;;;;;;;
Bom café da manhã. ;;;;;;;;;;;;
"Quanto confortável.""";;8;;;;;;;;;;
10 de setembro de 2024;Muito bom;Piscina;Quando entramos no quarto e o ar condicionado só ventilava!!! E muito barulho na noite e madrugada como se tivessem limpando as coisas!!;8;;;;;;;;
9 de setembro de 2024;Boa localização;O quarto e o banheiro eram bem espaçosos, proporcionando bastante conforto. Tudo estava impecavelmente limpo, e o ambiente do hotel era muito silencioso, garantindo uma estadia tranquila. A localização também é excelente, facilitando o acesso a diversas atrações. O espaço da piscina, após a reforma, está maravilhoso, muito agradável para relaxar. Todos os funcionários foram extremamente gentis e atenciosos durante toda a estadia.;O café da manhã deixou a desejar. O espaço destinado para acomodar os hóspedes era pequeno e não comportava bem o número de pessoas. Além disso, a comida era bastante simples e sem nada de especial. O hotel está em reforma, e entendo que isso possa ser uma situação temporária, o que impactou na experiência da estadia.;8;;;;;;;;
9 de setembro de 2024;Muito bom;Excelente localização;Acho que faltou o fogão, no caso pra esquentar alguma coisa.;8;;;;;;;;
8 de setembro de 2024;Bom;Excelente atendimento, o chuveiro era muito bom, a vista e a localização eram incríveis, o deck com piscina é belíssimo e o café da manhã possuia muitas opções e uma tapioca por pessoa feita na hora.;O colchão era muito ruim, nitidamente era bem velho, os corredores possuem cheiro ruim e forte, carpetes velhos.;7;;;;;;;;
8 de setembro de 2024;Fantástico;Ótima localização e funcionários excepcionalmente atenciosos!;;9;;;;;;;;
4 de setembro de 2024;Muito bom;;Wi-Fi ruim;8;;;;;;;;
4 de setembro de 2024;Fantástico;Localização, conforto, segurança;Estacionamento, café da manhã;9;;;;;;;;
3 de setembro de 2024;Satisfatória;Da vista do quarto, é limpo e o quarto espaçoso.;O banheiro apresentava um cheiro de mofo.;8;;;;;;;;
2 de setembro de 2024;Fantástico;Café da manhã e localização excelentes;Wi fi;9;;;;;;;;
1º de setembro de 2024;Ótima localização e bom café da manhã;Localização;Instalações antigas..;8;;;;;;;;
1º de setembro de 2024;Fantástico;A cobertura incrível;O Wi-Fi insuficiente. Não é possível usá-lo para trabalhar;9;;;;;;;;
1º de setembro de 2024;Fantástico;Funcionários super cordiais e localização excelente!!!;Os travesseiros são muito duros.;9;;;;;;;;
31 de agosto de 2024;Bom;Cafe da manha mt bom. Recepcionistas atenciosos.;Ao lado do nosso quarto fica a area tecnica do andar. Estava acontecendo uma reforma na area tecnica. As 08 hs comeca um barulho de reforma. Nao conseguimos descansar direito.;7;;;;;;;;
31 de agosto de 2024;Bom;Café da manhã com variedades. Estrutura completa do hotel. Cama muito boa. TV com canais variados.;Limpeza nota 7. Não chega a ser sujo, mas com limpeza impecável. Elevador só funcionava 1. O chuveiro do quarto que fiquei (605) desarmava o disjuntor após 1min de banho. O quarto que meu amigo ficou (202) tinha construção na laje em frente, com muito barulho.;7;;;;;;;;
30 de agosto de 2024;Muito bom;Gentileza dos colaboradores;;8;;;;;;;;
30 de agosto de 2024;MARAVILHOSO;TUDO CERTO;NADA;8;;;;;;;;
30 de agosto de 2024;Hotel bem localizado e bem confortável. Recomendo!;Cafe da manhã muito bom, hotel bem localizado, cama muito confortavel,;Havia uma obra (não sei se no hotel ou no prédio adjacente) e ouvimos bastante barulho durante a nossa estadia.;9;;;;;;;;
28 de agosto de 2024;Hospedagem TOP, indico sem dúvida alguma.;Café da manhã dentro do esperado, para mim ótimo.;;;;;;;;;;
Localização excelente; com tudo perto e super seguro.;;;;;;;;;;;
Quarto confortável; limpo e grande.;;;;;;;;;;;
Funcionários maravilhosos; atenciosos; educados; prestativos e simpáticos. (recepção; restaurante; piscina;" limpeza...)""";Única coisa que incomodou foi a quantidade de insetos borrachudos no banheiro e quarto, pq não tinha explicação, então seria bom verificarem o pq está acontecendo esse tipo de coisa.;9;;;;
28 de agosto de 2024;muito bom;tudo foi bom;nada;8;;;;;;;;
26 de agosto de 2024;Bem localizado em Boa Viagem;Localização em Boa Viagem próximo a restaurantes(Chica Pitanga),supermercado e Igreja de Boa Viagem.;Conforto acústico, amenities no banheiro;;;;;;;;;
Indisponibilidade de upgrade para apto maior;;;;;;;;;;;;
"Restaurante """"pequeno"""" sem mesa disponível para o volume de hóspedes durante o café da manhã""";8;;;;;;;;;;;
26 de agosto de 2024;Fantástico;Ótima localização. A parte da piscina muito boa;;9;;;;;;;;
24 de agosto de 2024;Muito bom;Localização. Fica próximo a uma feirinha de artesanato. ;;;;;;;;;;
Café da manhã ótimo. ;;;;;;;;;;;;
Não usei a piscina;;" mas o local é muito bonito. Fiquei apenas 1 dia.""";O cofre é com sistema de cadeado. Bem antigo. E o cadeado não estava lá. Então não usei.;8;;;;;;;;
23 de agosto de 2024;Fantástico;Localização e atendimento dos funcionários, em especial a atendente Talita, da recepção.;Nada a comentar.;9;;;;;;;;
22 de agosto de 2024;Bom;Restaurante muito bom. Disponível 24h. Café da manhã maravilhoso. Jantamos no hotel duas noites e a comida estava boa, com bom preço.;Quando fiz minha reserva, avisei que chegaria na madrugada. Fiz contato com o hotel para saber quanto mais deveria pagar. Recebi a resposta pelo booking que não haveria cobrança adicional. Entretanto, só pude fazer check-in após pagar mais uma diária.;7;;;;;;;;
22 de agosto de 2024;Muito bom;Localização em frente a feirinha de Boa Viagem e próximo de mercados.;;;;;;;;;;
Rooftop é excelente;" muito lindo.""";Acho que deveria dar uma atenção nos pequenos detalhes.;;;;;;;;;;
Banheiro escuro e as paredes e box sujos;" cortina com bolor e o corredor com cheiro muito forte de mofo.""";8;;;;;;;;;;
22 de agosto de 2024;Breve, mas tudo dentro do esperado;Recepção 24 horas, proximidade ao aeroporto, ser beira mar, horário do café da manhã de 6h às 10h.;Preço, mas acredito que esteja dentro da média da capital.;8;;;;;;;;
22 de agosto de 2024;Amei voltaria;Hotel confortável;Gostei de tudo;9;;;;;;;;
21 de agosto de 2024;Custo benefício;Limpa e confortável;Colchão da cama;8;;;;;;;;
19 de agosto de 2024;Muito bom;tudo dentro da expectativa, ficamos muito satisfeitos;;8;;;;;;;;
19 de agosto de 2024;Poderia ser um 10, mas pecaram em algo muito trivial;Quarto super espaçoso e confortável. Café da manhã excelente. E as vistas do rooftop são ótimas.;A rede Wi-Fi é sofrível. E não digo para usar no smartphone para redes sociais, pois para isso podemos usar nosso pacote de dados. Mas a própria SmartTV disponível nos apartamentos não funciona pois a conexão é terrível de lenta. Se precisar usar um computador de trabalho então, esqueça.;8;;;;;;;;
18 de agosto de 2024;Muito bom;Café da manhã muito bom e bem variado. Equipe prestativa. Nas proximidades tem restaurantes e uma feirinha;Durante minha estadia estava havendo obra no hotel e tinha muito barulho no quarto durante todo o dia.;8;;;;;;;;
18 de agosto de 2024;Voltaremos com certeza;Café da manhã maravilhoso ;;;;;;;;;;
Quarto confortável ;;;;;;;;;;;;
"Piscina linda""";Gostei de tudo;;;;;;;;;;;
"Só achei que o estacionamento poderia ser gratuito""";9;;;;;;;;;;;
17 de agosto de 2024;Bom;Localização.;Da dificuldade que encontramos para usar os elevadores;;;;;;;;;
12 de agosto de 2024;Fantástico;Está próximo à praia, a comodação, restaurante e café da manhã.;;9;;;;;;;;
10 de agosto de 2024;Boa localização e atendimento;A localização é muito boa, na quadra do mar, com uma vista linda. Estão reformando a fachada, a piscina e o bar no rooftop, que já estava bem bonito.;;;;;;;;;;
Fica ao lado da feirinha de Boa Viagem; com muitas opções interessantes para compras e alimentação; além de apresentações culturais na Praça.;;;;;;;;;;
Mercado grande; farmácia e restaurante há uma quadra de distância.;;;;;;;;;;;
"Vale ressaltar que todos os funcionários do hotel (da recepção à limpeza) são muito educados e prestativos!""";O café da manhã tinha uma boa quantidadede itens, mas nada saboroso. Para quem gosta de doces, só havia dois tipos de bolos, e bem insosos...;8;;;;;;;;;;
10 de agosto de 2024;Ótima vista e localização, funcionários tops!;Gentileza de todos funcionários e honestidade (esqueci casaco e estava no achados e perdidos), deixei mala sem custo, roof top novo lindo demais, ótimo café da manhã, WC limpíssimo, cama confortável com itens limpíssimo tbm (pedi travesseiros e manta extra), localização 100% ótima, lado da feira, da igreja e da praia, deu pra ver o sol nascer do quarto ☀️😍;Barulho da britadeira (ok que estava reforma e era após 8h mas atrapalhou sono pós almoço);9;;;;;;;;
7 de agosto de 2024;Boa estadia;O quarto é amplo, com uma anti sala o que proporciona bastante comodidade. O chuveiro e cama muito bons. O café da amanhã tem bastante opções, a equipe sempre aposta. O andar que ficamos estava bem tranquilo.;;;;;;;;;;
A localização é ótima tem restaurantes; farmácia;" supermercado e uma feirinha próximos ao hotel.""";As janelas batem demais, como estava com vento muito forte elas bateram durante a noite toda. Isso é um ponto de melhoria.;9;;;;;;;;
7 de agosto de 2024;Bom custo x benefício;De tudo…;Hotel em obras e apesar de não nos incomodar acho que pessoas mais sensíveis vão se sentir importunadas;9;;;;;;;;
6 de agosto de 2024;Satisfeito de um modo geral, com exceção de não aceitar pet.;Razoavel, poucas variedades;Poderia aceitar pet no hotel, tive que deixar o meu em outro local;9;;;;;;;;
6 de agosto de 2024;Fantástico;Café da manhã ótimo, ótima localização.....funcionários atenciosos......de frente pro mar.....;O apartamento apesar de pequeno foi suficiente para atender o casal, confortável e com chuveiro elétrico (não dava pra ficar sem)....kkkk;9;;;;;;;;
6 de agosto de 2024;Bom;Atendimento dos funcionarios, localizacao.;Apesar de limpo o quarto tinha um cheiro estranho, por vezes deixamos a janela aberta pro vento circular um pouco e tirar aquele cheiro, toalhas muito velhas.;7;;;;;;;;
5 de agosto de 2024;Hotel com ótimo custo benefício;Hotel com ótimo custo benefício. Uma quadra da praia da Boa Viagem, o café da manhã farto e o quarto e o banheiro estavam bem limpos. O hotel é antigo e está passando por uma reforma. Mas a área da piscina na cobertura está linda.;A recepção está em reforma, tem um sofá horrível, assusta à primeira vista. Restaurante e quarto bem antigos.;8;;;;;;;;
5 de agosto de 2024;Bom custo benefício;Os funcionários foram simpáticos. Rápido atendimento no check in. ;;;;;;;;;;
"Quarto de bom tamanho. Ótimo ar condicionado e ótima vista. Cama ok.. café ok tb""";As instalações precisam de modernização. Chuveiro não funcionou direito( sem água quente). Apenas um travesseiro no quarto por pessoa. Sem outros no armário. A localização é boa, pena que fica do lado da praça em tem banda tocando. Muito barulho( entendo que não é culpa do hotel). Acho que as tomadas não funcionavam bem. Não consegui carregar o celular.;7;;;;;;;;;;
4 de agosto de 2024;Hotel muito bem localizado, com ótimos funcionários. Os colchões e travesseiros, no entanto, precisam ser trocados por o;Localização excelente;Colchões e travesseiros ruins;8;;;;;;;;
4 de agosto de 2024;Hotel muito bem localizado com ótima equipe de funcionários. Porém, os colchões e os travesseiros precisam ser trocados;Excelente localização;Colchão e travesseiros ruins;8;;;;;;;;
4 de agosto de 2024;Foi agradável sem suprezS;Localização;Estacionamento caro;8;;;;;;;;
3 de agosto de 2024;Agradável estadia.;O hotel oferece um bom café da manha. Equipe solícita. A área de piscina e restaurante no 17º andar é aprazível mas dependendo de dia ventoso torna-se desagradavel.;O serviço oferecido pela MarTur deixou muito a desejar quando de nossa ida para Porto de Galinhas. O local que ficamos, Peixe na Telha, não oferece infraestrutura tais como: vestiário, banho. Há uma serviço de lockers mas isolado . O rooftop com bar e restaurante talvez devesse ter maior proteção contra o vento.;8;;;;;;;;
3 de agosto de 2024;Muito bom;Café da manhã excelente;Limpeza interna Box azulejos nos rejuntes Preto tipo bolor;8;;;;;;;;
31 de julho de 2024;No geral, minha avaliação é um lugar bom.;Localização, conforto, ambiente.;O jantar poderia ter mais opções de pratos com valores mais acessível para hóspedes, sucos fracionados, etc. Tomadas do quarto só tinha 220, e as tomadas para acender as luzes é uma P várias luzes, seria bom uma tomada P luz mais sombria.;8;;;;;;;;
30 de julho de 2024;Uma ótima opção para hospedagem.;O Hotel é muito bem localizado, não fica longe do Aeroporto, é beira mar, com vista para Praia de Boa Viagem, tem uma feirinha bem legal todos os dias a noite ao lado do Hotel. Possui uma piscina no Rooftop e um bar bem legal, também com vista para o mar. Quartos amplos, limpos e aconchegantes.;Não gostei do fato do estacionamento ser terceirizado e termos que pagar por ele. Até porque o valor da diária não é tão baixo assim para não ter um estacionamento gratuito para hóspedes. Poderiam colocar aquecedor na piscina para não ficar tão gelada.;9;;;;;;;;
29 de julho de 2024;Muito boa !;Localização, quarto e atendimento muito bons;Estava em obra e sem um elevador;8;;;;;;;;
26 de julho de 2024;Ótima estadia ! Voltarei com certeza;Adorei a localização e a vista do mar . Todos os funcionários são extremamente educados e simpáticos;O elevador é muito concorrido;9;;;;;;;;
25 de julho de 2024;Muito bom;;Tinha um cheiro estranho no quarto.;8;;;;;;;;
24 de julho de 2024;Bom;Muito bom o café da manhã.;As fotos são bem atraentes. A realidade do quarto um pouco diferente.;7;;;;;;;;
23 de julho de 2024;Muito bom;Atendimento;;8;;;;;;;;
23 de julho de 2024;Fantástico;Localização excelente ao meu interesse.;;;;;;;;;;
Academia bem equipada e funcional.;;;;;;;;;;;;
Rooftop bonito; confortável;" com estrutura nova e moderna.""";;9;;;;;;;;
23 de julho de 2024;Comida deliciosa;O café da manhã , consegui comer o bolo Souza leão que eu tanto queria . Obrigada 🥰;;9;;;;;;;;
21 de julho de 2024;Muito bom;Quarto e area piscina;Área do café da manhã é pequena para o tamanho do hotel;8;;;;;;;;
18 de julho de 2024;Hotel agradabilíssimo;Funcionários cordiais, piscina linda no rooftop;Nada a reclamar;9;;;;;;;;
17 de julho de 2024;Passeio família;Funcionários atenciosos, localização boa, próximo ao aeroporto, vista bonita para o mar, área da.piacina muito legal, tudo novinho. Cozinha também muito boa, funciona a até tarde e tem comidas bem feitas e bem saborosas.;Estacionamento cobrado a parte não pelo valor, mas pois bao informaram com antecedência, acho que isso é falta de transparência com o cliente. Café da manhã bom, nada demais.;7;;;;;;;;
16 de julho de 2024;Ótima estadia , voltaria novamente no hotel .;Tudo muito bom, localização , ótimo café da manhã .;Demora do elevador e barulho pela manhã .;9;;;;;;;;
16 de julho de 2024;Foi boa, mas o hotel precisa renovar algumas coisas;O café da manhã é muito bom a localização também.;As camas já estão muito usadas o colchões estão pessimos;8;;;;;;;;
16 de julho de 2024;Fantástico;Localização e estrutura.;Não há o que declarar.;9;;;;;;;;
16 de julho de 2024;Muito bom;;Banheiros;8;;;;;;;;
15 de julho de 2024;Muito bom;Localização;Faltou shampoo;8;;;;;;;;
15 de julho de 2024;Ótima localização;;Apt antigos, ambientes precisando de reforma;7;;;;;;;;
13 de julho de 2024;Bom;Café da manhã ;;;;;;;;;;
"Localização""";Instalação antiga;;;;;;;;;;;
Colchão velho sem conforto;;;;;;;;;;;;
"Pelo de saco do hóspede anterior em todo local do banho""";7;;;;;;;;;;;
13 de julho de 2024;Relaxamos bem quando estava no hotel.;Tudo foi muito bom, serviço otimo.;Tendo calmas seperados.;8;;;;;;;;
11 de julho de 2024;Fantástico;Café da manhã excepcional.;;;;;;;;;;
Funcionários educadores e carismáticos.;;;;;;;;;;;;
"Colaboradora Daniele e Manuel são maravilhosos""";Quartos precisam melhorar um pouco;9;;;;;;;;;;
10 de julho de 2024;O hotel tem potencial, mas pode melhorar se caprichar mais na limpeza.;Gostei da cama, tv com alguns canais a cabo e nova, do tamanho do quarto. Funcionários gentis e prestativos.;Ficamos no quarto 402 e o cheiro de mofo estava forte. Aliás, a cortina muito suja e com mofo. A janela fez muito barulho com o vento e foi difícil dormir. ;;;;;;;;;
"A limpeza do banheiro precisa melhorar. Muito mofo na área do banho e descarca fazendo barulho o tempo todo.""";7;;;;;;;;;;;
10 de julho de 2024;Apto amplo e bem localizado em Boa Viagem;Localização em Boa Viagem ao lado da praça, próximo à praia, ao supermercado Super Bompreço e ao restaurante Chica Pitanga e a Igreja N. Sra. de Boa Viagem o que torna bastante acessível.;;;;;;;;;;
Funcionários atenciosos e eficazes.;;;;;;;;;;;;
"O apto 501é bastante amplo e silencioso já que não voltado à praça de Boa Viagem.""";Embora disponha de 03 elevadores, os mesmos sempre cheios e alguns não funcionantes.;;;;;;;;;;;
"As toalhas poderiam ser de melhor qualidade.""";9;;;;;;;;;;;
10 de julho de 2024;Ótimo custo benefício, localização prestigiada e segura .;Ótima localização, Quartos grandes , com vista para o mar , cama confortável e grande , o chuveiro sensacional (bem forte e quentinho ) , café da manhã com frutas , tapioca fresquinha , muitas opções de pães e bolos . Funcionários bem solícitos e prestativos .;Senti falta de uma televisão smart TV para ter acesso ao Netflix , pois na minha acomodação tinha apenas tv a cabo.;9;;;;;;;;
9 de julho de 2024;Foi uma hospedagem de transito;Hotel muito bem localizado, porém o café da manha estava inadequado;localização e simpatia do pessoal do atendimento;8;;;;;;;;
6 de julho de 2024;Muito bom;Hotel com um bom café da manhã.;Quartos são antigos , cama muito desconfortável, toalhas e lençóis muito antigos;8;;;;;;;;
5 de julho de 2024;Boa;Localização;Falta de simpatia da maioria dos funcionários;8;;;;;;;;
5 de julho de 2024;Satisfatório;Localização;Não tenho oque reclamar;8;;;;;;;;
4 de julho de 2024;Fantástico;Funcionários educados, comida boa, ótima localização bem próxima da praia.;;9;;;;;;;;
2 de julho de 2024;Boa;Rooftop e servico de restaurante entregue no quarto;Elevadores (2) em manutenção;8;;;;;;;;
2 de julho de 2024;Nós gostamos do hotel pela localização e custo benefício;Localização é da equipe da recepção;Serviço de quarto, não trocaram as toalhas, não tem tomadas perto da cama e em outros setores do quarto para carregar celular;7;;;;;;;;
1º de julho de 2024;Fantástico;Localização, café da manhã e presteza dos funcionários.;Só havia um elevador funcionando por conta de uma reforma.;9;;;;;;;;
29 de junho de 2024;custo-benefício razoável.;Café da manhã bem típico da região. Rooftop ficará top após reforma.;reforma ainda em progresso dificulta o conforto.;7;;;;;;;;
29 de junho de 2024;Razoável.;Boa localização, café da manhã bom.;Somente 2 elevadores funcionando. Um caos. Instalações antigas. Toalhas puídas.;7;;;;;;;;
25 de junho de 2024;Ótima pedida para Boa viagem e Recife;Funcionários muitos simpáticos e localização;;9;;;;;;;;
25 de junho de 2024;Muito boa, só o barulho da obra no hotel me incomodou;A localização excelente, perto de tudo.;O hotel está em reforma o barulho da obra as 8:00 horas da manhã incomodou muito.;7;;;;;;;;
25 de junho de 2024;Bem localizado em Boa Viagem;Localização em Boa Viagem;;;;;;;;;;
"Próximo ao Chica Pitanga""";Amenities/ Banheiro;;;;;;;;;;;
"Som alto na Praça de Boa Viagem ao lado""";8;;;;;;;;;;;
25 de junho de 2024;Excelente para quem procura praticidade e preço justo;Localização, ao lado da feirinha;Acústica muito ruim , dormi mal devido ao barulho na rua;9;;;;;;;;
22 de junho de 2024;Park hotel Recife;Localização, a piscina no terraco com bela vista, a academia também está espetacular, café da manhã, o bufê a noite muito bons, e o atendimento tb.;Manutenção no escoamento da pia no banheiro, e um ruído de máquina que tremia a parede tb no banheiro.;9;;;;;;;;
18 de junho de 2024;Desapontado;A parte mais interessante é o ótimo café da manhã servido no hotel, e boa localidade;Estacionamento terceirizado, falta de comunicação de melhorias (obras), atendimento inicial da administração, sem empatia com os hóspedes e parte elétrica do chuveiro.;7;;;;;;;;
17 de junho de 2024;Bom;Quarto com vista para o mar;Apenas um elevador funcionando. Outros dois em manutenção e com hotel cheio demorava muito.;7;;;;;;;;
16 de junho de 2024;Fantástico;Restaurante e quarto e ruftop;;9;;;;;;;;
15 de junho de 2024;Hotel hermoso;Localización muy buena. Piscina hermosa.;;9;;;;;;;;
12 de junho de 2024;Confortável e bem próximo ao ideal.;Conforto, localização e atendimento!;Preço;9;;;;;;;;
10 de junho de 2024;Muito bom;;Não gostei do atendimento de alguns funcionários , tanto da recepção quanto dos outros lugares, no mais o hotel é ótimo , limpo e confortável .;8;;;;;;;;
10 de junho de 2024;Ótimo hotel, será sempre minha prioridade em Recife.;Quartos amplos e confortáveis. Café da manhã bem completo.;Um elevador parado causou lentidão na hora do café da manhã.;9;;;;;;;;
8 de junho de 2024;Muito bom;Localização excelente, café da manhã ótimo, apesar de obras no hotel e elevadores quebrados, a limpeza estava ok. Falta comunicação entre turnos e monitoramento da piscina pela recepção.;Elevadores quebrados e sem solução.;8;;;;;;;;
7 de junho de 2024;Bom;Atendimento na recepção foi ótimo e o quarto estava muito limpo.;A área externa ao quarto, o andar inteiro estava com mal cheiro muito forte. ;;;;;;;;;
"O café da manhã poderia ter mais variedades.""";7;;;;;;;;;;;
6 de junho de 2024;VIAGEM COM FAMÍLIA - FDS DE LAZER;BOM CAFÉ DA MANHÃ, COLABORADORES GENTIS, LOCALIZAÇÃO PRIVILEGIADA,;CHUVEIRO, COM DISJUNTOR ENTRE OPÇÕES QUENTE OU FRIO, SEM POSSIBILIDADE DE REGULAR TEMPERATURA, DEIXAVA AGUA MUITO QUENTE OU MUITO FRIA. ESPERO QUE SEJA SANADO EM BREVE.;9;;;;;;;;
6 de junho de 2024;Bom;Proximidade da Praia de Boa Viage e dos negocios no entorno;A Televisão não se concetava de jeito nenhum.;7;;;;;;;;
4 de junho de 2024;Satisfatória;Café da manhã, instalações, bom chuveiro;Wi-Fi horrível;8;;;;;;;;
4 de junho de 2024;Bom;Localização;Congestionamento dos elevadores;7;;;;;;;;
4 de junho de 2024;Bom;;As instalações do banheiro. ;;;;;;;;;
Banheiro sem box e sem balcão na pia. Quando perguntei ao recepcionista ele disse que todas as instalações eram do mesmo padrão; porém fiquei hospedada ano passado; numa reserva inferior a desse ano;" e o banheiro tinha box e balcão.""";7;;;;;;;;
3 de junho de 2024;Boa experiência! Voltaria!;Localização e café da manhã para mim foram os pontos altos! Bem em frente à praia e próximo à feirinha de boa viagem me senti segura para caminhar por ali por pertinho a noite mesmo estando sozinha. ;;;;;;;;;;
"O Café tinha várias opções e tapioca fresquinha feita na hora. Todos os atendentes também eram muito cordiais!""";As instalações do apto são um pouco antigas, o banheiro fica bastante úmido e tinham alguns azulejos rachados! Nada demais, mas dá pra melhorar! Tive um problema com a minha TV que parou de funcionar só pegando via internet e isso não conseguiu ser resolvido!;8;;;;;;;;;;
2 de junho de 2024;Localização boa, café da manhã ótimo, vista do quarto péssima;Do café da manhã e da localização;Da vista do quarto, ficamos no quarto onde era de frente para outro prédio, sem vista nenhuma da praia, decepcionante;8;;;;;;;;
30 de maio de 2024;A vista e a sensação de segurança valeu a pena.;A localização é muito boa, tem uma vista formidável, os funcionários são bem educados. O ambiente tem espaço para famílias de férias ou pessoas a trabalho.;Não gostei dos travesseiros, a noite de sono é importante para quem procura hotéis estando a trabalho. E a bancada do quarto é desconfortável para uso de laptop.;8;;;;;;;;
29 de maio de 2024;Agradavel;apesar da area da piscina estar em reforma estava muito agradavel.;Elevadores em manutenção causando desconforto.;7;;;;;;;;
29 de maio de 2024;Fantástico;Limpeza, cortesia dos funcionários, localização;TD estava otimo;9;;;;;;;;
27 de maio de 2024;Hotel antigo com excelente localização.;Localizacao muito boa, fica ao lado da feirinha em Boa Viagem e a uma quadra da praia e tem mercado próximo.;;;;;;;;;;
Atendimento na recepção muito simpático.;;;;;;;;;;;;
Café da manhã excelente com variedade de comida.;;;;;;;;;;;;
"A piscina recém reformada ficou excelente.""";Falta detetizacao e melhor limpeza. Havia formigas no banheiro da suíte e nos quartos inclusive sobre a cama. A privada e box precisam de melhor limpeza.;;;;;;;;;;;
As janelas faziam barulho com o vento da madrugada.;;;;;;;;;;;;
"O bar da piscina poderia ter horário de atendimento mais extenso. Abriu das 11h e fechou 17h.""";7;;;;;;;;;;;
26 de maio de 2024;Gostei bastante da estadia;Ótima localização, super higienizado e boa estrutura.;;9;;;;;;;;
26 de maio de 2024;Custo benefício ok para o preço, café da manhã excelente com várias opções, banheiro pequeno e antigo.;Vista para mar excelente;Banheiros;7;;;;;;;;
26 de maio de 2024;Classe turística e bons serviços em Recife.;Boa localização e café da manhã variado.;Ficamos num quarto ao lado de uma torre de ar condicionado ruidosa.;8;;;;;;;;
25 de maio de 2024;Localização excelente.;O hotel é muito bem localizado, próximo do aeroporto, ao lado da pracinha de Boa Viagem e da praia. O café da manhã é bem servido e fazem tapiocas variadas na hora.;Do acesso ao rooftop, porém o hotel já está trabalhando para melhorar isso.;9;;;;;;;;
24 de maio de 2024;Muito bom;A área da piscina é a melhor parte! Foi reformada e está linda!;Limpeza;8;;;;;;;;
22 de maio de 2024;Fantástico;Quartos limpos, vista é um dos pontos chave, rooftop é muito agradável. Café da manhã variado e muito bom. Atendentes são solícitos.;Os carros que vem buscar a gente no hotel não podem subir até a porta, porque geralmente os carros param na frente do hotel e não saem. Aí não tem passagem para pegar o hóspede e sair pela zona coberta. Em dia de chuva, ou quando está com malas, isso se torna um problema.;9;;;;;;;;
22 de maio de 2024;Ótima localização e atendimento;Da piscina, localização, atendimento dos funcionários, café da manhã top .;Poderia ter opção de travesseiros mais baixos;9;;;;;;;;
22 de maio de 2024;Muito bom;Localização Perfeita , café muito bom e funcionarios excelentes.;O quarto não tinha cobertor , cortinas um poucos sujas e muitos insetos de banheiro e cheiro estranho . Apesar destes fatores voltaria a ficar por lá . É somente para registrar;8;;;;;;;;
21 de maio de 2024;Fantástico;Localização é ótima. Custo benefício muito bom.;;9;;;;;;;;
