data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;
"Faltou tomadas ao lado da cama""";7;;;;;;;;;;;;;;;;;;;;;;;;;;
20 de novembro de 2023;Muito bom;Localização ótima, funcionários educados, café da manhã;O vaso sanitário estava vazando água, cama pouco confortável, o elevador de acessibilidade da recepção não estava funcionando quando precisei;8;;;;;;;;;;;;;;;;;;;;;;;
19 de novembro de 2023;Muito boa.;A localização é ótima, café da manhã muito bom e saboroso. Os funcionários são bem atenciosos. Recomendo;Não tinha blindex no banheiro, era uma cortina grossa, mas não atrapalhou e estava limpa. O ar condicionado apresentou problema na primeira noite, mas depois ficou normal.;;;;;;;;;;;;;;;;;;;;;;;;
"Poderiam disponibilizar cobertor mais grosso.""";9;;;;;;;;;;;;;;;;;;;;;;;;;;
16 de novembro de 2023;Custo-beneficio e localização;A localização é muito boa, perfeito de restaurante, farmácia, padarias. E bem pertinho da praia.;O quarto não estava bem limpo, pareceu só uma arrumada por cima.;8;;;;;;;;;;;;;;;;;;;;;;;
15 de novembro de 2023;Razoável, gostei do café da manhã !;Prejudicado;Espaço acomodação;7;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2023;O meu objetivo foi realizado com sucesso e o hotel fez parte disso.;A localização do hotel é excelente, o café da manhã é bom, os funcionários são excelentes. Dentro da minha proposta de ficar, apenas 2 noites, foi ok, mas se fosse para mais diárias, acho que ia sentir falta de mais conforto no quarto e banheiro.;Poderia ser um pouco melhor a área comum do hotel. na parte de fora mesmo, qdo chove, leva muito tempo para as mesas e cadeiras serem enxutas, temos que ficar em pé.Isso aconteceu comigo e minha irmã, o lounge estava cheio e nós ficamos em pé do lado de fora esperando nosso taxi.;7;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2023;Mediana;Café da manhã normal sem maiores expectativas, o que incomodou foi o preço da água de 1.5l por R$ 10,00 e o valor da long neck R$ 14,00, bastante fora da realidade até para hotel.;Pode melhorar no valor das bebidas descrito acima, de resto tudo dentro do esperado.;7;;;;;;;;;;;;;;;;;;;;;;;
12 de novembro de 2023;Bom;A localização e o caféda manhã.;Quarto com cheiro de umidade. Com aranhas pequenas;7;;;;;;;;;;;;;;;;;;;;;;;
11 de novembro de 2023;Muito bom;Localização, limpeza e gentileza dos funcionários;Não ser possível abrir a janela do quarto;;;;;;;;;;;;;;;;;;;;;;;;
Muito barulho de obras nos três últimos dias de estadia;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elevador pequeno e antigo;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Algumas roupas de cama e de banho com aspecto de muito usado.""";8;;;;;;;;;;;;;;;;;;;;;;;;;;
8 de novembro de 2023;Bom;O café da manhã era bem gostoso. Bem servido. E achei ótimo que ele começa às 6h30.;;;;;;;;;;;;;;;;;;;;;;;;;
"Achei a cama bem confortável.""";Achei o chão do quarto não muito limpo. ;;;;;;;;;;;;;;;;;;;;;;;;;;
"Me fez falta uma escrivaninha e luminária ao lado da cama.""";7;;;;;;;;;;;;;;;;;;;;;;;;;;
7 de novembro de 2023;Muito bom;Localização e limpeza. Tem um varal no banheiro.;Quarto muito pequeno e não tem box, somente cortina. Pedi cama de casal e havia duas camas de solteiro juntas.;8;;;;;;;;;;;;;;;;;;;;;;;
6 de novembro de 2023;O café é topizeira;Localização e café da manhã;Quarto pequeno. Vista coberta por prédios velhos.;7;;;;;;;;;;;;;;;;;;;;;;;
3 de novembro de 2023;Muito bom;Localização muito boa. O hotel atendeu plenamente minhas expectativas e necessidades. Funcionárias simpáticas. As camas tinham bons colchões, confortável. O ar funcionou bem.;Nenhuma reclamação a fazer.;8;;;;;;;;;;;;;;;;;;;;;;;
31 de outubro de 2023;Custo beneficio otimo;Ótima localização, otimo staff. Valeu a pena.;Um pouco barulhento na rua;8;;;;;;;;;;;;;;;;;;;;;;;
27 de outubro de 2023;Bom;Café da manhã razoável pelo preço;Cheiro dos quartos e banheiros;7;;;;;;;;;;;;;;;;;;;;;;;
23 de outubro de 2023;Ficaria novamente;localização muito boa, fazem tapioca na hora no cafe da manha, restaurantes perto do hotel, praia perto do hotel, bairro bem tranquilo.;solicitei e confirmaram que me deixariam no andar superior com vista para a cidade e me colocaram no 1 andar. Depois de conversar muito e quebrar a cabeça, me colocaram no 2 andar e depois de falar com a gerente, me colocaram no 4 andar. ;;;;;;;;;;;;;;;;;;;;;;;;
Nos dias que estavamos la; 17-20; o hotel estava passando por reforma e o barulho alto de quebra-quebra era as 11-16;" as vezes indo ate as 17h.""";7;;;;;;;;;;;;;;;;;;;;;;;
18 de outubro de 2023;Bom custo benefício, mas sem vista para o mar.;Quarto e banheiro muito bom!;O elevador era bem antigo e a persiana do quarto não estava abrindo, mas nada que tenha afetado a estadia.;9;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2023;Estadia boa;Quarto bem arrumado e limpo;muito pequeno, quase não da para se mexer, banheiro com cortina ao invés de box no banheiro, chuveiro elétrico.;7;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2023;Recomendo. Atendimento 10;Banheiro grande e tudo bem limpo;;9;;;;;;;;;;;;;;;;;;;;;;;
16 de outubro de 2023;Muito bom;A recepção muito atencioso, limpo, sossegado,, localização boa, café d' amanhã muito bom;Não tem o que falar;8;;;;;;;;;;;;;;;;;;;;;;;
13 de outubro de 2023;Boa localização a um custo razoável;Custo razoável e muito boa localização, na praia de Boa Viagem, a cerca de 300 m do mar.;Banheiro um pouco pequeno, apertado. Café da manhã bom, mas poucas opções, tem como ser melhor mesmo simples. Ruídos de aparelhos de ventilação eram um tanto incomodativos, principalmente no refeitório.;7;;;;;;;;;;;;;;;;;;;;;;;
10 de outubro de 2023;Bom custo beneficio, ótima localização. Perto de ótimos restaurantes e 2 quadras da praia. Bom cafe da manha.;Hotel bem localizado. staff simpatico. Quarto grande, chuveiro bom. Acho um bom custo benefício.;O papel de parede estava descolando e a janela do wc estava quebrada.;8;;;;;;;;;;;;;;;;;;;;;;;
9 de outubro de 2023;Bom;Fomos bem recepcionados, o café da manhã é muito bom, tem muita variedade, localização boa e custo benefício muito bom também.;O hotel estava em obra, ou algo assim. As 7h da manhã começava a barulheira, pra quem saiu de muito longe para poder descansar um pouco de férias, isso foi perturbador. Poderiam ter avisado que o hotel estava em manutenção.;7;;;;;;;;;;;;;;;;;;;;;;;
8 de outubro de 2023;Estadia bem confortável, localização perfeita e excelente café da manhã .;Bem confortável;Quarto bem pequeno;9;;;;;;;;;;;;;;;;;;;;;;;
3 de outubro de 2023;Ótimo custo benefício, ótima localização, acomodação confortável, limpa, simples mas com o necessário.;Solicitei um quarto “sem cheiros” somos alérgicos;;;;;;;;;;;;;;;;;;;;;;;;;
Ausência de estacionamento; tivemos dificuldade para estacionar o carro;" após 3 voltas pela região tivemos a “sorte” de um dos carros estar de saída..""";8;;;;;;;;;;;;;;;;;;;;;;;;
3 de outubro de 2023;Bom custo benefício devido a localização e preço.;Localização muito boa e funcionários bem simpáticos.;Limpeza. Quarto estava sujo no armário (onde achei um cotonete usado) e na cabeceira da cama, além de sujo tinha um palito de dente usado. Não consegui colocar a TV para funcionar, ligava, mas os canais não pegavam.;8;;;;;;;;;;;;;;;;;;;;;;;
2 de outubro de 2023;Ótimo custo/benefício;Localização, atendimento, café da manhã muito bom, bares e restaurantes vizinhos.;Da falta de estacionamento. É um problema, pq passamos muito tempo rodando, procurando onde deixar o carro.;9;;;;;;;;;;;;;;;;;;;;;;;
2 de outubro de 2023;Muito bom;Cama grande, quarto confortável. Localização boa, excelente custo benefício.;Falta de flexibilidade do hotel em não possuir meia diária.;8;;;;;;;;;;;;;;;;;;;;;;;
1º de outubro de 2023;Bom;Localização!!!!;Limpeza, zoada nos corredores e funcionários falando muito alto. Como também um bar/restaurante e pizzaria, com música ao vivo até as 1:30 da madrugada.;7;;;;;;;;;;;;;;;;;;;;;;;
28 de setembro de 2023;Necessário melhorias;Café da manhã e funcionários hipereducados;do restante;7;;;;;;;;;;;;;;;;;;;;;;;
21 de setembro de 2023;boa localização, café da manhã perfeito mas infelizmente a tv não era smart;Da cama e travessesiros;Não gostei pois a Tv não era Smart;8;;;;;;;;;;;;;;;;;;;;;;;
19 de setembro de 2023;Hotel bem localizado e com excelente café da manhã.;Hotel muito bem localizado, cafá da manhã bem completo e delicioso. Bares e restaurantes no outro lado da rua.;Falta de estacionamento e o quarto que ficamos era bem pequeno. Falta uma luz indireta, luminária para leitura pra deixar o quarto mais aconchegante.;7;;;;;;;;;;;;;;;;;;;;;;;
14 de setembro de 2023;Ok pelo valor;Café da manhã muito bom com bastante opção.;Estávamos em um quarto triplo porém o hotel se negou a oferecer 3 chaves, tivemos que ficar deixando o cartão na recepção.;7;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2023;Regular;Cama confortável. Boa localização.;Mau cheiro ao entrar no quarto, box não fecha completamente e o banheiro fica cheio de água, sem garagem para o carro. No último dia havia uma barata no quarto.;7;;;;;;;;;;;;;;;;;;;;;;;
8 de setembro de 2023;Estadia satisfatória;Excelente café da manhã.;;9;;;;;;;;;;;;;;;;;;;;;;;
6 de setembro de 2023;Muito bom;O café da manhã reforçado e o atendimento das recepcionistas Luana e Larissa. Atenciosas, pró-ativas, simpáticas e muito dispostas a ajudar com qualquer informação e dicas sobre a cidade.;Os barulhos de obras e o elevador quebrado.;8;;;;;;;;;;;;;;;;;;;;;;;
31 de agosto de 2023;Fantástico;Ótima localização. Acomodações e banheiros bem amplos. Café da manhã bem farto.;Tive problemas com o cartão de acesso, pois estava faltando energia.;9;;;;;;;;;;;;;;;;;;;;;;;
26 de agosto de 2023;um pouco desleixado, café incrível;o hotel é bem localizado e dá pra fazer muitas coisas a pé e o uber também não fica caro. O local parece ser bem limpo e organizado por fora, porém por dentro as coisas não são tão novas assim. ;;;;;;;;;;;;;;;;;;;;;;;;;
O café da manhã é muuuuito bom;" a gente que viaja assim ama quando o café é bom.""";quando cheguei no quarto, a cama de casal estava com o pé quebrado. nos mudaram de quarto mas fiquei em um de frente com a rua, não gostei do barulho. As cortinas tinham um pouco de mofo e o banheiro fedia muito pelo encanamento antigo acredito. isso deixou minha experiência um pouco frustrada e não sei se voltaria no hotel.;7;;;;;;;;;;;;;;;;;;;;;;;;
26 de agosto de 2023;bom custo benefício, café da manhã otimo e funcionários bem treinados e educados;o café da manhã, muitas opções!!;;7;;;;;;;;;;;;;;;;;;;;;;;
25 de agosto de 2023;Ótimo custo benefício;Ótima localização, café da manhã gostoso, porém poucas opções, tem elevador, secador e ferro de passar, cama confortável, chuveiro quente e ar funcionando certinho. Excelente atendimento e educação de todos.;Quarto pequeno, janela não parava aberta, não fazem a devida limpeza e troca.;7;;;;;;;;;;;;;;;;;;;;;;;
23 de agosto de 2023;Bom;Café da manhã muito bom, localização boa.;Box do banheiro com cortina, controles do ar e da tv com pilhas fracas.;9;;;;;;;;;;;;;;;;;;;;;;;
16 de agosto de 2023;Localização Nota 10;A localização é o café da manhã que foi muito bom.;Não ter estacionamento e principalmente o mal cheiro que saia da pia do banheiro e do cheiro de mofo do quarto.;7;;;;;;;;;;;;;;;;;;;;;;;
16 de agosto de 2023;Fantástico;Do quarto, do café da manhã;;9;;;;;;;;;;;;;;;;;;;;;;;
15 de agosto de 2023;Gostamos da experiência em se hospedar neste aconchegante.;A cama é confortável, o café da manhã é gostoso, o banho de ducha também é agradável. Os funcionários são gentis e o tratamento recebido por eles dou nota 10.;A princípio nos colocaram em um quarto um pouco ruim. O piso da parte dentro do chuveiro é de porcelanato, o q consideramos perigoso, com risco de queda.;7;;;;;;;;;;;;;;;;;;;;;;;
15 de agosto de 2023;Confortável;Instalações confortáveis pra o que se propõe, boa localização e funcionários atenciosos.;Quarto e café da manhã;9;;;;;;;;;;;;;;;;;;;;;;;
14 de agosto de 2023;Muito bom;Da localização.;Não ter estacionamento.;8;;;;;;;;;;;;;;;;;;;;;;;
11 de agosto de 2023;muito boa;o café da manha era muito bom. a localizacao tb era boa, perto do escritorio onde fui a trabalho e perto da praia, o que possibilitava uma caminhada nas horas vagas.;achei o travesseiro ruim;8;;;;;;;;;;;;;;;;;;;;;;;
9 de agosto de 2023;Maravilhosa;Café da manhã maravilhoso, equipe da copa nota mil. Recepção nota mil. Manobristas super atenciosos.;Da chuva que atrapalhou nossos passeios.;9;;;;;;;;;;;;;;;;;;;;;;;
3 de agosto de 2023;Ótimo custo-benefício, perto da praia;Perto da praia, quarto confortável e limpo. Ar condicionado e tv funcionaram perfeitamente, e a cama era confortável. O café da manhã tinha tudo que precisávamos e os funcionários eram solícitos e simpáticos. Ficaria lá novamente. Recomendo.;;8;;;;;;;;;;;;;;;;;;;;;;;
31 de julho de 2023;Satisfeito.;Satisfeito com a hospedagem.;Pagar taxa extra para ter meu pet no quarto.;8;;;;;;;;;;;;;;;;;;;;;;;
25 de julho de 2023;Bom;Gostei muito da localização, café da manhã, atendimento e limpeza.;Elevador ruim.;9;;;;;;;;;;;;;;;;;;;;;;;
16 de julho de 2023;Bom;Localização;Não tinha estacionamento;7;;;;;;;;;;;;;;;;;;;;;;;
16 de julho de 2023;Bom;O cafe café da manhã é bom.;As fotos da habitação que reservei não condiz com a realidade.;7;;;;;;;;;;;;;;;;;;;;;;;
16 de julho de 2023;Fantástico;Muito bom;;9;;;;;;;;;;;;;;;;;;;;;;;
15 de julho de 2023;Bom;O quarto e aconchegante;Da janela que estava aberta e do ar-condicionado muito encima da cama pra quem tem renite não aconselho.;7;;;;;;;;;;;;;;;;;;;;;;;
14 de julho de 2023;Muito bom;Localização perto do aeroporto;Um cheiro forte quando entramos no quarto.;8;;;;;;;;;;;;;;;;;;;;;;;
13 de julho de 2023;Bom custo-benefício;Boa localização, café da manhã, funcionários atenciosos, limpeza, cama confortável.;No banheiro faltavam acessórios para pendurar as toalhas e algumas vezes o cheiro de esgoto retornava para o quarto.;8;;;;;;;;;;;;;;;;;;;;;;;
12 de julho de 2023;Me atendeu no momento por comodidade mas procuraria outro em uma próxima.;Atendimento muito bom, podia entrar com água e outros consumos básicos no quarto. Limpo, acondicionado e camas segundo o esperado.;Não havia água quente, havia um chuveiro elétrico mas não funcionava bem, as instalações do banheiro não correspondiam às fotos, Box de cortina e não havia ventilação no wc.;7;;;;;;;;;;;;;;;;;;;;;;;
4 de julho de 2023;Local barulhento, claro , e cama desconfortável .;A localização era boa. Havia vários restaurantes próximas. A recepcionista bem solicita e educada.;O quarto muito barulhento. a cortina não fechava de forma correta , usavam cortina antiga tipo corta luz. o banheiro pequeno e cortina no lugar de Boxe. Juntavam 2 camas de solteiro para formar uma de casal e isso fazia que entre as camas ficasse um buraco. o frigobar antigo. a chave o tempo todo desmagnetizava e café da maior razoável .;7;;;;;;;;;;;;;;;;;;;;;;;
3 de julho de 2023;Estadia boa, hotel muito bem licalizado, muito proximo da praia, com funcionários muito cordiais e simpaticos.;O quarto em que fiquei era amplo;O quarto em fiquei tinha uma cheiro forte de poeira. E o banheiro com muito cheiro de retorno de esgoto. E por fim, o banheiro não tinha box, tinha cortinas. Um quarto de primeiro andar. ;;;;;;;;;;;;;;;;;;;;;;;;
Contudo; o hotel encontra-se passando por reformas;" acredito que essas questões possam ser melhoradas. Inclusive falei na recepção sobre.""";7;;;;;;;;;;;;;;;;;;;;;;;;
8 de junho de 2023;Muito bom;a localização é ótima, funcionários bem prestativos e educados, café da manhã variado, quartos limpos.;senti falta de um espelho para ver o corpo inteiro pq só tem o do banheiro e é alto. Além disso, o hall de entrada dos quartos tinha MUITO cheiro de cigarro, embora em todas as portas tivesse o aviso de proibido.;8;;;;;;;;;;;;;;;;;;;;;;;
5 de junho de 2023;Muito bom;Localização;Café da manhã;8;;;;;;;;;;;;;;;;;;;;;;;
5 de junho de 2023;Fantástico;Localização ótima, equipe excelente, hotel bem quitado, uma ótima opção custo-beneficio.;Não possui estacionamento, porém os funcionários auxiliaram na acomodação dos carros com muita boa vontade e cuidado.;9;;;;;;;;;;;;;;;;;;;;;;;
29 de maio de 2023;Bom;Localização ;;;;;;;;;;;;;;;;;;;;;;;;;
"Comodidade""";Cortina no box;;;;;;;;;;;;;;;;;;;;;;;;;;
"Quarto pequeno""";8;;;;;;;;;;;;;;;;;;;;;;;;;;
26 de maio de 2023;Excelente custo benefício, especialmente se você quiser ir para a praia;localização perfeita, muito próxima da praia;Achei a cama e travesseiros não muito confortáveis;9;;;;;;;;;;;;;;;;;;;;;;;
24 de maio de 2023;O basico suficiente e com beneficio de acordo.;o custo beneficio é excelente. valor acessivel e o suficiente para hospedagem basica.;foi tudo dentro do esperado.;7;;;;;;;;;;;;;;;;;;;;;;;
22 de maio de 2023;Muito bom;Gostei bastante do hotel, simples, mais boa instalação. Café da manhã super completo, funcionárias educadas e atenciosas! Localização muito boa.;;8;;;;;;;;;;;;;;;;;;;;;;;
17 de maio de 2023;a única coisa q teve de bom foi o atendimento da recepcionista Teresa , muito atenciosa msm estando sozinha as 23 hrs da;de nada;café da manhã bem fraco , comidas do dia anterior , as meninas da cozinha bem solicitas oferecendo tapioca q era o q tinha de novo pra oferecer, o ar condicionado não esfria, o chuveiro a água sai bem fraquinha e o pior de tudo eles estão em reforma , um barulho absurdo , o barulho se agravou no dia de ir embora em cima msm do quarto q eu estava . péssima experiência, nunca mais passo nem na porta.;7;;;;;;;;;;;;;;;;;;;;;;;
17 de maio de 2023;Rever Propaganda;Localização, atenção dos funcionários, limpeza do quarto.;O quarto da foto na hora da locação corresponde ao Quarto Superior, porém quando chega lá locação é de um quarto Standard que é muito inferior ao da foto.;7;;;;;;;;;;;;;;;;;;;;;;;
13 de maio de 2023;O custo benefício vale a pena, mas se procura quarto maior, recomendo procurar outro lugar;Ótima localização;;;;;;;;;;;;;;;;;;;;;;;;;
Boa vista;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bom custo benefício""";Atendimento mediano;;;;;;;;;;;;;;;;;;;;;;;;;;
Quarto bem pequeno;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Muito barulho durante o dia( estava em obras)""";7;;;;;;;;;;;;;;;;;;;;;;;;;;
12 de maio de 2023;Hotel muito bom;Hotel fica numa localização muito boa. Perto da praia, bares, restaurantes, farmácias e outros. Quarto hospedado compacto para um excelente repouso. Café da manhã excepcional, com tudo de necessário a uma boa refeição pela manhã.;Gostei de tudo, porém só uma observação no quarto 503 que au ligar a torneira da pia do banheiro, um odor forte exalava no quarto. Fora isso, tudo de bom;8;;;;;;;;;;;;;;;;;;;;;;;
11 de maio de 2023;Fantástico;Restaurantes, bares e pizzarias em frente.;;;;;;;;;;;;;;;;;;;;;;;;;
"Os funcionários são prestativos e é próximo da praia""";;9;;;;;;;;;;;;;;;;;;;;;;;;;
11 de maio de 2023;Bom custo beneficio;Localizacao;Cafe da manha;7;;;;;;;;;;;;;;;;;;;;;;;
8 de maio de 2023;Muito bom;funcionários prestativos;;8;;;;;;;;;;;;;;;;;;;;;;;
8 de maio de 2023;Muito bom;O quanto e bom, roupas limpas, localização excelente, funcionários bom, só precisa cuidar do café da manhã, e bem fraco!;Só do café da manhã, o restante e bom;8;;;;;;;;;;;;;;;;;;;;;;;
3 de maio de 2023;Funcionários educados, principalmente as moças do café e que são tbm da limpeza…muito simpáticas;atendimento e limpeza;o café da manhã não é variado e se acabar algo, eles não repõem mais, ficando alguns hóspedes que tomam café mais tarde sem muitas opções! isso n existe!!;7;;;;;;;;;;;;;;;;;;;;;;;
2 de maio de 2023;Uma boa relação custo benefício.;Excelente localização.;O quarto poderia ter uma cama melhor e estar mais bem cuidado.;7;;;;;;;;;;;;;;;;;;;;;;;
2 de maio de 2023;Muito bom;Tudo limpo, novo e organizado. Bom café da manhã e boa localização.;Na frente do hotel tem um bar um pouco barulhento.;;;;;;;;;;;;;;;;;;;;;;;;
"No check in tivemos uma pequena confusão em relação a cama de solteiro nos quartos.""";8;;;;;;;;;;;;;;;;;;;;;;;;;;
30 de abril de 2023;Bom;Localização boa, café da manhã muito bom! Só não gostei do conforto no quarto, não é compatível com as imagens do boking, não tem estacionamento também, mas foi até viável pra viagem!;;7;;;;;;;;;;;;;;;;;;;;;;;
29 de abril de 2023;Ótima localização, conforto e preço justo;Custo-benefício ;;;;;;;;;;;;;;;;;;;;;;;;;
Ar condicionado esfria bem;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cama confortável ;;;;;;;;;;;;;;;;;;;;;;;;;;;
A 1 quadra da praia de Boa Viagem;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tapioca feita na hora""";Café da manhã podia melhorar;8;;;;;;;;;;;;;;;;;;;;;;;;;
28 de abril de 2023;Muito bom;Localização, café da manhã;Quarto muito pequeno;8;;;;;;;;;;;;;;;;;;;;;;;
25 de abril de 2023;Fantástico;Localização com restaurantes próximos e com comida muito boa.;Não ter estacionamento.;9;;;;;;;;;;;;;;;;;;;;;;;
25 de abril de 2023;Bom hotel próximo comércio, praia e Aeroporto;A Localização excelente e o quarto de bom tamanho, banheiro com o box muito pequeno (apt105), não sei se todos são assim.;;;;;;;;;;;;;;;;;;;;;;;;;
Uma boa diversidade no café da manhã.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Proximidade com a orla !@""";Achei box muito pequeno e a recepção nem se mexeu p ajudar com as malas.;9;;;;;;;;;;;;;;;;;;;;;;;;;
17 de abril de 2023;Tudo como esperado e as melhoras implantadas no prédio. São 16 anos que me hospedo, desde o Tivoli.;Atendimento.;Barulho, nos corredores e música alta no bar em frente.;7;;;;;;;;;;;;;;;;;;;;;;;
17 de abril de 2023;Bom;Café da manhã e localização;Limpeza do quarto e cortinas de plastico no banheiro.;7;;;;;;;;;;;;;;;;;;;;;;;
10 de abril de 2023;Boa;Atendeu minhas necessidades, equipe prestativa e quarto limpo todos os dias, me surpreendi com os altos preços cobrados, como água, cerveja e café, mais caro que aeroporto.;Nada.;7;;;;;;;;;;;;;;;;;;;;;;;
21 de março de 2023;Bom;A cama é confortável, o chuveiro quente é agradável. O café da manhã é satisfatório. O atendimento é bom e as pessoas são prestativas. No geral, é uma estadia satisfatória porque o ambiente é familiar, voltaria com a minha família.;Travesseiros muito baixos e devem ser bem usados. Recomendaria que reinvestissem em novos e com maior qualidade. Manutenção e limpeza do ar condicionado. Investir em TV maior no apt. Não fazem parcelamento. A construção é simples e meio grosseira mas no geral, é bom porque é limpo e organizado.;7;;;;;;;;;;;;;;;;;;;;;;;
21 de março de 2023;Estadia rápida;Café da manhã e localização;Quarto com cortinas rente a cama, ruim p quem sofre de alergia. Box do banheiro tb de cortina.;7;;;;;;;;;;;;;;;;;;;;;;;
19 de março de 2023;Muito bom;A localização é ótima, próximo a tudo, praia, bares, restaurantes, os melhores de Boa Viagem.;Não possui garagem, os veículos ficam na rua.;8;;;;;;;;;;;;;;;;;;;;;;;
17 de março de 2023;Boa;Café da manhã muito bom,atendimento perfeito pessoal muito educado;Banheiro sujo com pelos, muito barulho de construção!;7;;;;;;;;;;;;;;;;;;;;;;;
16 de março de 2023;Pernoite;Tudo foi bom;Bom, foi muito rapido;8;;;;;;;;;;;;;;;;;;;;;;;
6 de março de 2023;Bom custo-benefício para aguardar um voo de madrugada.;excelente localização e camas novas.;Toalhas velhas, elevador antigo, ar condicionado barulhento, falta de estacionamento.;7;;;;;;;;;;;;;;;;;;;;;;;
5 de março de 2023;Bom, precisa sò de algumas melhorias.;localização, café da manhã, cama confortável.;chuveiro péssimo, controle da tv não funciona, falta de edredom, após o horário de encerramento da diária o funcionários ficou ligando e avisando do término.;8;;;;;;;;;;;;;;;;;;;;;;;
3 de março de 2023;.;cama boa, banheiro bem espaçoso;.;9;;;;;;;;;;;;;;;;;;;;;;;
1º de março de 2023;Muito bom;O quarto é bem confortável e a localização é muito boa. Perto de tudo. Check-in e check out muito ágil e simples, café da manhã pontual e bem gostoso.;Pela manhã tem bastante barulho no corredor, creio que seja outros hóspedes, mas foi bem incômodo. A tv não conecta no wi-fi e antena não capta o sinal da rede aberta, então é inutilizável.;8;;;;;;;;;;;;;;;;;;;;;;;
1º de março de 2023;minha estadia foi a contento por uma noite e trânsito.;roupas de cama e ar condicionado;um pouco desgastado;7;;;;;;;;;;;;;;;;;;;;;;;
27 de fevereiro de 2023;Bom;Localização;Estrutura do quarto, cortinas do quarto soltas, café da manhã;7;;;;;;;;;;;;;;;;;;;;;;;
27 de fevereiro de 2023;Uma Boa Viagem!;A equipe de funcionários é atenciosa e muito prestativa. Houve um curto-circuito no ar-condicionado da minha acomodação logo na primeira noite de estadia, ocasionando a falta de energia para o quarto onde eu estava. Então o senhor que atende os hóspedes à noite providenciou outro quarto onde eu fui devidamente instalado. O café da manhã é diversificado e bem servido. Gostei bastante. Recomendo o Dublê Hotel para quem quiser aproveitar a praia de Boa Viagem.;Os bares ao redor do hotel fecham cedo da noite.;8;;;;;;;;;;;;;;;;;;;;;;;
27 de fevereiro de 2023;SImples e confortável;Hotel aconchegante, quarto bem limpo, iluminação boa, lençol cheiroso.;A cama foi um pouco desconfortável pois solicitei cama de casal e o hotel juntou duas camas de solteiro, ficando assim um buraco entre as camas.;8;;;;;;;;;;;;;;;;;;;;;;;
27 de fevereiro de 2023;Bom9;Limpeza, do enxoval;Barata no banheiro;7;;;;;;;;;;;;;;;;;;;;;;;
22 de fevereiro de 2023;Uma excelente opção levando em conta localização e melhor custo benefício;Localização muito boa, limpeza e atendimento;Acomodação não dispõe de rampas para PNE e você precisa puxar as malas para subir e descer os degraus que dão acesso ao hotel.;9;;;;;;;;;;;;;;;;;;;;;;;
19 de fevereiro de 2023;Muito bom;;paguei um valor extra pra decoração romântica e quando cheguei tinha apenas 4 sonhos de valsas, 1 vasilha vom morangos inclusive mofados e duas flores, realmente frustante pra quem paga 120,00 a mais;8;;;;;;;;;;;;;;;;;;;;;;;
16 de fevereiro de 2023;Fantástico;Da localização. Muito boa.;Do café da manhã. Acho que teria que ter mais opções;9;;;;;;;;;;;;;;;;;;;;;;;
14 de fevereiro de 2023;Bom;Do ar condicionado, das pessoas e da limpeza;Do café da manhã;7;;;;;;;;;;;;;;;;;;;;;;;
13 de fevereiro de 2023;Fantástico;Vista para o mar pela janela...;;9;;;;;;;;;;;;;;;;;;;;;;;
8 de fevereiro de 2023;Bom;localização e organização;não ter estacionamento e sempre que o fedor de fossa retornava pela pia e vasos.;7;;;;;;;;;;;;;;;;;;;;;;;
5 de fevereiro de 2023;Bom;Localização;Achei o quarto muito simples, cama colada na janela de vidro com cortinas blackout caindo nas laterais. Banheiro com cortinas no box. Café simples!;7;;;;;;;;;;;;;;;;;;;;;;;
5 de fevereiro de 2023;Fantástico;Boa localização ;;;;;;;;;;;;;;;;;;;;;;;;;
Café da manhã muito bom e muito variável ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acomodação muito limpas ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Atendimento dos funcionários muito bom""";;9;;;;;;;;;;;;;;;;;;;;;;;;;
4 de fevereiro de 2023;Muito bom;;banheiro sem box;8;;;;;;;;;;;;;;;;;;;;;;;
30 de janeiro de 2023;EXCELENTE LOCALIZAÇÃO;Localização excelente;Nada a reclamar;9;;;;;;;;;;;;;;;;;;;;;;;
30 de janeiro de 2023;excelente;excelente localização;;9;;;;;;;;;;;;;;;;;;;;;;;
26 de janeiro de 2023;Fantástico;;ar condicionado muito barulhento;9;;;;;;;;;;;;;;;;;;;;;;;
25 de janeiro de 2023;Fantástico;A localização do hotel é muito boa! Os quartos são bem equipados, camas confortáveis e check-in é muito rápido;Falta estacionamento e por isso ás vezes temos que estacionar distante do hotel. ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
