data_avaliacao,titulo,comentario_positivo,comentario_negativo
13 de novembro de 2023,Luxo e alto padrão em um só lugar,"Café da manhã perfeito… fomos previlegiados em uma bela vista. 
Instalações ótimas, conforto e os funcionários, amamos, nossa terceira vez nesse hotel incrível. Localização perfeita, atravessou a av, já está no mar. A cama, sensacional.","O banheiro que estávamos, não estava com olor bom, estava limpo, mas totalmente sem cheiro e acredito que as camareira esqueceram de tirar um sabonete já usado na saboneteira. A lixeira do nosso banheiro estava fedida, acredito que trocaram apenas a bolsa de lixo e não lavaram. Tirando essas coisas, hotel de alto padrão, luxo e conforto."
13 de novembro de 2023,Fechando o ano satisfeita,"Ganhamos um upgrade para fecharmos o ano de hospedagens nesse hotel com chave de ouro (nos hospedamos 1x no mês nele). Acomodação ampla frente mar, moderna, iluminada com cama e chuveiro maravilhoso. Frigobar funcionando muito bem.",Ar condicionado. Apesar de ter 2 ar no ambiente estes não esfriam nada. Deixa muito a desejar. O café da manhã no Mirage continua sendo muito demorado por parte da cozinha em nós servir. Quando se tem horário para compromisso melhor evitar tomar café lá.
12 de novembro de 2023,Excepcional,"Fomos extremamente bem atendidos durante a estadia. Equipe cordial e atenciosa. O quarto é confortável, com uma vista linda! O café da manhã é perfeito! Pretendemos voltar em breve!",Nada. Tudo foi excelente.
11 de novembro de 2023,Fantástica,De tudo,Nao teve
7 de novembro de 2023,Agradável,Localização e café da manhã,
7 de novembro de 2023,ótima estrutura de hotel,"Café da manha ótimo, boa localização, bonita vista do elevador que é panoramico, boa piscina.. todo mundo bem educado.","a cama e travesseiros, não achei tão confortável como nos demais hotéis que fico, mas nada que atrapalhe tbm sua estadia."
7 de novembro de 2023,Checando.,"Conforto e localização, além de um café da manhã excepcional.",A climatização do quarto é fixa em 25 e 23 graus.
6 de novembro de 2023,Excepcional,Funcionários atenciosos e educados.,Travesseiros
6 de novembro de 2023,Muito bom!,Gostei de tudo! Vale a pena a hospedagem!,
6 de novembro de 2023,Otima,"Conforto, limpeza,",
6 de novembro de 2023,Excelente!,A estadia foi perfeita!,Gostamos de tudo!
6 de novembro de 2023,Super recomendo!,"Ambiente limpo e super agradável, muito confortável. Danilo, do restaurante mirage, super atencioso, assim como os demais apenas não lembro o nome :). Super recomendo!!","O primeiro dia o bar da piscina demorou a abrir, mas entendemos que um ocorrido pontual, de desentendimento de atribuições entre os colaboradores. Nos dias seguinte foi normal, só a cerveja que não vem tão gelada no bar da piscina, mas tbm não vem quente rsrs"
5 de novembro de 2023,Muito bom,Café da manhã,Limpeza e acabamento
5 de novembro de 2023,Espetacular!,"Conforto, higiene, espaço",Poderia ter mais luz no banheiro
5 de novembro de 2023,"Fantástico, recomendo",Funcionários excepcionais,
3 de novembro de 2023,Fantástico,Solicitude dos funcionários. Fiquei num setor recém reformado. Num quarto superior que era muito novo e agradável,"Fui ao quarto de um amigo (básico, sem reforma) não achei tão bom. Meio velhão"
2 de novembro de 2023,Excelente,Localização,
1º de novembro de 2023,Excelente hotel.,Acomodações.,Entorno do Hotel.
30 de outubro de 2023,Hotel Confortável e Charmoso,Up grade no café da manhã,
30 de outubro de 2023,Excelente,Cafe da manhã,Nada
29 de outubro de 2023,Foi muito bom.,"Localização, limpeza e funcionários.",Café da manhã faltando itens sem reposição.
26 de outubro de 2023,Ótima localização e atendimento.,Localização excelente. Proximo ao aeroporto. Excelente vista pra praia. Funcionarios atenciosos. Café da manha foi excelente. Retornarei na proxima ida à Recife.,Não gostei do café da maquina disponivel no quarto que é da marca tres corações. Mas pode ser gosto pessoal.
25 de outubro de 2023,Ótimo,Atendimento dos funcionários,
24 de outubro de 2023,Excepcional,"Funcionários eficientes, prestativos , simpáticos. Ótimo café da manhã e restaurante para jantar. Quarto confortável.",
18 de outubro de 2023,Excelente,"Instalações ótimas, quarto espaçoso, chuveiro excelente, café da manhã excelente, cortesia e atenção de todos os colaboradores excelente, boa academia! Voltaremos com certeza!",
17 de outubro de 2023,Recomendo.,"O hotel é mto bom. Os funcionários são maravilhosos. Café da manhã completo. Manobrista super atencioso. Piano a noite, bem aconchegante.",Nada de ruim.
17 de outubro de 2023,Descanso e paz,"Gostei do café, gostei das acomodações, gostei da localização, por sinal fiz uma caminhada matinal","A postura do recepcionista, balcão do chekin, muito ríspido, nada agradável e amigável"
17 de outubro de 2023,Boa estadia,Café da manhã a la carte!,Poeira no quarto e banheiro
16 de outubro de 2023,Fiquei bem satisfeita,"Excelente, bem servido, muita variedade, gostei de tudo q experimentei. O staff foi maravilhoso, bem treinados e muito cordiais",Atendimento na piscina
15 de outubro de 2023,Excepcional,O Hotel Atlante Plaza nos proporciona sempre uma estada muito agradável no Recife.,
14 de outubro de 2023,Bom hotel,Localização,
14 de outubro de 2023,Ótimo custo benefício,Espaço do quarto e banheiro ótimos; excelente café da manhã,
14 de outubro de 2023,Amei a localização do hotel vista perfeita para o mar 🌊,Limpeza impecável ✅,Foi tudo maravilhoso nada a reclamar
10 de outubro de 2023,Excelente hotel !,Do apartamento.,
9 de outubro de 2023,Excelente,Quarto limpo e espaçoso,
6 de outubro de 2023,Surpreendente e quase impecável.,"Atendimento e cortesia do staff, vista pro mar, qualidade da acomodação e café da manhã.","Esqueceram de arrumar o apartamento, mas resolveram rapidinho."
6 de outubro de 2023,Maravilhoso,"Fomos muito bem recebidos e atendidos nesse hotel. Já chegamos sendo muito bem recepcionados pela Maria Eduarda. O quarto muito bom, cama confortável, vista maravilhosa. Boa estrutura. Café da manhã no Mirage sensacional, tudo perfeito (agradecimento especial ao Heron e Luiza). Quanto a localização, perto de vários restaurantes bons. Foram dias maravilhosos e indico de olhos fechados, eles cuidam de cada detalhe.",
6 de outubro de 2023,Excepcional,"Café da manhã, limpeza, funcionários",Tudo maravilhoso
6 de outubro de 2023,Excepcional,Tudo maravilhoso,
3 de outubro de 2023,"Chateado pelo fato ocorrido, quando voltar a recife vou procurar outro por causa desse acontecido",A vista do quarto o café da manhã,"O que não gostei foi as 9 horas da manhã está fazendo manutenção praticamente na parede aonde nós estávamos. Estava em uns dia de descanso, e paguei numa categoria super luxo achei um desrespeito a uma hora daquela pessoal fazendo barulho.
Se iria fazer a manutenção deveria ter colocado em um outro apartamento.
Mas não aproveitamos nada da manhã por causa do barulho insuportável.
Deveria era ter tido pelo menos alguma coisa de cortesia pela falta de respeito com os hóspedes."
2 de outubro de 2023,"Hotel muito bom, mas poderia ser melhor por ser 5 estrelas","Localização excelente, pode caminhar à noite pela orla tranquilamente e a pracinha fica a poucos metros andando. Há supermercados e restaurantes perto da pracinha também. A cama é confortável e o café da manhã muito bom. Nessa hospedagem, ganhei uma massagem nos pés muito boa.","O restaurante não é dos melhores, não peçam o polvo do menu. O peixe e a sopa eram bons, mas não quis mais me arriscar depois de experimentar o polvo. A infraestrutura do quarto poderia ser melhor por ser um hotel 5 estrelas, pois ao lado da cama, o lugar onde ficavam as tomadas estava quase caindo, todo hora eu tinha que encaixar de volta. O elevador é bonito, mas é quente e um deles parou de funcionar enquanto eu estava dentro. No dia que cheguei, um deles estava interditado também."
30 de setembro de 2023,Excepcional,Quanto são muito confortáveis,Boa localização
28 de setembro de 2023,Excelente,Tudo perfeito. Superou as expectativas! Nota 10,
27 de setembro de 2023,Maravilhosa!,"Conforto, organização e limpeza. Os funcionários gentis e prestativos.","Meu quarto ter sido, ao lado do elevador."
27 de setembro de 2023,Estadia muito agradável!,"Atendimento no Restaurante Mirage excelente, além de pratos para jantar de ótima qualidade, o café da manhã servido no restaurante Mirage é ótimo e conta com profissionais educados que auxiliam nas escolhas, como o Simpático Heron. Super indico.",
26 de setembro de 2023,Equipe sensacional,A equipe é sensacional. Nós deram um up grade para a suíte presidencial. Show!,
23 de setembro de 2023,Pode melhorar na limpeza,Café da manhã restaurante Mirage -,Limpeza do quarto - cheiro de mofo e poeira! Ap 802
23 de setembro de 2023,Fantástico,,Achei os valores do bar na piscina acima do esperado. Os valores estavam fora de um padrão; compreendo q o hotel é de luxo porém deveria colocar os valores num padrão q não exceda; não é questão de economia e sim de discernimento chega a ser abusivo os valores cobrados. A prova é tanta q poucas pessoas vão desfrutar de um ambiente agradável e bonito.
18 de setembro de 2023,Satisfatória.,"Gosto do chuveiro, do conforto do quarto, atenção dos funcionários.",Ar condicionado não gela e fazendo um barulho terrível. Cafe da manhã no restaurante mirage demora demais a ser servido e não prestam atenção as observações ditas pelo cliente
18 de setembro de 2023,muito boa opção de estadia,muito boa localização,
12 de setembro de 2023,Sensacional,Tudo,Nada
11 de setembro de 2023,Excepcional,Maravilhoso e tudo.bem organizado.,
11 de setembro de 2023,Excepcional,Amei tudo!,
11 de setembro de 2023,Ótimo lugar pra curtir um fim de semana em Recife.,"Cortesia e limpeza. Excelentes opções no café da manhã. Destacamos a colaboradora Ana Lúcia, que comanda o salão de jantar com eficiência, cortesia e alacridade.",
11 de setembro de 2023,Bons momentos é péssima comida.,O hotel tem uma boa estrutura e boa localização. Os funcionários são cordiais e competentes.,A qualidade das refeições do Room Service é ruim. O preço elevado não se justifica pelo péssimo preparo dos pratos oferecidos no hotel.
10 de setembro de 2023,Muito bom,Dos restaurantes.,Dos carregadores e do atendimento na recepção
7 de setembro de 2023,Fantástico,Instalações e atenção dos funcionários,
6 de setembro de 2023,"Bom hotel, mas precisa melhorar a limpeza do quarto.",Café da manhã,Limpeza
6 de setembro de 2023,Excepcional,O hotel é ótimo. Funcionários super gentis e até ciosos. O café da manhã maravilhoso. Tudo ótimo!,
4 de setembro de 2023,Ótima estadia,Gostei de tudo !,
4 de setembro de 2023,Excepcional,Tudo,Nada
30 de agosto de 2023,Excelente custo benefício em Recife,"Hotel super bem cuidado, confortável, excelente café da manhã.",
27 de agosto de 2023,Ótima localização,"Localização, 
Café da manhã, 
Conforto quarto","Haver, embora na reserva havia informado da possibilidade, cobrança pela estadia da nossa PET."
25 de agosto de 2023,Excepcional,"Atendimento , local",
24 de agosto de 2023,Maravilhoso,Tudo ❤️....café da manhã no Mirage é fantástico!,Tudo atendeu as expectativas
22 de agosto de 2023,Perfeita!,"O hotel é perfeito, o atendimento é excelente. Sem falar no café da manhã maravilhoso!",
20 de agosto de 2023,Estadia agradável.,"O hotel como todo é bem localizado e aconchegante, desde o espaço, o quarto, passando pelo atendimento educado, gentil e prestativo até o café da manhã, nos dois ambientes do hotel, que foi satisfatório. Nos agradou muito o fato de tomarmos café ouvindo música ambiente no piano contemplando a vista da praia de Boa Viagem. Também nos agradou, no café da manhã, o fato de termos uma tapioqueira que fazia tapiocas variadas bem como as garrafas de espumantes a nossa disposição aos domingos.","Os quartos que possuem divisórias com portas, como foi o nosso caso, deveriam ser mais silenciosos."
20 de agosto de 2023,Desconfortável,Localização,1 Cama pra 3 pessoas
16 de agosto de 2023,Excepcional!,"Conforto, localização e café da manhã!",Gostei de tudo!!!
16 de agosto de 2023,Hotel fantástico,"Excelente, atenção nota mil.",Sem pontos ruins
14 de agosto de 2023,Excelente hotel em Boa Viagem com piscina,O café da manhã foi muito bom e a piscina era bastante grande.,"O tempo de espera na recepção para reativar a chave do quarto foi longo demais, minha mãe perdeu 30 minutos subindo para o quarto novamente e ainda não podia entrar."
13 de agosto de 2023,Excepcional,Hotel maravilhoso,Até o momento não me deram retorno sobre o estorno da taxa cobrada no meu cartão a qual seria estornada no mesmo dia
11 de agosto de 2023,boa,"Tudo, menos o tempo de espera para pegar o carro,",Tempo de espera para pegar o carro
11 de agosto de 2023,Hotel agradável,"Café da manhã delicioso, funcionários gentis e prestativos especialmente Edson e Luíza! Limpeza do quarto e cama confortável. O visão panorâmica do mar no elevador também é um ponto forte!",Os vidros da frente do Hotel estavam sujos e alguns espaços do hotel podem ser atualizados.
9 de agosto de 2023,Excepcional,"O diferencial, sem dúvida, é o atendimento e cortesia de todos os colaboradores. Do manobrista à senhora que faz a tapioca no restaurante.","Infelizmente a paria não é banhável, mas como já sabíamos, tudo certo ✔️"
8 de agosto de 2023,Excelente serviço,Localização top. Café da manhã excelente com opção a lá carte. Equipe atenciosa. Quartos do sexto andar para cima são novos. Excelente academia.,No primeiro dia nos deram um quarto no quinto andar que cheirava a esgoto. Creio que era de conhecimento da equipe o problema no quarto e mesmo assim nos colocaram lá. Um transtorno desnecessário. Solicitamos a mudança e explicaram que os quartos do sexto andar para cima eram reformados. Realmente eram bem mais confortáveis
8 de agosto de 2023,Excepcional,Vista do quarto e café da manhã no mirage,
7 de agosto de 2023,Perfeita!,"Achei perfeita do início ao fim,",Não gostei que a estadia acabou kkk.
6 de agosto de 2023,Excelente hotel,"Localização e limpeza impecáveis. O colchão e a roupa de cama também eram ótimos. Destaque para o restaurante do piso C1, Mirage, que tem café à la carte para clientes das suítes. Tudo impecável. O jantar no mesmo restaurante no sábado, com música ao vivo de 1a qualidade, foi excelente. 
Quero deixar também registrado que o SPA merece uma visita. Massagem muito boa.","O encanamento merece uma revisão. Faz bastante barulho na hora do banho.
O acesso ao terraço não foi pensado para idosos ou pessoas com necessidades especiais de locomoção, pois exige subir 2 lances de escadas."
6 de agosto de 2023,Foi uma boa estadia!,Tamanho da acomodação!,"A nossa cama era muito dura!
No café da manhã a disponibilidade de talheres é reduzida! Quando a pessoa vai uma 2ª vez no buffet, precisa “roubar” talheres da mesa do lado! Por que não ter talheres à vontade no buffet?
As vidraças externas e dos elevadores panorâmicos estão sujas!"
4 de agosto de 2023,Hospedagem ótima!,Café da manhã fantástico. Menu francês a la carte.,A piscina é pequena e o estacionamento é pago.
3 de agosto de 2023,Muito boa,"Limpeza, conforto, profissionais educados e gentis",
3 de agosto de 2023,Surpreendente,"Tivemos problema com o nosso apartamento e de imediato eles providenciaram um novo apartamento com up grade muito bom ! Bem decorado limpo e com todas as conveniências de um 5 estrela. O atendimento também me surpreendeu, excepcional ! Parabéns",Nada
1º de agosto de 2023,Muito Satisfeito,"Gentileza dos funcionários, café da manhã bacana, academia boa e localização ótima",Gostei de tudo
1º de agosto de 2023,Achei boa para quem pretende fazer mto passeios pela cidade. O jantar estava mto bom também.,"Localização, café da manhã, jantar, quarto, serviço.","A porta corta-fogo batia com frequência por causa do vento. Pedi para consertarem. Deixaram aberta e presa por uma toalha. Resolveu o problema do barulho.
Muito vento na piscina."
1º de agosto de 2023,Fantástico,As instalações são muito confortáveis e limpas.A localização também é um diferencial.,A reposição no café da manhã quando tem muita gente. Deixou a desejar.
1º de agosto de 2023,"Confortável, ótimo restaurante","Espaço dos quartos, banheiro, qualidade do colchão, limpeza em geral.",Nada. Acomodação atendeu plenamente o propósito. Único ponto negativo é que a localização do hotel fica numa faixa da praia de boa viagem que precisamos esperar a maré baixar para poder curtir a praia.
29 de julho de 2023,Excepcional,"Gostei bastante da equipe da portaria, pessoal bastante atenciosos!",
28 de julho de 2023,Precisa melhorar.,"Ele é em frente a praia.
Restaurante mirage e bom é o outro do térreo também eu indico.","A comida do bar da piscina é péssima, chega a dar vergonha.
Pedido errado, comida cheia de óleo e muito mal preparada.
O hotel é bem antigo."
27 de julho de 2023,Muito agradável a estada neste hotel.,"Excelente café da manhã, elevador panorâmico, localização na praia, uma bela orla. Hotel novo e tudo funcionando bem.","Por ser praia, poderia ter um lugar para secar roupas, mesmo que no banheiro."
21 de julho de 2023,"Estadia maravilhosa, super confortável!","Quarto amplo, limpo e com a vista maravilhosa. Excelente café da manhã",Sem reclamações
21 de julho de 2023,Fantástico,"bom café da manhã, ótima localização, boa academia.",chão do quarto um pouco sujo. cama de casal é duas de solteiro emendadas (o centro dela fica bem desconfortável).
20 de julho de 2023,Muito boa e agradável.,"Funcionários muito educados e prestativos, café da manhã muito bom e a limpeza também muito boa.",O acesso à piscina e pelo fato do hotel estar com muitos este acesso se torna as vezes demorado.
19 de julho de 2023,Tudo excelente exceto cama e travesseiro,tudo menos a cama dura e travesseiro duro.,cama e travesseiro duros
17 de julho de 2023,Um lugar para você viver boas experiências!,"O hotel possui uma atmosfera aconchegante e, ao mesmo tempo por ser em frente a praia, descontraída. Ao chegar encontramos o quarto climatizado e completamente cheiroso. A cama era espaçosa e confortável. No banheiro existia uma ducha de teto sensacional. Os funcionários eram educados e solícitos. Apesar de pequena, a piscina no terraço foi um ponto alto, além das músicas embaladas por um DJ. O restaurante Mirage foi outro ponto alto, onde tomamos café da manhã, e possuía vista da praia de Boa Viagem. A música tocada por um pianista no piano próximo ao bar da recepção também foi bem legal.","Um prato servido no quarto que não estava no ponto ideal, mas isso não tirou de maneira nenhuma o brilho de nossa hospedagem."
16 de julho de 2023,Excepcional,De tudo,Do cesto de lixo aberto no banheiro e sem sacolinha
15 de julho de 2023,Muito bom,Localização e café da manhã,"Cheiro de mofo , decoração muito antiga banheiros razoável"
13 de julho de 2023,Excepcional,"Estrutura
Localização 
Café da manhã 
Academia muito boa para um hotel
Atendimento","Internet oscilando demais todos os dias da reserva.
Iluminação do quarto, especificamente sobre a mesinha de canto."
11 de julho de 2023,Atendeu minhas expectativas,"O apartamento que fiquei era grande, muito confortável e todo reformado",Da comida do restaurante Brasserie e da piscina
10 de julho de 2023,Agradável,"Gosto do café da manhã, do quarto amplo, chuveiro forte, funcionários educados e solícitos, roupa de cama e banho limpas.","Demora em pegar o carro no estacionamento, ar condicionado que não gela nada pequeno pro ambiente, muitos funcionários batendo na porta do quarto para oferecer serviços incomodando todo o tempo, ( se o hóspede quiser algo ele vai pedir), pergunta sobre lavar roupas, depois toca novamente, pergunta sobre frigobar e nisso acorda a pessoa várias vezes."
9 de julho de 2023,Fantástico,Hospitalidade,
9 de julho de 2023,Muito bom,Tudo,Chuva
9 de julho de 2023,Excepcional,"Localização excelente, quarto confortável, excelente café da manhã e atendimento perfeito.",
8 de julho de 2023,ATLANTE,"Do simpatia do funcionários, da localização beira mar, do café e do conforto, voltaria muitas vezes",
7 de julho de 2023,Ótima localização e hotel bem limpo e com ótima comida,Do café da manhã e dos funcionários do café da manhã,Elevadores algumas vezes com problema
4 de julho de 2023,Uma vista deslumbrante,"Do conforto, localização e principalmente do café da manhã rsrs",Poderia ser um pouco mais barato
3 de julho de 2023,Ótima,Atendimento,Nada
2 de julho de 2023,A recepcionista Ramona é excelente,"Cama excelente, localização e café da manhã",
2 de julho de 2023,Tudo de bom,Tudo,Sem comentários
1º de julho de 2023,Excelente hotel!,"Cama boa, tudo limpo e atendimento dos funcionários excelente! Café da manhã tem de tudo!",
30 de junho de 2023,Final de férias,"Um dos melhores hotéis da cidade, localização ímpar, beira-mar na praia de Boa Viagem, cartão postal da cidade.
O café da manhã é simplesmente sensacional. Gostaria de ressaltar uma funcionária em especial, Clidma, muito gentil e simpática.",
28 de junho de 2023,Espetacular,"O atendimento foi espetacular do check in ao check out. O café da manhã no restaurante Mirage é uma experiência gastronômica de alto nível. O apartamento é amplo e muito confortável. Já conhecia o hotel e com a reforma dos apartamentos, a experiência ficou ainda mais completa.",
20 de junho de 2023,excelente,conforto e espaço,
20 de junho de 2023,Hotel tradicional,O ambiente do café da manhã é excelente! O café é bom! O banho é bom.,"Instalações um pouco antigas, embora bem conservadas. Muita madeira deixa o ambiente dos corredores e quartos muito fechados. A cama poderia ser melhor."
19 de junho de 2023,Fantástico,,a presença de barata no banheiro
18 de junho de 2023,recomendo o hotel para viagem de férias e de trabalho.,"gostei da cordialidade dos funcionários que foram muito gentis em nos acomodar bem, uma vez que ficaríamos apenas 12 horas no hotel. disponibilizaram um apto muito bom com uma linda vista. a comida do restaurante e o atendimento são maravilhosos.",gostei de tudo
15 de junho de 2023,Ótima,Camas e ducha,"Cheiro forte quando quarto ficava fechado algumas horas, trocamos imediatamente de quarto e ficou muito bom."
14 de junho de 2023,Excepcional,Excelente estrutura e localização.,Não tenho o que reclamar
14 de junho de 2023,Excepcional,"O Hotel é excepcional, estrutura, conforto e atendimento, muito completo e a vista no terraço da piscina é de tirar o folego.",
13 de junho de 2023,Local um pouco fora das melhores práias.,Recepção excelente atendimento,"Do café da manhã, recebemos um cortesia, para o restaurante Mirage, foi servido Tapioca por duas vezes pouco cozida."
13 de junho de 2023,Boa Viagem,"Funcionários muito prestativos, atenciosos e sempre atentos. 
Localização ótima, próxima a vários restaurantes e ao pé da praia de Boa Viagem.
O café da manhã era muito bom, c crepiocas e tapiocas muito bem servidas.
O som do sax pela manhã e o piano ao final da tarde dão um toque muito especial ao ambiente.
O serviço de massagem, o estacionamento e os restaurantes, todos muito bons.","A limpeza do quarto ficou aquém do esperado. 
A unica coisa que ficou a desejar."
12 de junho de 2023,muito bom,amamos,do conforto
8 de junho de 2023,excelente estada,"limpeza, acomodação, café da manhã, presteza dos funcionários.",
4 de junho de 2023,Excepcional,Tudo estava bom,Gostei de tudo
3 de junho de 2023,Excepcional,Caf3 da manhã sensacional,
30 de maio de 2023,"Hotel com pessoal muito atencioso, bem localizado e com acomodações acima da média.","Quartos acomodam bem família de 4 pessoas, limpeza impecável, excelente café da manhã, localização privilegiada na Boa Viagem. Precisamos de serviços de camareira e fomos atendidos de forma muito atenciosa.","Wi-fi exigia novo login a cada vez que se utiliza o celular, recebemos informação incorreta do horário do café da manhã, que nos fez perder a refeição no hotel."
30 de maio de 2023,"maravilhosa, dificilmente mudarei de hotel",funcionários muito humanos. educados e prestativos esse foi o maior diferencial,disponibilidade de alguém passar ferro na roupa que não encontrei
30 de maio de 2023,Saí sentindo que o hotel melhorou.,"o atendimento, especialmente no café da manhã",
29 de maio de 2023,.,Serviço de quarto.,Chuveiro com defeito.
29 de maio de 2023,Fantástico,quartos confortáveis e limpos,"serviço de quarto e limpeza. Funcionam bem, mas constantemente estão batendo na porta. Um dia estava com um convidado e foi bem incômodo. Pelo menos umas 03 interrupções pra saber se queria limpeza, se queria reposição do frigobar e outra pessoa só pra saber se estava tudo ok. acho que isso poderia ser feito por telefone.
também seria interessante se o consumo do serviço de quarto pode ser incluído na conta pra pagar tudo no check out"
28 de maio de 2023,Fantástico,"Localização excelente, cama confortável, café da manhã muito bom.",Ausência de barra de apoio no box.
27 de maio de 2023,Fantástico,Localização e atendimento,Café da manhã pode melhorar
22 de maio de 2023,agradável,"suíte ampla, cama confortável, Cafe da manhã muito bom.","ar condicionado não gela, frigobar não gela, chuveiro agua fraca. demora para pegar e entregar o carro."
22 de maio de 2023,bom hotel,custo benefício,piscina pequena
19 de maio de 2023,Excelente estadia e excelente custo benefício!,"Tivemos um upgrade de quarto, excelente, suite de frente para o mar. Tb fomos surpreendidos com o café da manhã diferenciado, a la carte num andar diferente do buffet, atendimento excelente dos garçons e super bem servido, comida excelente. Cama, toalhas, lençois e travesseiros ótimos. Tv grande quando a maioria dos hotéis as TVs são de 46"" a da suíte é bem maior. Pena que não pude aproveitar mais pois passei apenas uma noite em Recife.",
18 de maio de 2023,Foi ótimo,Gostei do café e da acomodação,
17 de maio de 2023,Muito bom,Café da manhã,Limpeza
12 de maio de 2023,Fantástico,"Localização, comida, quarto","Erro no nome das salas Gilberto Freyre. É com Y. Importante corrigir, já que é uma homenagem prestada a uma personalidade"
11 de maio de 2023,melhor hotel de recife,tudo,
8 de maio de 2023,Experiência que foi um ponto alto da viagem.,"O hotel com certeza sustenta com propriedade a beleza da praia de Boa Viagem. Fiquei em um quarto espetacular, Suite Delux, vista para o mar, que dava direito a um café da manhã especial no café Mirage, que com certeza é o melhor que já tive em algum hotel. Vale muito a pena o investimento na experiência. Localização muito boa, em relação a cidade.","Tentei contratar um pacote romântico, porém demorou tanto a resposta da equipe responsável e depois recebi a notícia que estava atrasada, que desisti de ir atrás. A comunicação do time de turismo foi falha e devagar."
7 de maio de 2023,"opção cara, mas recomendável pelo conforto e localização.","localização, elevador panorâmico, conforto e restaurante/piano bar",preço
7 de maio de 2023,Excepcional,Cafe da manhã a equipe é top,
5 de maio de 2023,Excepcional,Cafe da manha fantástico.,
3 de maio de 2023,foi boa,bem confortável mas o quarto poderia ser maior,"na recepção , bem na entrada tem um cheiro estranho …"
3 de maio de 2023,Grata surpresa,Atendimento excepcional dos funcionários do restaurante e o café da manhã maravilhoso.,Cheiro de mofo na cortina
2 de maio de 2023,Excepcional,as instalações do hotel e conforto do quarto,"faltou alguns itens no café da manhã tipo, Nescau"
1º de maio de 2023,muito boa,"camas boas, ar condicionado bom é vista ok.","falta tomadas perto( do lado das camas ) pois as mesmas ficavam
muito longe"
1º de maio de 2023,"Boa apesar da minha observação acima, mas tem que melhorar .","Localização excelente, porém poderia melhorar na comida. Variar mais.",Pouca variedade. Faltou pão francês. Pouca opção na parte de quentes.
1º de maio de 2023,Um sonho transformado em pesadelo,"Localização, funcionários gentis e prestativos.","Principalmente por se tratar de um hotel 5 estrelas deve atender a critérios como bem estar e segurança para idosos. Quem tem problema ou dificuldade de locomoção não tem acesso à piscina, elevador pára no 14° andar e a piscina fica no 15° andar, além de inúmeras escadas para subir na área da piscina. No mínimo, deveriam avisar ao hóspede dessa limitação. 
Banheiro sem barra, piso do box com pouca aderência. 
Na nossa chegada, minha mãe de 93 anos não percebeu 2 degraus no salão principal, caiu de frente e sofreu inúmeras fraturas! Nosso passeio foi convertido em internação em UTI, remoção aérea, cirurgias, cadeiras de rodas... uma tragédia que poderia ter sido evitada se tivesse sinalização, informação e adequação. 

 A cada dia os idosos querem viajar, ter acesso a maioria dos lugares. Estamos muito atrasados em relação a outros países, que se adequam para o turista da terceira idade."
30 de abril de 2023,Agradável,"cama, travesseiro e chuveiro. O café da manhã espetacular, atendimento Edson e a qualidade, nota 10.",olhando piso e portas percebesse que está na hora de uma reforma estrutural
30 de abril de 2023,excelente,"localização excelente, café da manhã muito bom e equipe excelente.",nada a declarar
27 de abril de 2023,Foi ótimo o período que passei no Atlante Plaza,Excelente café da manhã,
26 de abril de 2023,Excepcional,"Hotel maravilhoso, quarto confortável, agradável e com chuveiro muito bom. A estrutura do hotel é muito boa. Tem opcional de spa na cobertura.","Reservei com filtro de estacionamento, mas chegando lá descobrimos que é 30 reais o dia, por fora. As luzes são um pouco estranhas, não tem luz no teto, então a iluminação é sempre baixa, mas não nos incomodou muito."
26 de abril de 2023,Mar à vista e gentilezas de um povo lindo,Gentileza dos funcionários e a vista para o mar,Defeito na fechadura eletrônica
25 de abril de 2023,um bom hotel,"Quarto tamanho bom. Banheiro bom. Limpeza ok. Café da manhã ganhamos para tomar no Restaurante que serve a la Carte, muito bom (variedades)",
23 de abril de 2023,maravilhosa,limpeza e conforto,
23 de abril de 2023,Espetacular!,Atendimento espetacular. Ótima gastronomia dentro do hotel. Ótima localização. Quartos muito confortáveis! Recomendo demais!,
19 de abril de 2023,"se resume em aconchego, carinho e gratidão","gostamos da dormida, dos quartos, café da manhã etc","foi tudo lindo, funcionários educados, pessoal do cafe da manhã super educado, vallets educados, recepção educados …
começando pelo casal da entrada do café da manhã até a moça que faz a tapioca 
gratidão 🙏🏻"
18 de abril de 2023,quando voltar em recife já sei aonde vou me hospedar,quarto maravilhoso com tudo que é necessário,nada a reclamar
17 de abril de 2023,Satisfeita!,"Instalações excelentes. Atendimento dos funcionários, maravilhoso. Café da manhã, super variado e de ótima qualidade. Restaurantes, lindos e uma comida deliciosa. Localização perfeita! Super indico!!!",Da piscina. Pequena área para o tamanho do hotel.
17 de abril de 2023,Excelente estadia! Se voltarmos pra Recife nos hospedaremos novamente aqui!,Excelente,"A faixa de areia, do trecho de praia em frente ao hotel, nao é ideal pra sol e mar... tem que andar um pouco pra frente se quiser curtir a praia de boa viagem..."
17 de abril de 2023,muito confortavel,"Funcionarios muito prestativos desde a chegada. ambientes tranquilos, cafe da manha bem servido e em espaço muito agradavel. quartos limpos e confortaveis. 
tem 3 elevadores com vista panoramica da praia.",só faltou uma vista da praia dos quartos (os quartos tem vista pra lateral e dá pra ver uma pequena porçao de praia entre os predios apenas.
13 de abril de 2023,Fantástico,De tomar café no restaurante especial.,Nada em especial!
